Folder,File name,Plain-language description,State/Region,Century,Emissions scenario,Season,Format,Date (file modified),Note
Late-Century/Annual,LC_SSP370_AK_Annual_Precip_070526.aix,"Alaska, Late-Century, High emissions (SSP3-7.0), Annual",Alaska,Late-Century,High emissions (SSP3-7.0),Annual,ArcGIS AIX data file,7/6/26,
Late-Century/Annual,LC_SSP370_AK_Annual_Precip_070526.jpg,"Alaska, Late-Century, High emissions (SSP3-7.0), Annual",Alaska,Late-Century,High emissions (SSP3-7.0),Annual,JPEG preview image,7/6/26,
Late-Century/Fall (SON),LC_SSP370_AK_SON_Precip_070526.aix,"Alaska, Late-Century, High emissions (SSP3-7.0), Fall (SON)",Alaska,Late-Century,High emissions (SSP3-7.0),Fall (SON),ArcGIS AIX data file,7/6/26,
Late-Century/Fall (SON),LC_SSP370_AK_SON_Precip_070526.jpg,"Alaska, Late-Century, High emissions (SSP3-7.0), Fall (SON)",Alaska,Late-Century,High emissions (SSP3-7.0),Fall (SON),JPEG preview image,7/6/26,
Late-Century/Spring (MAM),LC_SSP370_AK_MAM_Precip_070526.aix,"Alaska, Late-Century, High emissions (SSP3-7.0), Spring (MAM)",Alaska,Late-Century,High emissions (SSP3-7.0),Spring (MAM),ArcGIS AIX data file,7/6/26,
Late-Century/Spring (MAM),LC_SSP370_AK_MAM_Precip_070526.jpg,"Alaska, Late-Century, High emissions (SSP3-7.0), Spring (MAM)",Alaska,Late-Century,High emissions (SSP3-7.0),Spring (MAM),JPEG preview image,7/6/26,
Late-Century/Summer (JJA),LC_SSP370_AK_JJA_Precip_070526.aix,"Alaska, Late-Century, High emissions (SSP3-7.0), Summer (JJA)",Alaska,Late-Century,High emissions (SSP3-7.0),Summer (JJA),ArcGIS AIX data file,7/6/26,
Late-Century/Summer (JJA),LC_SSP370_AK_JJA_Precip_070526.jpg,"Alaska, Late-Century, High emissions (SSP3-7.0), Summer (JJA)",Alaska,Late-Century,High emissions (SSP3-7.0),Summer (JJA),JPEG preview image,7/6/26,
Late-Century/Winter (DJF),LC_SSP370_AK_DJF_Precip_070526.aix,"Alaska, Late-Century, High emissions (SSP3-7.0), Winter (DJF)",Alaska,Late-Century,High emissions (SSP3-7.0),Winter (DJF),ArcGIS AIX data file,7/6/26,
Late-Century/Winter (DJF),LC_SSP370_AK_DJF_Precip_070526.jpg,"Alaska, Late-Century, High emissions (SSP3-7.0), Winter (DJF)",Alaska,Late-Century,High emissions (SSP3-7.0),Winter (DJF),JPEG preview image,7/6/26,
Late-Century/Annual,LC_SSP245_AK_Annual_Precip_070526.aix,"Alaska, Late-Century, Intermediate emissions (SSP2-4.5), Annual",Alaska,Late-Century,Intermediate emissions (SSP2-4.5),Annual,ArcGIS AIX data file,7/5/26,
Late-Century/Annual,LC_SSP245_AK_Annual_Precip_070526.jpg,"Alaska, Late-Century, Intermediate emissions (SSP2-4.5), Annual",Alaska,Late-Century,Intermediate emissions (SSP2-4.5),Annual,JPEG preview image,7/5/26,
Late-Century/Fall (SON),LC_SSP245_AK_SON_Precip_070526.aix,"Alaska, Late-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Alaska,Late-Century,Intermediate emissions (SSP2-4.5),Fall (SON),ArcGIS AIX data file,7/5/26,
Late-Century/Fall (SON),LC_SSP245_AK_SON_Precip_070526.jpg,"Alaska, Late-Century, Intermediate emissions (SSP2-4.5), Fall (SON)",Alaska,Late-Century,Intermediate emissions (SSP2-4.5),Fall (SON),JPEG preview image,7/5/26,
Late-Century/Spring (MAM),LC_SSP245_AK_MAM_Precip_070526.aix,"Alaska, Late-Century, Intermediate emissions (SSP2-4.5), Spring (MAM)",Alaska,Late-Century,Intermediate emissions (SSP2-4.5),Spring (MAM),ArcGIS AIX data file,7/5/26,
