File name,Plain-language description,State/Region,Century,Emissions scenario,Season,Format,Date (file modified),Note
LC_SSP126_AK_JJA_Precip_070526.aix,"Alaska, Late-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Alaska,Late-Century,Low emissions (SSP1-2.6),Summer (JJA),ArcGIS AIX data file,2026-07-05,
LC_SSP126_AK_JJA_Precip_070526.jpg,"Alaska, Late-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (JPEG preview image)",Alaska,Late-Century,Low emissions (SSP1-2.6),Summer (JJA),JPEG preview image,2026-07-05,
LC_SSP126_CONUS_JJA_Annual_Precip_062926.aix,"Contiguous U.S. (CONUS), Late-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Contiguous U.S. (CONUS),Late-Century,Low emissions (SSP1-2.6),Summer (JJA),ArcGIS AIX data file,2026-06-30,"name irregularity: two season tokens (JJA,Annual); read as CONUS, season=JJA"
LC_SSP126_CONUS_JJA_Precip_062926.jpg,"Contiguous U.S. (CONUS), Late-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (JPEG preview image)",Contiguous U.S. (CONUS),Late-Century,Low emissions (SSP1-2.6),Summer (JJA),JPEG preview image,2026-06-30,
LC_SSP126_Caribbean_JJA_Precip_070626.aix,"Caribbean (Puerto Rico & U.S. Virgin Islands), Late-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Caribbean (Puerto Rico & U.S. Virgin Islands),Late-Century,Low emissions (SSP1-2.6),Summer (JJA),ArcGIS AIX data file,2026-07-07,
LC_SSP126_Caribbean_JJA_Precip_070626.jpg,"Caribbean (Puerto Rico & U.S. Virgin Islands), Late-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (JPEG preview image)",Caribbean (Puerto Rico & U.S. Virgin Islands),Late-Century,Low emissions (SSP1-2.6),Summer (JJA),JPEG preview image,2026-07-07,
LC_SSP126_HI_JJA_Precip_070626.aix,"Hawaii, Late-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Hawaii,Late-Century,Low emissions (SSP1-2.6),Summer (JJA),ArcGIS AIX data file,2026-07-06,
LC_SSP126_HI_JJA_Precip_070626.jpg,"Hawaii, Late-Century, Low emissions (SSP1-2.6) — Summer (JJA), Precipitation (JPEG preview image)",Hawaii,Late-Century,Low emissions (SSP1-2.6),Summer (JJA),JPEG preview image,2026-07-06,
LC_SSP245_AK_JJA_Precip_070526.aix,"Alaska, Late-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Alaska,Late-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2026-07-05,
LC_SSP245_AK_JJA_Precip_070526.jpg,"Alaska, Late-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Alaska,Late-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2026-07-05,
LC_SSP245_CONUS_JJA_Precip_062926.aix,"Contiguous U.S. (CONUS), Late-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Contiguous U.S. (CONUS),Late-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2026-06-29,
LC_SSP245_CONUS_JJA_Precip_062926.jpg,"Contiguous U.S. (CONUS), Late-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (JPEG preview image)",Contiguous U.S. (CONUS),Late-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),JPEG preview image,2026-06-29,
LC_SSP245_Caribbean_JJA_Precip_070626.aix,"Caribbean (Puerto Rico & U.S. Virgin Islands), Late-Century, Intermediate emissions (SSP2-4.5) — Summer (JJA), Precipitation (ArcGIS AIX data file)",Caribbean (Puerto Rico & U.S. Virgin Islands),Late-Century,Intermediate emissions (SSP2-4.5),Summer (JJA),ArcGIS AIX data file,2026-07-07,
