Year,CONUS
1950,1.57
1951,1.4
1952,1.18
1953,1.34
1954,1.16
1955,1.35
1956,1.03
1957,1.67
1958,1.34
1959,1.5
1960,1.32
1961,1.61
1962,1.27
1963,1.12
1964,1.77
1965,1.37
1966,1.38
1967,1.4
1968,1.38
1969,1.67
1970,1.34
1971,1.35
1972,1.51
1973,1.97
1974,1.52
1975,1.56
1976,1.15
1977,1.49
1978,1.38
1979,1.98
1980,1.4
1981,1.41
1982,1.7
1983,1.84
1984,1.45
1985,1.59
1986,1.58
1987,1.42
1988,1.23
1989,1.57
1990,1.72
1991,1.88
1992,1.45
1993,1.53
1994,1.65
1995,1.86
1996,1.79
1997,1.66
1998,1.93
1999,1.46
2000,1.34
2001,1.59
2002,1.66
2003,1.58
2004,1.91
2005,1.54
2006,1.6
2007,1.55
2008,1.86
2009,1.83
2010,1.73
2011,1.58
2012,1.39
2013,1.86
2014,1.77
2015,2.13
2016,1.76
2017,1.88
2018,2.14
2019,1.79
2020,1.81
2021,1.76
2022,1.49
2023,1.56
2024,1.88
