Year,CONUS
1895,-999.0
1896,6.98
1897,6.67
1898,6.64
1899,6.6
1900,6.62
1901,5.78
1902,6.61
1903,8.23
1904,5.68
1905,6.69
1906,6.54
1907,7.45
1908,7.32
1909,7.35
1910,6.84
1911,6.26
1912,6.79
1913,6.87
1914,6.89
1915,8.02
1916,8.19
1917,6.18
1918,5.79
1919,7.21
1920,5.63
1921,6.62
1922,6.71
1923,6.97
1924,6.66
1925,6.69
1926,6.07
1927,7.15
1928,5.8
1929,6.12
1930,6.53
1931,4.68
1932,8.85
1933,7.11
1934,6.13
1935,6.02
1936,7.27
1937,8.66
1938,6.95
1939,7.12
1940,6.78
1941,6.68
1942,6.39
1943,6.48
1944,6.28
1945,6.61
1946,7.29
1947,5.39
1948,6.51
1949,8.14
1950,7.81
1951,6.54
1952,7.56
1953,7.14
1954,6.53
1955,5.9
1956,7.13
1957,6.2
1958,7.12
1959,5.86
1960,7.07
1961,6.16
1962,7.44
1963,4.87
1964,5.46
1965,7.83
1966,6.86
1967,6.1
1968,6.7
1969,8.06
1970,6.66
1971,6.62
1972,7.33
1973,7.46
1974,7.92
1975,7.64
1976,5.75
1977,4.17
1978,7.65
1979,8.43
1980,6.42
1981,4.72
1982,7.48
1983,8.51
1984,6.89
1985,6.01
1986,5.73
1987,6.5
1988,6.36
1989,5.75
1990,6.8
1991,6.7
1992,7.17
1993,8.16
1994,6.35
1995,6.97
1996,6.96
1997,8.47
1998,8.97
1999,7.13
2000,5.99
2001,5.77
2002,5.69
2003,6.9
2004,6.78
2005,6.94
2006,6.42
2007,6.54
2008,7.65
2009,5.99
2010,7.71
2011,6.08
2012,6.2
2013,7.26
2014,5.82
2015,6.14
2016,8.02
2017,8.2
2018,6.32
2019,9.09
2020,7.78
2021,6.16
2022,5.8
2023,7.74
2024,7.9
