Year,CONUS
1895,9.75
1896,9.92
1897,10.65
1898,11.01
1899,9.47
1900,10.21
1901,10.32
1902,10.17
1903,11.22
1904,10.36
1905,11.61
1906,11.85
1907,10.08
1908,10.5
1909,9.96
1910,9.52
1911,10.35
1912,10.12
1913,8.26
1914,9.66
1915,12.5
1916,11.22
1917,10.01
1918,8.62
1919,10.63
1920,11.21
1921,9.67
1922,10.65
1923,10.14
1924,9.24
1925,9.04
1926,10.58
1927,10.73
1928,13.3
1929,8.33
1930,7.31
1931,9.97
1932,9.93
1933,9.26
1934,9.0
1935,10.34
1936,8.13
1937,10.59
1938,11.44
1939,10.46
1940,10.15
1941,11.42
1942,11.36
1943,9.45
1944,9.27
1945,11.22
1946,10.22
1947,9.99
1948,10.23
1949,10.21
1950,10.88
1951,10.54
1952,9.33
1953,8.74
1954,8.78
1955,10.82
1956,9.19
1957,9.18
1958,11.82
1959,10.41
1960,9.94
1961,10.36
1962,9.61
1963,9.2
1964,9.52
1965,9.94
1966,8.6
1967,11.08
1968,9.75
1969,10.87
1970,9.39
1971,10.15
1972,10.85
1973,10.04
1974,9.96
1975,11.33
1976,9.36
1977,10.35
1978,10.09
1979,10.65
1980,8.57
1981,10.69
1982,11.01
1983,8.45
1984,9.83
1985,10.52
1986,10.5
1987,9.52
1988,8.5
1989,12.17
1990,10.09
1991,9.7
1992,12.0
1993,10.39
1994,10.99
1995,9.67
1996,10.76
1997,10.21
1998,10.66
1999,9.02
2000,10.07
2001,10.33
2002,8.91
2003,11.45
2004,11.68
2005,10.47
2006,10.67
2007,9.49
2008,10.88
2009,11.58
2010,10.73
2011,10.36
2012,9.34
2013,12.43
2014,11.2
2015,11.46
2016,10.46
2017,11.3
2018,11.45
2019,11.17
2020,10.33
2021,12.14
2022,9.76
2023,11.3
2024,10.35
