Year,CONUS
1895,8.24
1896,9.01
1897,9.8
1898,9.23
1899,8.77
1900,9.03
1901,10.32
1902,9.15
1903,9.46
1904,9.04
1905,9.82
1906,9.64
1907,9.42
1908,10.46
1909,9.65
1910,6.8
1911,7.34
1912,11.98
1913,9.85
1914,8.02
1915,7.7
1916,8.47
1917,9.46
1918,8.7
1919,10.25
1920,10.62
1921,9.31
1922,11.18
1923,10.04
1924,8.98
1925,6.5
1926,7.24
1927,9.73
1928,9.17
1929,11.37
1930,7.77
1931,8.35
1932,8.16
1933,10.73
1934,7.83
1935,10.0
1936,8.34
1937,8.79
1938,10.13
1939,8.23
1940,9.73
1941,7.39
1942,9.63
1943,10.18
1944,10.9
1945,10.67
1946,9.53
1947,10.21
1948,10.63
1949,8.74
1950,8.85
1951,9.03
1952,9.99
1953,11.45
1954,9.06
1955,8.93
1956,8.41
1957,10.63
1958,9.95
1959,8.93
1960,8.63
1961,10.55
1962,8.16
1963,8.3
1964,9.9
1965,8.0
1966,7.59
1967,9.31
1968,9.77
1969,8.4
1970,9.63
1971,8.27
1972,9.52
1973,12.74
1974,10.14
1975,10.81
1976,9.0
1977,9.45
1978,9.77
1979,10.98
1980,11.01
1981,8.69
1982,9.3
1983,13.54
1984,12.03
1985,7.87
1986,7.73
1987,8.7
1988,7.61
1989,10.27
1990,10.79
1991,11.9
1992,7.75
1993,10.36
1994,9.61
1995,10.19
1996,10.41
1997,9.83
1998,10.53
1999,8.93
2000,9.43
2001,9.07
2002,9.83
2003,10.35
2004,9.67
2005,9.31
2006,8.25
2007,8.85
2008,10.05
2009,10.68
2010,9.62
2011,12.07
2012,8.64
2013,9.58
2014,10.04
2015,9.84
2016,9.74
2017,11.61
2018,9.91
2019,11.36
2020,10.28
2021,8.97
2022,9.87
2023,9.02
2024,11.59
