Year,CONUS
1895,6.35
1896,9.21
1897,6.74
1898,9.65
1899,6.85
1900,9.26
1901,6.48
1902,9.23
1903,6.64
1904,5.9
1905,7.99
1906,8.74
1907,9.29
1908,5.85
1909,7.42
1910,7.17
1911,9.3
1912,7.46
1913,9.23
1914,6.67
1915,7.82
1916,6.57
1917,6.1
1918,8.96
1919,9.84
1920,8.06
1921,8.15
1922,5.86
1923,8.19
1924,6.98
1925,9.67
1926,10.14
1927,9.39
1928,7.67
1929,9.07
1930,7.41
1931,7.12
1932,9.37
1933,6.56
1934,9.52
1935,7.95
1936,7.55
1937,8.75
1938,7.9
1939,5.33
1940,7.68
1941,8.56
1942,8.54
1943,6.85
1944,8.41
1945,9.66
1946,8.62
1947,8.79
1948,8.8
1949,7.32
1950,8.22
1951,9.06
1952,5.54
1953,5.98
1954,8.04
1955,8.02
1956,6.69
1957,10.03
1958,7.78
1959,10.03
1960,8.09
1961,8.26
1962,8.75
1963,7.06
1964,7.17
1965,7.84
1966,8.0
1967,7.23
1968,8.55
1969,7.84
1970,9.31
1971,8.94
1972,10.48
1973,9.63
1974,7.95
1975,9.85
1976,7.54
1977,10.97
1978,6.6
1979,9.55
1980,7.8
1981,8.12
1982,8.67
1983,10.56
1984,8.99
1985,11.2
1986,10.31
1987,7.84
1988,9.32
1989,8.85
1990,8.52
1991,8.39
1992,9.09
1993,9.0
1994,8.65
1995,9.78
1996,10.95
1997,8.51
1998,8.31
1999,8.32
2000,8.0
2001,7.57
2002,9.99
2003,9.74
2004,10.56
2005,9.41
2006,10.68
2007,7.73
2008,8.68
2009,10.26
2010,8.57
2011,9.88
2012,7.67
2013,8.04
2014,8.48
2015,9.71
2016,7.94
2017,8.06
2018,12.58
2019,9.04
2020,8.75
2021,8.81
2022,7.75
2023,7.08
2024,6.94
