Year,CONUS
1895,-999.0
1896,43.35
1897,42.24
1898,42.7
1899,38.38
1900,42.63
1901,42.36
1902,41.58
1903,40.05
1904,41.35
1905,38.89
1906,43.07
1907,43.91
1908,43.81
1909,43.97
1910,38.46
1911,43.15
1912,39.71
1913,41.76
1914,42.59
1915,39.88
1916,41.95
1917,40.25
1918,40.32
1919,42.87
1920,40.85
1921,45.16
1922,41.82
1923,43.14
1924,43.14
1925,42.48
1926,43.76
1927,43.67
1928,42.25
1929,39.45
1930,43.36
1931,44.36
1932,44.31
1933,41.94
1934,46.41
1935,43.86
1936,38.01
1937,40.58
1938,43.43
1939,43.38
1940,41.94
1941,43.6
1942,42.49
1943,44.03
1944,43.64
1945,42.31
1946,42.68
1947,44.07
1948,41.47
1949,40.46
1950,44.17
1951,43.65
1952,43.29
1953,45.6
1954,46.49
1955,42.04
1956,42.08
1957,44.32
1958,43.87
1959,42.34
1960,41.7
1961,43.47
1962,41.39
1963,42.06
1964,41.53
1965,42.76
1966,41.33
1967,43.82
1968,41.64
1969,40.51
1970,42.57
1971,42.88
1972,43.14
1973,40.92
1974,43.74
1975,43.08
1976,45.87
1977,41.78
1978,38.63
1979,36.73
1980,43.59
1981,46.05
1982,41.39
1983,44.64
1984,40.74
1985,40.86
1986,43.81
1987,44.28
1988,42.56
1989,43.06
1990,44.73
1991,44.23
1992,46.31
1993,40.6
1994,42.28
1995,45.54
1996,43.74
1997,43.18
1998,45.05
1999,47.06
2000,47.5
2001,41.46
2002,46.59
2003,43.79
2004,43.21
2005,45.51
2006,46.36
2007,43.79
2008,43.26
2009,44.46
2010,40.06
2011,42.16
2012,47.05
2013,44.66
2014,42.33
2015,44.32
2016,46.9
2017,45.84
2018,44.88
2019,42.93
2020,46.07
2021,43.79
2022,46.37
2023,44.86
2024,47.55
