Year,CONUS
1895,82.6
1896,83.48
1897,82.55
1898,83.64
1899,83.58
1900,84.41
1901,84.81
1902,82.23
1903,80.56
1904,81.48
1905,82.23
1906,82.37
1907,81.38
1908,82.49
1909,83.01
1910,82.88
1911,83.84
1912,81.23
1913,84.08
1914,83.74
1915,80.47
1916,82.47
1917,82.83
1918,83.86
1919,83.93
1920,81.97
1921,84.37
1922,83.52
1923,82.62
1924,82.87
1925,84.17
1926,83.0
1927,80.87
1928,81.86
1929,83.25
1930,85.02
1931,84.98
1932,84.16
1933,85.13
1934,85.9
1935,83.74
1936,86.45
1937,84.63
1938,84.03
1939,84.3
1940,83.59
1941,83.26
1942,82.95
1943,84.66
1944,84.07
1945,82.15
1946,82.62
1947,83.17
1948,83.42
1949,84.44
1950,81.74
1951,82.58
1952,85.37
1953,84.67
1954,84.41
1955,84.0
1956,83.6
1957,83.52
1958,82.39
1959,84.19
1960,83.5
1961,83.33
1962,82.6
1963,83.25
1964,82.85
1965,81.95
1966,83.64
1967,81.9
1968,82.62
1969,83.08
1970,83.86
1971,83.25
1972,82.01
1973,83.72
1974,82.77
1975,82.69
1976,82.7
1977,83.68
1978,83.38
1979,82.12
1980,84.65
1981,83.38
1982,81.6
1983,84.48
1984,83.35
1985,82.5
1986,83.31
1987,83.93
1988,85.74
1989,82.51
1990,83.48
1991,83.92
1992,80.45
1993,82.47
1994,83.67
1995,83.97
1996,83.01
1997,82.41
1998,83.83
1999,84.03
2000,83.35
2001,84.03
2002,85.16
2003,83.72
2004,81.45
2005,84.56
2006,85.04
2007,84.84
2008,83.75
2009,81.96
2010,85.0
2011,85.41
2012,85.8
2013,83.35
2014,82.66
2015,83.73
2016,85.26
2017,83.67
2018,84.75
2019,83.84
2020,85.16
2021,85.0
2022,85.31
2023,84.03
2024,85.21
