Year,CONUS
1895,62.16
1896,62.29
1897,61.32
1898,61.82
1899,60.6
1900,62.08
1901,61.0
1902,62.62
1903,62.57
1904,61.09
1905,62.35
1906,60.2
1907,60.06
1908,63.24
1909,60.1
1910,65.97
1911,63.3
1912,59.98
1913,62.02
1914,61.7
1915,60.62
1916,61.07
1917,58.29
1918,63.88
1919,61.9
1920,59.7
1921,65.08
1922,62.12
1923,60.61
1924,58.98
1925,64.61
1926,60.73
1927,61.77
1928,61.41
1929,62.66
1930,62.68
1931,61.09
1932,60.71
1933,61.46
1934,64.94
1935,60.89
1936,64.02
1937,61.0
1938,63.48
1939,63.2
1940,60.69
1941,62.65
1942,63.28
1943,61.22
1944,61.21
1945,63.8
1946,65.02
1947,60.44
1948,62.36
1949,62.89
1950,59.78
1951,61.21
1952,61.24
1953,61.85
1954,61.97
1955,63.69
1956,61.38
1957,61.59
1958,60.55
1959,63.01
1960,60.0
1961,60.6
1962,61.97
1963,63.63
1964,62.43
1965,60.71
1966,61.95
1967,61.42
1968,62.63
1969,61.43
1970,61.08
1971,60.56
1972,62.3
1973,61.62
1974,63.02
1975,59.7
1976,63.2
1977,65.54
1978,61.0
1979,61.5
1980,61.55
1981,63.47
1982,61.71
1983,59.44
1984,59.76
1985,65.0
1986,64.82
1987,64.59
1988,63.59
1989,62.55
1990,62.83
1991,64.18
1992,62.95
1993,61.15
1994,63.72
1995,61.6
1996,60.84
1997,61.39
1998,63.1
1999,62.91
2000,65.15
2001,63.14
2002,62.48
2003,62.6
2004,65.05
2005,62.06
2006,64.55
2007,64.69
2008,62.11
2009,62.98
2010,64.71
2011,62.37
2012,68.24
2013,61.24
2014,62.14
2015,64.13
2016,64.74
2017,64.01
2018,62.95
2019,61.75
2020,63.11
2021,64.38
2022,63.78
2023,63.15
2024,65.02
