Year,CONUS
1895,64.44
1896,62.59
1897,66.65
1898,63.84
1899,66.9
1900,65.71
1901,65.84
1902,65.59
1903,64.85
1904,66.82
1905,65.34
1906,64.82
1907,65.09
1908,66.12
1909,66.63
1910,66.52
1911,63.68
1912,64.85
1913,65.07
1914,66.81
1915,66.7
1916,64.82
1917,65.8
1918,64.44
1919,63.9
1920,64.99
1921,67.62
1922,67.41
1923,64.61
1924,66.28
1925,63.33
1926,64.82
1927,67.29
1928,65.38
1929,63.83
1930,64.86
1931,68.24
1932,65.23
1933,67.98
1934,67.5
1935,64.92
1936,65.76
1937,65.65
1938,67.27
1939,68.0
1940,65.54
1941,65.81
1942,66.32
1943,66.06
1944,66.19
1945,66.1
1946,64.88
1947,66.37
1948,66.38
1949,67.14
1950,66.28
1951,64.11
1952,66.84
1953,69.08
1954,67.79
1955,65.97
1956,67.2
1957,63.14
1958,66.78
1959,64.2
1960,67.01
1961,64.47
1962,66.48
1963,69.32
1964,66.0
1965,65.83
1966,65.96
1967,65.56
1968,65.18
1969,64.49
1970,64.36
1971,65.12
1972,62.47
1973,66.05
1974,65.07
1975,65.82
1976,63.49
1977,65.93
1978,66.13
1979,66.33
1980,66.12
1981,65.98
1982,64.17
1983,66.04
1984,64.15
1985,63.0
1986,63.82
1987,66.78
1988,66.21
1989,66.41
1990,68.14
1991,65.02
1992,64.76
1993,63.97
1994,65.79
1995,66.14
1996,63.66
1997,65.32
1998,67.85
1999,69.31
2000,64.69
2001,68.44
2002,64.96
2003,66.75
2004,66.13
2005,68.35
2006,65.33
2007,68.08
2008,66.55
2009,65.76
2010,67.66
2011,67.42
2012,67.35
2013,65.64
2014,65.96
2015,68.52
2016,69.6
2017,67.78
2018,64.61
2019,65.69
2020,68.02
2021,68.82
2022,67.23
2023,68.07
2024,70.17
