Year,CONUS
1895,49.87
1896,51.34
1897,51.06
1898,51.19
1899,50.59
1900,52.11
1901,50.86
1902,50.91
1903,50.16
1904,49.82
1905,50.29
1906,51.21
1907,50.47
1908,51.59
1909,50.87
1910,51.4
1911,51.69
1912,49.75
1913,51.56
1914,50.94
1915,50.97
1916,50.33
1917,49.01
1918,51.14
1919,51.31
1920,50.42
1921,53.37
1922,51.67
1923,51.01
1924,49.82
1925,51.79
1926,50.74
1927,51.61
1928,51.18
1929,50.47
1930,51.61
1931,53.14
1932,51.57
1933,52.41
1934,52.66
1935,51.14
1936,51.47
1937,51.13
1938,52.66
1939,52.44
1940,50.61
1941,52.17
1942,51.39
1943,51.22
1944,51.44
1945,51.26
1946,52.47
1947,51.29
1948,51.18
1949,52.18
1950,50.8
1951,50.85
1952,51.97
1953,53.03
1954,52.56
1955,51.39
1956,51.61
1957,51.73
1958,50.78
1959,51.72
1960,50.74
1961,51.23
1962,50.94
1963,51.15
1964,51.22
1965,51.07
1966,50.77
1967,50.84
1968,50.7
1969,50.79
1970,51.05
1971,51.22
1972,50.66
1973,52.16
1974,51.63
1975,51.4
1976,50.71
1977,51.76
1978,50.25
1979,50.47
1980,51.47
1981,52.03
1982,50.92
1983,51.49
1984,51.53
1985,50.98
1986,52.54
1987,52.7
1988,51.77
1989,51.04
1990,53.31
1991,52.97
1992,51.64
1993,50.88
1994,52.06
1995,51.95
1996,51.06
1997,51.48
1998,54.07
1999,53.4
2000,52.33
2001,53.09
2002,52.88
2003,52.2
2004,52.42
2005,52.98
2006,53.76
2007,53.07
2008,51.83
2009,51.74
2010,52.77
2011,52.92
2012,54.84
2013,51.89
2014,51.53
2015,53.53
2016,54.37
2017,53.94
2018,53.01
2019,52.43
2020,53.93
2021,54.01
2022,52.92
2023,54.14
2024,54.99
