Year,CONUS
1895,70.29
1896,71.42
1897,70.48
1898,71.69
1899,71.22
1900,72.08
1901,72.46
1902,69.92
1903,68.87
1904,69.39
1905,70.41
1906,70.61
1907,69.35
1908,70.28
1909,70.86
1910,70.39
1911,71.29
1912,69.35
1913,71.3
1914,71.37
1915,68.74
1916,70.53
1917,70.41
1918,71.21
1919,71.57
1920,69.9
1921,72.1
1922,71.33
1923,70.54
1924,70.22
1925,71.48
1926,70.58
1927,68.87
1928,70.22
1929,70.45
1930,71.76
1931,72.35
1932,71.6
1933,72.25
1934,72.98
1935,71.57
1936,73.22
1937,72.34
1938,71.8
1939,71.83
1940,71.18
1941,71.19
1942,71.02
1943,72.29
1944,71.33
1945,70.07
1946,70.23
1947,70.99
1948,71.04
1949,72.17
1950,69.45
1951,70.43
1952,72.58
1953,71.82
1954,71.7
1955,71.72
1956,71.05
1957,71.14
1958,70.46
1959,71.96
1960,71.04
1961,71.07
1962,70.2
1963,70.86
1964,70.55
1965,69.83
1966,71.0
1967,70.01
1968,70.6
1969,71.02
1970,71.53
1971,70.89
1972,70.1
1973,71.73
1974,70.41
1975,70.95
1976,70.31
1977,71.56
1978,71.15
1979,70.3
1980,72.06
1981,71.54
1982,69.91
1983,72.11
1984,71.37
1985,70.36
1986,71.31
1987,71.85
1988,72.81
1989,70.97
1990,71.58
1991,72.0
1992,69.02
1993,70.85
1994,71.76
1995,72.02
1996,71.26
1997,70.62
1998,72.12
1999,72.05
2000,71.41
2001,72.05
2002,72.87
2003,72.01
2004,70.06
2005,72.76
2006,72.97
2007,72.64
2008,71.68
2009,70.53
2010,73.35
2011,73.32
2012,73.23
2013,72.0
2014,71.17
2015,72.19
2016,73.37
2017,71.92
2018,73.11
2019,72.14
2020,73.26
2021,73.48
2022,73.4
2023,72.3
2024,73.35
