Year,CONUS
1895,50.02
1896,50.7
1897,49.79
1898,50.31
1899,49.05
1900,50.13
1901,49.45
1902,51.1
1903,51.12
1904,49.42
1905,50.96
1906,48.69
1907,48.59
1908,51.47
1909,48.6
1910,53.06
1911,50.86
1912,48.73
1913,49.99
1914,49.89
1915,49.23
1916,49.22
1917,46.99
1918,51.58
1919,50.28
1920,48.24
1921,52.93
1922,50.74
1923,48.46
1924,47.68
1925,51.81
1926,48.46
1927,50.51
1928,49.45
1929,51.07
1930,50.59
1931,49.27
1932,48.93
1933,50.14
1934,51.9
1935,49.78
1936,51.67
1937,49.34
1938,51.84
1939,50.85
1940,49.07
1941,50.61
1942,51.39
1943,49.21
1944,49.57
1945,51.78
1946,52.83
1947,48.88
1948,50.5
1949,50.94
1950,48.01
1951,49.45
1952,49.62
1953,50.57
1954,50.02
1955,51.5
1956,49.22
1957,50.48
1958,49.59
1959,50.92
1960,48.2
1961,49.25
1962,50.17
1963,51.38
1964,50.42
1965,49.21
1966,49.82
1967,49.56
1968,50.41
1969,49.38
1970,49.51
1971,48.41
1972,50.26
1973,50.8
1974,51.28
1975,48.53
1976,50.87
1977,53.18
1978,49.65
1979,50.33
1980,49.9
1981,51.53
1982,50.05
1983,48.85
1984,48.66
1985,52.78
1986,52.6
1987,52.43
1988,51.03
1989,50.66
1990,51.28
1991,52.96
1992,51.05
1993,49.86
1994,51.49
1995,50.29
1996,49.1
1997,49.5
1998,51.77
1999,51.05
2000,53.07
2001,51.44
2002,50.48
2003,51.05
2004,53.28
2005,50.2
2006,52.53
2007,52.46
2008,50.02
2009,51.26
2010,52.83
2011,51.2
2012,55.97
2013,49.71
2014,50.0
2015,52.24
2016,53.0
2017,52.56
2018,51.36
2019,50.67
2020,51.79
2021,52.14
2022,51.87
2023,51.3
2024,53.57
