Year,CONUS
1895,51.84
1896,51.31
1897,53.85
1898,51.99
1899,54.0
1900,54.85
1901,52.36
1902,53.69
1903,51.76
1904,52.84
1905,52.82
1906,53.12
1907,52.18
1908,53.35
1909,53.58
1910,53.39
1911,51.95
1912,52.97
1913,53.42
1914,53.79
1915,54.29
1916,52.01
1917,51.07
1918,52.54
1919,53.15
1920,53.41
1921,54.5
1922,54.46
1923,52.72
1924,52.73
1925,51.78
1926,52.57
1927,55.06
1928,52.9
1929,51.88
1930,52.94
1931,56.52
1932,52.33
1933,54.03
1934,54.57
1935,52.71
1936,52.94
1937,52.4
1938,54.08
1939,54.04
1940,52.71
1941,54.61
1942,53.62
1943,52.19
1944,53.59
1945,53.58
1946,53.86
1947,54.4
1948,53.69
1949,53.8
1950,53.25
1951,51.8
1952,52.42
1953,54.97
1954,54.55
1955,52.74
1956,53.33
1957,52.32
1958,53.89
1959,52.56
1960,54.26
1961,53.48
1962,53.33
1963,55.75
1964,52.9
1965,53.28
1966,52.88
1967,52.06
1968,53.17
1969,52.45
1970,53.31
1971,54.28
1972,51.66
1973,54.51
1974,52.23
1975,53.62
1976,50.04
1977,53.81
1978,53.55
1979,53.56
1980,53.07
1981,53.07
1982,53.02
1983,54.2
1984,52.94
1985,53.19
1986,53.04
1987,53.32
1988,52.95
1989,53.4
1990,55.19
1991,52.9
1992,52.51
1993,51.81
1994,54.14
1995,52.94
1996,51.86
1997,52.99
1998,55.99
1999,55.32
2000,52.88
2001,55.38
2002,53.5
2003,54.38
2004,55.02
2005,55.87
2006,53.23
2007,55.7
2008,53.75
2009,54.05
2010,54.85
2011,54.98
2012,53.95
2013,53.64
2014,53.55
2015,56.61
2016,57.34
2017,55.61
2018,53.82
2019,53.88
2020,55.36
2021,56.21
2022,54.61
2023,55.63
2024,57.19
