Year,CONUS
1900,0.2
1901,0.44
1902,0.3
1903,0.69
1904,1.19
1905,1.41
1906,0.41
1907,1.03
1908,0.18
1909,0.69
1910,0.48
1911,0.4
1912,1.66
1913,0.61
1914,0.8
1915,0.58
1916,1.63
1917,1.6
1918,0.94
1919,0.65
1920,0.35
1921,0.12
1922,0.82
1923,0.51
1924,1.11
1925,0.26
1926,0.07
1927,0.5
1928,0.2
1929,1.06
1930,0.67
1931,0.01
1932,0.23
1933,1.0
1934,0.28
1935,0.61
1936,2.67
1937,1.0
1938,0.29
1939,0.63
1940,0.2
1941,0.05
1942,0.29
1943,0.72
1944,0.11
1945,0.17
1946,0.17
1947,0.1
1948,0.72
1949,0.55
1950,1.06
1951,0.89
1952,0.27
1953,0.08
1954,0.63
1955,0.24
1956,0.21
1957,0.36
1958,0.1
1959,0.29
1960,0.06
1961,0.07
1962,0.64
1963,0.53
1964,0.12
1965,0.3
1966,0.68
1967,0.54
1968,0.53
1969,0.26
1970,0.64
1971,0.35
1972,0.8
1973,0.26
1974,0.4
1975,0.1
1976,0.24
1977,0.63
1978,0.2
1979,0.84
1980,0.14
1981,0.12
1982,0.95
1983,0.72
1984,0.26
1985,0.62
1986,0.07
1987,0.1
1988,0.42
1989,0.99
1990,0.53
1991,0.07
1992,0.02
1993,0.17
1994,1.0
1995,0.03
1996,1.76
1997,0.18
1998,0.11
1999,0.03
2000,0.01
2001,0.01
2002,0.02
2003,0.07
2004,0.23
2005,0.35
2006,0.02
2007,0.06
2008,0.14
2009,0.36
2010,0.12
2011,0.18
2012,0.01
2013,0.08
2014,0.16
2015,0.03
2016,0.09
2017,0.1
2018,0.13
2019,0.57
2020,0.03
2021,0.51
2022,0.39
2023,0.06
2024,0.22
