Year,CONUS
1950,66.04
1951,68.55
1952,69.77
1953,71.7
1954,75.66
1955,78.26
1956,70.92
1957,73.26
1958,69.63
1959,83.56
1960,70.89
1961,73.09
1962,69.59
1963,69.76
1964,70.07
1965,70.87
1966,66.62
1967,64.83
1968,65.61
1969,71.61
1970,75.78
1971,73.84
1972,68.96
1973,77.09
1974,66.11
1975,74.75
1976,61.81
1977,76.34
1978,70.96
1979,68.74
1980,72.03
1981,70.27
1982,67.91
1983,72.12
1984,72.27
1985,70.73
1986,75.89
1987,72.83
1988,69.16
1989,72.34
1990,75.68
1991,82.79
1992,60.86
1993,69.0
1994,71.93
1995,73.87
1996,71.93
1997,65.86
1998,80.73
1999,70.84
2000,72.37
2001,73.28
2002,81.59
2003,72.85
2004,74.18
2005,78.75
2006,74.38
2007,80.64
2008,69.8
2009,69.94
2010,81.58
2011,78.58
2012,81.83
2013,79.29
2014,74.0
2015,84.02
2016,84.3
2017,78.59
2018,94.36
2019,83.64
2020,82.97
2021,87.15
2022,82.74
2023,78.83
2024,86.55
