Year,CONUS
1895,38.1
1896,40.24
1897,39.7
1898,39.54
1899,39.07
1900,40.95
1901,39.77
1902,39.79
1903,38.75
1904,38.92
1905,39.45
1906,40.12
1907,39.69
1908,39.96
1909,39.53
1910,39.89
1911,40.08
1912,38.49
1913,39.6
1914,39.93
1915,39.84
1916,38.57
1917,37.62
1918,39.8
1919,39.77
1920,39.44
1921,41.63
1922,40.0
1923,39.86
1924,38.25
1925,40.41
1926,40.02
1927,40.37
1928,39.9
1929,38.77
1930,39.76
1931,41.42
1932,39.7
1933,40.57
1934,41.44
1935,40.1
1936,39.7
1937,39.65
1938,41.13
1939,40.6
1940,40.03
1941,41.22
1942,39.82
1943,39.53
1944,39.83
1945,39.8
1946,40.73
1947,39.95
1948,39.37
1949,39.83
1950,39.16
1951,39.04
1952,39.84
1953,40.96
1954,40.86
1955,39.41
1956,39.75
1957,40.62
1958,40.12
1959,40.06
1960,39.44
1961,39.91
1962,39.83
1963,39.85
1964,39.42
1965,39.89
1966,39.33
1967,39.68
1968,39.43
1969,39.8
1970,39.66
1971,39.77
1972,39.64
1973,40.75
1974,40.2
1975,39.76
1976,38.87
1977,40.51
1978,39.32
1979,39.05
1980,40.33
1981,41.16
1982,39.84
1983,40.68
1984,40.36
1985,39.54
1986,41.73
1987,41.31
1988,40.07
1989,39.69
1990,41.39
1991,41.5
1992,41.06
1993,39.83
1994,40.93
1995,40.95
1996,40.05
1997,40.68
1998,42.82
1999,41.54
2000,41.2
2001,41.73
2002,41.21
2003,41.39
2004,41.56
2005,41.77
2006,42.07
2007,41.66
2008,40.12
2009,40.59
2010,41.3
2011,41.2
2012,42.87
2013,40.69
2014,40.73
2015,42.71
2016,43.12
2017,42.74
2018,41.93
2019,41.26
2020,42.4
2021,42.63
2022,41.1
2023,42.57
2024,43.6
