Year,CONUS
1895,-999.0
1896,22.13
1897,22.5
1898,21.81
1899,17.53
1900,21.67
1901,21.63
1902,20.42
1903,20.01
1904,18.45
1905,18.5
1906,21.97
1907,23.5
1908,22.96
1909,23.13
1910,17.89
1911,22.51
1912,18.98
1913,20.19
1914,22.29
1915,20.89
1916,20.99
1917,17.94
1918,17.9
1919,22.82
1920,20.28
1921,24.42
1922,20.73
1923,22.0
1924,21.81
1925,20.83
1926,23.23
1927,23.52
1928,20.77
1929,18.01
1930,21.7
1931,23.69
1932,24.57
1933,20.28
1934,24.15
1935,22.93
1936,17.55
1937,20.1
1938,23.79
1939,22.03
1940,21.66
1941,24.24
1942,21.97
1943,21.75
1944,22.45
1945,21.97
1946,20.89
1947,22.17
1948,20.15
1949,19.81
1950,22.0
1951,21.51
1952,22.49
1953,24.89
1954,24.16
1955,20.83
1956,21.25
1957,23.25
1958,23.18
1959,20.47
1960,22.25
1961,21.54
1962,20.6
1963,19.25
1964,19.27
1965,21.49
1966,20.99
1967,21.95
1968,20.99
1969,20.97
1970,21.39
1971,21.43
1972,21.84
1973,21.1
1974,22.56
1975,22.76
1976,23.3
1977,18.26
1978,19.44
1979,16.51
1980,23.06
1981,23.41
1982,20.26
1983,25.88
1984,20.39
1985,20.29
1986,22.41
1987,24.56
1988,21.47
1989,21.42
1990,22.55
1991,22.52
1992,26.39
1993,21.64
1994,21.32
1995,25.56
1996,22.14
1997,23.42
1998,26.74
1999,25.49
2000,25.47
2001,21.05
2002,24.74
2003,23.32
2004,22.93
2005,25.42
2006,24.61
2007,23.1
2008,22.21
2009,21.99
2010,21.36
2011,21.33
2012,25.64
2013,23.96
2014,20.18
2015,24.25
2016,26.65
2017,25.95
2018,23.1
2019,23.69
2020,26.0
2021,23.48
2022,23.07
2023,24.83
2024,27.41
