Year,CONUS
1895,57.96
1896,59.36
1897,58.38
1898,59.72
1899,58.85
1900,59.75
1901,60.1
1902,57.6
1903,57.17
1904,57.3
1905,58.59
1906,58.85
1907,57.3
1908,58.06
1909,58.71
1910,57.9
1911,58.73
1912,57.45
1913,58.52
1914,59.0
1915,57.0
1916,58.59
1917,57.97
1918,58.55
1919,59.2
1920,57.83
1921,59.82
1922,59.13
1923,58.45
1924,57.57
1925,58.78
1926,58.14
1927,56.88
1928,58.59
1929,57.64
1930,58.5
1931,59.72
1932,59.03
1933,59.37
1934,60.06
1935,59.39
1936,59.98
1937,60.03
1938,59.55
1939,59.33
1940,58.77
1941,59.1
1942,59.07
1943,59.9
1944,58.59
1945,57.96
1946,57.82
1947,58.79
1948,58.67
1949,59.89
1950,57.15
1951,58.27
1952,59.78
1953,58.98
1954,58.99
1955,59.44
1956,58.49
1957,58.76
1958,58.52
1959,59.71
1960,58.56
1961,58.8
1962,57.8
1963,58.47
1964,58.25
1965,57.7
1966,58.36
1967,58.11
1968,58.58
1969,58.95
1970,59.2
1971,58.51
1972,58.17
1973,59.74
1974,58.05
1975,59.2
1976,57.89
1977,59.44
1978,58.92
1979,58.47
1980,59.46
1981,59.68
1982,58.22
1983,59.73
1984,59.36
1985,58.21
1986,59.31
1987,59.75
1988,59.88
1989,59.42
1990,59.67
1991,60.07
1992,57.57
1993,59.22
1994,59.84
1995,60.08
1996,59.5
1997,58.82
1998,60.4
1999,60.06
2000,59.45
2001,60.07
2002,60.57
2003,60.28
2004,58.65
2005,60.95
2006,60.89
2007,60.43
2008,59.63
2009,59.08
2010,61.68
2011,61.22
2012,60.64
2013,60.64
2014,59.66
2015,60.64
2016,61.46
2017,60.17
2018,61.46
2019,60.44
2020,61.35
2021,61.94
2022,61.46
2023,60.56
2024,61.48
