Year,CONUS
1895,38.13
1896,39.02
1897,38.29
1898,38.53
1899,37.38
1900,39.31
1901,38.1
1902,39.55
1903,38.97
1904,38.26
1905,40.13
1906,37.72
1907,37.82
1908,39.48
1909,37.0
1910,40.51
1911,39.09
1912,37.36
1913,37.48
1914,38.77
1915,38.38
1916,38.03
1917,35.49
1918,39.23
1919,38.72
1920,36.97
1921,40.21
1922,38.93
1923,36.88
1924,36.46
1925,39.82
1926,37.69
1927,39.49
1928,38.31
1929,39.16
1930,38.86
1931,37.42
1932,37.67
1933,38.48
1934,40.02
1935,38.77
1936,39.42
1937,38.13
1938,40.27
1939,39.23
1940,38.51
1941,39.3
1942,38.86
1943,37.75
1944,37.81
1945,38.94
1946,40.69
1947,37.77
1948,38.44
1949,39.23
1950,36.64
1951,37.31
1952,37.79
1953,38.63
1954,38.2
1955,38.73
1956,37.83
1957,39.31
1958,38.62
1959,38.78
1960,36.87
1961,38.3
1962,38.39
1963,39.66
1964,38.13
1965,37.57
1966,38.18
1967,38.47
1968,38.27
1969,37.53
1970,37.65
1971,36.7
1972,39.05
1973,39.33
1974,39.83
1975,37.1
1976,38.38
1977,40.38
1978,39.09
1979,38.79
1980,38.18
1981,40.08
1982,38.64
1983,37.97
1984,38.1
1985,40.76
1986,40.83
1987,40.37
1988,38.57
1989,39.48
1990,40.06
1991,40.99
1992,40.38
1993,39.12
1994,39.92
1995,38.92
1996,37.84
1997,38.23
1998,39.76
1999,39.29
2000,41.21
2001,40.31
2002,38.17
2003,39.96
2004,41.64
2005,39.05
2006,40.86
2007,40.94
2008,37.84
2009,39.47
2010,40.03
2011,39.53
2012,43.29
2013,38.17
2014,38.47
2015,40.92
2016,41.48
2017,41.33
2018,40.08
2019,39.37
2020,40.65
2021,39.92
2022,39.62
2023,39.23
2024,41.53
