Year,CONUS
1895,39.26
1896,39.48
1897,41.59
1898,39.68
1899,42.19
1900,42.95
1901,41.05
1902,41.62
1903,39.72
1904,41.17
1905,41.18
1906,41.3
1907,40.77
1908,40.44
1909,41.55
1910,41.73
1911,40.31
1912,40.51
1913,41.82
1914,41.96
1915,41.84
1916,39.06
1917,39.53
1918,41.26
1919,41.1
1920,41.48
1921,42.0
1922,42.0
1923,41.28
1924,40.45
1925,40.63
1926,41.49
1927,42.82
1928,41.2
1929,39.96
1930,40.8
1931,43.78
1932,39.91
1933,42.3
1934,42.72
1935,40.44
1936,40.65
1937,41.25
1938,41.34
1939,41.54
1940,41.4
1941,42.58
1942,41.24
1943,39.85
1944,41.81
1945,41.29
1946,41.38
1947,42.57
1948,40.82
1949,41.52
1950,41.43
1951,39.97
1952,39.0
1953,41.73
1954,42.31
1955,40.09
1956,40.49
1957,40.92
1958,41.96
1959,40.25
1960,42.24
1961,40.67
1962,42.46
1963,43.79
1964,40.52
1965,41.76
1966,41.07
1967,40.76
1968,41.25
1969,40.94
1970,41.03
1971,42.18
1972,41.26
1973,42.85
1974,40.62
1975,40.9
1976,38.26
1977,42.55
1978,41.64
1979,41.16
1980,41.28
1981,41.97
1982,41.42
1983,43.01
1984,41.35
1985,41.33
1986,42.22
1987,41.3
1988,41.66
1989,41.13
1990,42.67
1991,41.01
1992,41.38
1993,39.66
1994,42.38
1995,41.27
1996,40.81
1997,42.11
1998,44.78
1999,42.13
2000,41.07
2001,43.18
2002,42.1
2003,42.47
2004,43.84
2005,43.45
2006,41.28
2007,43.29
2008,42.15
2009,42.68
2010,42.27
2011,42.5
2012,42.1
2013,42.33
2014,42.26
2015,45.02
2016,45.58
2017,43.52
2018,42.86
2019,42.01
2020,42.96
2021,44.37
2022,42.22
2023,43.93
2024,44.97
