year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1925,-0.588,-3.494,3.445,-999,-999,-999,-999,-999,-999,-999,-999
1926,3.971,-3.444,3.416,-999,-999,-999,-999,-999,-999,-999,-999
1927,-1.971,-3.424,3.402,-999,-999,-999,-999,-999,-999,-999,-999
1928,1.046,-3.463,3.475,-999,-999,-999,-999,-999,-999,-999,-999
1929,1.729,-3.302,3.508,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.529,-3.197,3.418,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.854,-3.062,3.437,-999,-999,-999,-999,-999,-999,-999,-999
1932,-1.971,-3.06,3.436,-999,-999,-999,-999,-999,-999,-999,-999
1933,-2.896,-3.204,3.434,-999,-999,-999,-999,-999,-999,-999,-999
1934,0.496,-3.401,3.44,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.213,-3.402,3.428,-999,-999,-999,-999,-999,-999,-999,-999
1936,0.479,-3.456,3.509,-999,-999,-999,-999,-999,-999,-999,-999
1937,1.296,-3.429,3.559,-999,-999,-999,-999,-999,-999,-999,-999
1938,0.946,-3.494,3.518,-999,-999,-999,-999,-999,-999,-999,-999
1939,-1.121,-3.366,3.584,-999,-999,-999,-999,-999,-999,-999,-999
1940,3.337,-3.358,3.562,-999,-999,-999,-999,-999,-999,-999,-999
1941,1.071,-3.425,3.658,-999,-999,-999,-999,-999,-999,-999,-999
1942,1.321,-3.448,3.684,-999,-999,-999,-999,-999,-999,-999,-999
1943,1.271,-3.494,3.687,-999,-999,-999,-999,-999,-999,-999,-999
1944,1.612,-3.341,3.694,-999,-999,-999,-999,-999,-999,-999,-999
1945,-0.229,-3.254,3.716,-999,-999,-999,-999,-999,-999,-999,-999
1946,-1.404,-3.349,3.744,-999,-999,-999,-999,-999,-999,-999,-999
1947,-0.021,-3.234,3.716,-999,-999,-999,-999,-999,-999,-999,-999
1948,-2.513,-3.334,3.828,-999,-999,-999,-999,-999,-999,-999,-999
1949,-0.329,-3.378,3.911,-999,-999,-999,-999,-999,-999,-999,-999
1950,0.204,-3.54,3.863,-999,-999,-999,-999,-999,-999,-999,-999
1951,-0.713,-3.623,4.016,-999,-999,-999,-999,-999,-999,-999,-999
1952,-0.454,-3.674,4.054,-999,-999,-999,-999,-999,-999,-999,-999
1953,0.179,-3.703,4.089,-999,-999,-999,-999,-999,-999,-999,-999
1954,-1.321,-3.568,4.145,-999,-999,-999,-999,-999,-999,-999,-999
1955,-2.579,-3.566,4.107,-999,-999,-999,-999,-999,-999,-999,-999
1956,-4.046,-3.583,4.107,-999,-999,-999,-999,-999,-999,-999,-999
1957,2.362,-3.389,4.109,-999,-999,-999,-999,-999,-999,-999,-999
1958,1.137,-3.542,3.98,-999,-999,-999,-999,-999,-999,-999,-999
1959,-1.254,-3.507,3.908,-999,-999,-999,-999,-999,-999,-999,-999
1960,0.846,-3.398,3.867,-999,-999,-999,-999,-999,-999,-999,-999
1961,-2.163,-3.47,3.822,-999,-999,-999,-999,-999,-999,-999,-999
1962,0.971,-3.494,3.654,-999,-999,-999,-999,-999,-999,-999,-999
1963,0.687,-3.412,3.587,-999,-999,-999,-999,-999,-999,-999,-999
1964,-2.613,-3.536,3.567,-999,-999,-999,-999,-999,-999,-999,-999
1965,-1.171,-3.816,3.523,-999,-999,-999,-999,-999,-999,-999,-999
1966,-2.113,-3.811,3.582,-999,-999,-999,-999,-999,-999,-999,-999
1967,1.187,-3.71,3.558,-999,-999,-999,-999,-999,-999,-999,-999
1968,-0.488,-3.906,3.615,-999,-999,-999,-999,-999,-999,-999,-999
1969,1.162,-3.721,3.795,-999,-999,-999,-999,-999,-999,-999,-999
1970,-0.629,-3.889,3.833,-999,-999,-999,-999,-999,-999,-999,-999
1971,-3.596,-3.994,3.732,-999,-999,-999,-999,-999,-999,-999,-999
1972,-2.313,-3.813,3.78,-999,-999,-999,-999,-999,-999,-999,-999
1973,-1.271,-3.739,3.896,-999,-999,-999,-999,-999,-999,-999,-999
1974,-2.204,-3.679,3.921,-999,-999,-999,-999,-999,-999,-999,-999
1975,-2.846,-3.507,3.981,-999,-999,-999,-999,-999,-999,-999,-999
1976,-0.054,-3.277,4.133,-999,-999,-999,-999,-999,-999,-999,-999
1977,1.121,-3.153,4.155,-999,-999,-999,-999,-999,-999,-999,-999
1978,3.204,-3.278,4.101,-999,-999,-999,-999,-999,-999,-999,-999
1979,1.712,-3.322,4.086,-999,-999,-999,-999,-999,-999,-999,-999
1980,0.579,-3.487,4.093,-999,-999,-999,-999,-999,-999,-999,-999
1981,3.329,-3.222,4.117,-999,-999,-999,-999,-999,-999,-999,-999
1982,-0.579,-3.301,4.251,-999,-999,-999,-999,-999,-999,-999,-999
1983,0.987,-3.355,4.26,-999,-999,-999,-999,-999,-999,-999,-999
1984,-0.621,-3.274,4.35,-999,-999,-999,-999,-999,-999,-999,-999
1985,0.421,-3.198,4.455,-999,-999,-999,-999,-999,-999,-999,-999
1986,1.054,-3.024,4.513,-999,-999,-999,-999,-999,-999,-999,-999
1987,1.662,-3.116,4.366,-999,-999,-999,-999,-999,-999,-999,-999
