year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.893,-1.986,1.43,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.768,-1.984,1.404,-999,-999,-999,-999,-999,-999,-999,-999
1902,0.476,-1.94,1.423,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.191,-1.973,1.333,-999,-999,-999,-999,-999,-999,-999,-999
1904,0.476,-1.994,1.284,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.391,-2.046,1.257,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.157,-2.083,1.203,-999,-999,-999,-999,-999,-999,-999,-999
1907,0.276,-2.182,1.152,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.449,-2.158,1.079,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.716,-2.068,1.094,-999,-999,-999,-999,-999,-999,-999,-999
1910,2.009,-2.024,1.128,-999,-999,-999,-999,-999,-999,-999,-999
1911,-0.399,-2.057,1.143,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.974,-2.031,1.271,-999,-999,-999,-999,-999,-999,-999,-999
1913,-1.691,-1.944,1.314,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.743,-1.881,1.357,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.957,-1.837,1.39,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.391,-1.854,1.387,-999,-999,-999,-999,-999,-999,-999,-999
1917,-0.516,-1.851,1.354,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.357,-1.76,1.402,-999,-999,-999,-999,-999,-999,-999,-999
1919,-1.091,-1.774,1.444,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.382,-1.727,1.507,-999,-999,-999,-999,-999,-999,-999,-999
1921,0.743,-1.684,1.518,-999,-999,-999,-999,-999,-999,-999,-999
1922,-0.549,-1.573,1.538,-999,-999,-999,-999,-999,-999,-999,-999
1923,-1.316,-1.536,1.485,-999,-999,-999,-999,-999,-999,-999,-999
1924,-0.557,-1.555,1.502,-999,-999,-999,-999,-999,-999,-999,-999
1925,-0.074,-1.524,1.486,-999,-999,-999,-999,-999,-999,-999,-999
1926,0.434,-1.502,1.496,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.359,-1.461,1.445,-999,-999,-999,-999,-999,-999,-999,-999
1928,0.459,-1.434,1.532,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.641,-1.375,1.489,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.641,-1.313,1.461,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.043,-1.362,1.48,-999,-999,-999,-999,-999,-999,-999,-999
1932,-0.791,-1.357,1.49,-999,-999,-999,-999,-999,-999,-999,-999
1933,-0.424,-1.332,1.491,-999,-999,-999,-999,-999,-999,-999,-999
1934,2.559,-1.342,1.492,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.174,-1.326,1.495,-999,-999,-999,-999,-999,-999,-999,-999
1936,1.134,-1.332,1.563,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.049,-1.341,1.604,-999,-999,-999,-999,-999,-999,-999,-999
1938,0.134,-1.338,1.658,-999,-999,-999,-999,-999,-999,-999,-999
1939,0.468,-1.326,1.627,-999,-999,-999,-999,-999,-999,-999,-999
