year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.394,-1.826,1.074,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.144,-1.872,1.101,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.931,-1.907,1.129,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.889,-1.882,1.117,-999,-999,-999,-999,-999,-999,-999,-999
1904,0.319,-1.932,1.179,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.022,-1.938,1.145,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.086,-1.935,1.078,-999,-999,-999,-999,-999,-999,-999,-999
1907,-0.572,-2.026,1.131,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.864,-2.024,1.118,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.872,-1.928,1.153,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.561,-1.944,1.219,-999,-999,-999,-999,-999,-999,-999,-999
1911,-1.722,-1.972,1.243,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.556,-1.924,1.29,-999,-999,-999,-999,-999,-999,-999,-999
1913,-0.647,-1.826,1.382,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.278,-1.852,1.437,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.356,-1.834,1.407,-999,-999,-999,-999,-999,-999,-999,-999
1916,-1.514,-1.845,1.393,-999,-999,-999,-999,-999,-999,-999,-999
1917,-0.472,-1.802,1.415,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.256,-1.721,1.42,-999,-999,-999,-999,-999,-999,-999,-999
1919,-0.822,-1.736,1.458,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.006,-1.701,1.507,-999,-999,-999,-999,-999,-999,-999,-999
1921,0.211,-1.648,1.476,-999,-999,-999,-999,-999,-999,-999,-999
1922,-1.039,-1.565,1.431,-999,-999,-999,-999,-999,-999,-999,-999
1923,-0.731,-1.526,1.407,-999,-999,-999,-999,-999,-999,-999,-999
1924,0.053,-1.475,1.357,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.044,-1.42,1.332,-999,-999,-999,-999,-999,-999,-999,-999
1926,1.694,-1.363,1.332,-999,-999,-999,-999,-999,-999,-999,-999
1927,-0.222,-1.353,1.3,-999,-999,-999,-999,-999,-999,-999,-999
1928,0.578,-1.336,1.315,-999,-999,-999,-999,-999,-999,-999,-999
1929,0.136,-1.282,1.266,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.156,-1.211,1.284,-999,-999,-999,-999,-999,-999,-999,-999
1931,1.186,-1.278,1.336,-999,-999,-999,-999,-999,-999,-999,-999
1932,-0.164,-1.313,1.368,-999,-999,-999,-999,-999,-999,-999,-999
1933,-0.372,-1.288,1.355,-999,-999,-999,-999,-999,-999,-999,-999
1934,2.611,-1.31,1.38,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.256,-1.288,1.379,-999,-999,-999,-999,-999,-999,-999,-999
1936,1.519,-1.309,1.406,-999,-999,-999,-999,-999,-999,-999,-999
1937,0.061,-1.313,1.444,-999,-999,-999,-999,-999,-999,-999,-999
1938,0.153,-1.255,1.473,-999,-999,-999,-999,-999,-999,-999,-999
1939,1.219,-1.264,1.5,-999,-999,-999,-999,-999,-999,-999,-999
1940,1.736,-1.312,1.548,-999,-999,-999,-999,-999,-999,-999,-999
1941,-0.039,-1.382,1.517,-999,-999,-999,-999,-999,-999,-999,-999
1942,-0.047,-1.32,1.483,-999,-999,-999,-999,-999,-999,-999,-999
1943,0.736,-1.3,1.512,-999,-999,-999,-999,-999,-999,-999,-999
1944,-0.872,-1.411,1.534,-999,-999,-999,-999,-999,-999,-999,-999
1945,-0.006,-1.384,1.547,-999,-999,-999,-999,-999,-999,-999,-999
1946,-0.381,-1.377,1.589,-999,-999,-999,-999,-999,-999,-999,-999
1947,0.453,-1.408,1.548,-999,-999,-999,-999,-999,-999,-999,-999
1948,-1.447,-1.407,1.564,-999,-999,-999,-999,-999,-999,-999,-999
1949,-0.881,-1.39,1.596,-999,-999,-999,-999,-999,-999,-999,-999
1950,1.028,-1.413,1.57,-999,-999,-999,-999,-999,-999,-999,-999
1951,0.128,-1.391,1.559,-999,-999,-999,-999,-999,-999,-999,-999
1952,-0.339,-1.292,1.567,-999,-999,-999,-999,-999,-999,-999,-999
1953,0.078,-1.271,1.59,-999,-999,-999,-999,-999,-999,-999,-999
1954,0.478,-1.294,1.642,-999,-999,-999,-999,-999,-999,-999,-999
1955,-0.889,-1.236,1.65,-999,-999,-999,-999,-999,-999,-999,-999
1956,-0.131,-1.309,1.632,-999,-999,-999,-999,-999,-999,-999,-999
1957,-0.006,-1.379,1.601,-999,-999,-999,-999,-999,-999,-999,-999
1958,1.794,-1.359,1.642,-999,-999,-999,-999,-999,-999,-999,-999
1959,1.853,-1.402,1.589,-999,-999,-999,-999,-999,-999,-999,-999
1960,0.953,-1.482,1.535,-999,-999,-999,-999,-999,-999,-999,-999
1961,0.711,-1.527,1.547,-999,-999,-999,-999,-999,-999,-999,-999
1962,0.278,-1.628,1.542,-999,-999,-999,-999,-999,-999,-999,-999
1963,-0.014,-1.702,1.541,-999,-999,-999,-999,-999,-999,-999,-999
1964,-0.531,-1.801,1.502,-999,-999,-999,-999,-999,-999,-999,-999
1965,-0.397,-1.816,1.461,-999,-999,-999,-999,-999,-999,-999,-999
1966,0.911,-1.828,1.435,-999,-999,-999,-999,-999,-999,-999,-999
1967,0.394,-1.859,1.41,-999,-999,-999,-999,-999,-999,-999,-999
1968,0.494,-1.835,1.432,-999,-999,-999,-999,-999,-999,-999,-999
1969,0.394,-1.835,1.385,-999,-999,-999,-999,-999,-999,-999,-999
1970,0.719,-1.84,1.408,-999,-999,-999,-999,-999,-999,-999,-999
1971,-0.889,-1.825,1.463,-999,-999,-999,-999,-999,-999,-999,-999
1972,0.161,-1.835,1.475,-999,-999,-999,-999,-999,-999,-999,-999
1973,0.203,-1.774,1.497,-999,-999,-999,-999,-999,-999,-999,-999
1974,0.536,-1.719,1.495,-999,-999,-999,-999,-999,-999,-999,-999
1975,-0.831,-1.686,1.515,-999,-999,-999,-999,-999,-999,-999,-999
1976,0.378,-1.669,1.54,-999,-999,-999,-999,-999,-999,-999,-999
1977,0.878,-1.626,1.625,-999,-999,-999,-999,-999,-999,-999,-999
1978,0.511,-1.601,1.637,-999,-999,-999,-999,-999,-999,-999,-999
1979,0.569,-1.665,1.634,-999,-999,-999,-999,-999,-999,-999,-999
1980,0.978,-1.738,1.631,-999,-999,-999,-999,-999,-999,-999,-999
1981,2.203,-1.728,1.66,-999,-999,-999,-999,-999,-999,-999,-999
1982,-0.756,-1.714,1.701,-999,-999,-999,-999,-999,-999,-999,-999
1983,0.453,-1.675,1.713,-999,-999,-999,-999,-999,-999,-999,-999
1984,1.119,-1.612,1.835,-999,-999,-999,-999,-999,-999,-999,-999
1985,0.228,-1.617,1.932,-999,-999,-999,-999,-999,-999,-999,-999
1986,1.778,-1.642,1.988,-999,-999,-999,-999,-999,-999,-999,-999
1987,1.178,-1.642,1.976,-999,-999,-999,-999,-999,-999,-999,-999
1988,1.653,-1.65,1.946,-999,-999,-999,-999,-999,-999,-999,-999
1989,1.011,-1.582,2.01,-999,-999,-999,-999,-999,-999,-999,-999
1990,0.869,-1.459,2.16,-999,-999,-999,-999,-999,-999,-999,-999
1991,1.036,-1.366,2.35,-999,-999,-999,-999,-999,-999,-999,-999
1992,2.169,-1.332,2.376,-999,-999,-999,-999,-999,-999,-999,-999
1993,0.561,-1.254,2.429,-999,-999,-999,-999,-999,-999,-999,-999
1994,0.911,-1.174,2.463,-999,-999,-999,-999,-999,-999,-999,-999
1995,1.836,-1.095,2.496,-999,-999,-999,-999,-999,-999,-999,-999
1996,2.461,-1.049,2.516,-999,-999,-999,-999,-999,-999,-999,-999
1997,2.019,-0.941,2.641,-999,-999,-999,-999,-999,-999,-999,-999
1998,-0.389,-0.787,2.712,-999,-999,-999,-999,-999,-999,-999,-999
1999,0.861,-0.724,2.829,-999,-999,-999,-999,-999,-999,-999,-999
2000,1.703,-0.59,2.963,-999,-999,-999,-999,-999,-999,-999,-999
2001,2.028,-0.539,2.992,-999,-999,-999,-999,-999,-999,-999,-999
2002,1.753,-0.454,2.961,-999,-999,-999,-999,-999,-999,-999,-999
2003,2.328,-0.373,3.086,-999,-999,-999,-999,-999,-999,-999,-999
2004,1.761,-0.348,3.125,-999,-999,-999,-999,-999,-999,-999,-999
2005,1.503,-0.284,3.192,-999,-999,-999,-999,-999,-999,-999,-999
2006,1.544,-0.278,3.249,-999,-999,-999,-999,-999,-999,-999,-999
2007,1.828,-0.225,3.319,-999,-999,-999,-999,-999,-999,-999,-999
2008,1.819,-0.096,3.309,-999,-999,-999,-999,-999,-999,-999,-999
2009,1.736,-0.022,3.403,-999,-999,-999,-999,-999,-999,-999,-999
2010,0.628,0.117,3.453,-999,-999,-999,-999,-999,-999,-999,-999
2011,0.336,0.16,3.445,-999,-999,-999,-999,-999,-999,-999,-999
2012,2.411,0.181,3.453,-999,-999,-999,-999,-999,-999,-999,-999
2013,2.219,0.212,3.534,-999,-999,-999,-999,-999,-999,-999,-999
2014,4.353,0.259,3.502,-999,-999,-999,-999,-999,-999,-999,-999
2015,3.661,-999,-999,0.748,3.974,0.565,4.396,0.529,3.931,0.811,3.847
2016,3.036,-999,-999,0.753,3.964,0.584,4.347,0.559,3.918,0.805,3.868
2017,3.244,-999,-999,0.73,4.171,0.616,4.311,0.539,3.911,0.84,3.903
2018,3.028,-999,-999,0.781,4.284,0.663,4.287,0.568,3.981,0.888,4.018
2019,1.311,-999,-999,0.825,4.264,0.726,4.331,0.655,4.07,0.91,4.093
2020,3.419,-999,-999,0.906,4.35,0.818,4.391,0.741,4.201,0.949,4.23
2021,3.253,-999,-999,0.95,4.416,0.888,4.427,0.775,4.315,1.012,4.36
2022,2.953,-999,-999,1.004,4.396,0.967,4.58,0.781,4.387,1.124,4.475
2023,1.153,-999,-999,1.045,4.483,1.087,4.604,0.826,4.505,1.151,4.563
2024,3.378,-999,-999,0.991,4.679,1.173,4.603,0.779,4.521,1.183,4.665
2025,-999,-999,-999,1.076,4.735,1.259,4.584,0.84,4.608,1.275,4.756
2026,-999,-999,-999,1.149,4.824,1.317,4.629,0.889,4.701,1.356,4.904
2027,-999,-999,-999,1.266,4.879,1.251,4.707,0.924,4.865,1.418,5.032
2028,-999,-999,-999,1.355,4.887,1.329,4.715,1.001,4.91,1.489,5.171
2029,-999,-999,-999,1.377,4.927,1.437,4.869,1.07,5.08,1.476,5.218
2030,-999,-999,-999,1.422,5.042,1.495,4.931,1.049,5.104,1.583,5.329
2031,-999,-999,-999,1.37,5.06,1.565,4.992,1.084,5.194,1.637,5.333
2032,-999,-999,-999,1.351,5.095,1.618,5.094,1.153,5.256,1.676,5.367
2033,-999,-999,-999,1.397,5.237,1.679,5.075,1.233,5.35,1.7,5.396
2034,-999,-999,-999,1.462,5.317,1.692,5.181,1.292,5.474,1.816,5.492
2035,-999,-999,-999,1.502,5.369,1.73,5.32,1.481,5.619,1.873,5.671
2036,-999,-999,-999,1.556,5.387,1.683,5.421,1.618,5.763,1.93,5.831
