year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.007,-2.169,1.503,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.707,-2.117,1.511,-999,-999,-999,-999,-999,-999,-999,-999
1902,0.291,-2.062,1.525,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.609,-2.151,1.462,-999,-999,-999,-999,-999,-999,-999,-999
1904,0.332,-2.119,1.432,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.909,-2.18,1.439,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.443,-2.198,1.392,-999,-999,-999,-999,-999,-999,-999,-999
1907,0.724,-2.279,1.355,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.776,-2.274,1.279,-999,-999,-999,-999,-999,-999,-999,-999
1909,-1.101,-2.211,1.304,-999,-999,-999,-999,-999,-999,-999,-999
1910,1.699,-2.174,1.348,-999,-999,-999,-999,-999,-999,-999,-999
1911,-0.001,-2.27,1.364,-999,-999,-999,-999,-999,-999,-999,-999
1912,-2.618,-2.29,1.465,-999,-999,-999,-999,-999,-999,-999,-999
1913,-1.593,-2.231,1.522,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.007,-2.13,1.545,-999,-999,-999,-999,-999,-999,-999,-999
1915,-1.243,-2.096,1.541,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.918,-2.059,1.53,-999,-999,-999,-999,-999,-999,-999,-999
1917,-1.493,-2.051,1.506,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.634,-1.936,1.539,-999,-999,-999,-999,-999,-999,-999,-999
1919,-1.143,-1.944,1.559,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.209,-1.846,1.634,-999,-999,-999,-999,-999,-999,-999,-999
1921,1.599,-1.812,1.653,-999,-999,-999,-999,-999,-999,-999,-999
1922,-0.243,-1.685,1.646,-999,-999,-999,-999,-999,-999,-999,-999
1923,-1.176,-1.62,1.59,-999,-999,-999,-999,-999,-999,-999,-999
1924,-1.726,-1.607,1.586,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.241,-1.586,1.551,-999,-999,-999,-999,-999,-999,-999,-999
1926,0.266,-1.593,1.611,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.124,-1.558,1.544,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.468,-1.554,1.67,-999,-999,-999,-999,-999,-999,-999,-999
1929,-1.859,-1.559,1.635,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.776,-1.545,1.651,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.557,-1.574,1.616,-999,-999,-999,-999,-999,-999,-999,-999
1932,-0.726,-1.563,1.63,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.024,-1.515,1.644,-999,-999,-999,-999,-999,-999,-999,-999
1934,3.574,-1.534,1.658,-999,-999,-999,-999,-999,-999,-999,-999
1935,0.766,-1.585,1.649,-999,-999,-999,-999,-999,-999,-999,-999
1936,1.041,-1.601,1.766,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.193,-1.578,1.789,-999,-999,-999,-999,-999,-999,-999,-999
1938,0.691,-1.605,1.862,-999,-999,-999,-999,-999,-999,-999,-999
1939,1.066,-1.557,1.816,-999,-999,-999,-999,-999,-999,-999,-999
1940,1.049,-1.536,1.855,-999,-999,-999,-999,-999,-999,-999,-999
1941,0.207,-1.641,1.87,-999,-999,-999,-999,-999,-999,-999,-999
1942,-0.501,-1.657,1.939,-999,-999,-999,-999,-999,-999,-999,-999
1943,1.324,-1.63,1.986,-999,-999,-999,-999,-999,-999,-999,-999
1944,-0.493,-1.681,1.969,-999,-999,-999,-999,-999,-999,-999,-999
1945,-0.184,-1.632,1.994,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.174,-1.551,2.065,-999,-999,-999,-999,-999,-999,-999,-999
1947,0.099,-1.638,2.037,-999,-999,-999,-999,-999,-999,-999,-999
1948,-0.634,-1.671,2.067,-999,-999,-999,-999,-999,-999,-999,-999
1949,-0.226,-1.609,2.04,-999,-999,-999,-999,-999,-999,-999,-999
1950,0.807,-1.621,2.018,-999,-999,-999,-999,-999,-999,-999,-999
1951,-0.926,-1.539,2.025,-999,-999,-999,-999,-999,-999,-999,-999
1952,-0.151,-1.462,2.057,-999,-999,-999,-999,-999,-999,-999,-999
1953,1.232,-1.417,2.084,-999,-999,-999,-999,-999,-999,-999,-999
1954,2.949,-1.515,2.047,-999,-999,-999,-999,-999,-999,-999,-999
1955,-0.243,-1.494,2.058,-999,-999,-999,-999,-999,-999,-999,-999
1956,0.682,-1.571,2.03,-999,-999,-999,-999,-999,-999,-999,-999
1957,-0.284,-1.67,1.998,-999,-999,-999,-999,-999,-999,-999,-999
1958,1.099,-1.59,1.956,-999,-999,-999,-999,-999,-999,-999,-999
1959,0.357,-1.678,1.826,-999,-999,-999,-999,-999,-999,-999,-999
1960,-0.193,-1.775,1.792,-999,-999,-999,-999,-999,-999,-999,-999
1961,-0.543,-1.846,1.774,-999,-999,-999,-999,-999,-999,-999,-999
1962,0.649,-1.953,1.732,-999,-999,-999,-999,-999,-999,-999,-999
1963,1.782,-1.942,1.706,-999,-999,-999,-999,-999,-999,-999,-999
1964,-0.809,-2.067,1.616,-999,-999,-999,-999,-999,-999,-999,-999
1965,-0.226,-2.039,1.594,-999,-999,-999,-999,-999,-999,-999,-999
1966,0.216,-2.067,1.622,-999,-999,-999,-999,-999,-999,-999,-999
1967,0.366,-2.128,1.613,-999,-999,-999,-999,-999,-999,-999,-999
1968,-0.768,-2.089,1.581,-999,-999,-999,-999,-999,-999,-999,-999
1969,0.282,-2.118,1.556,-999,-999,-999,-999,-999,-999,-999,-999
1970,-0.101,-2.054,1.663,-999,-999,-999,-999,-999,-999,-999,-999
1971,-0.334,-2.091,1.77,-999,-999,-999,-999,-999,-999,-999,-999
1972,0.199,-2.075,1.815,-999,-999,-999,-999,-999,-999,-999,-999
1973,-1.026,-2.072,1.866,-999,-999,-999,-999,-999,-999,-999,-999
1974,0.024,-2.039,1.914,-999,-999,-999,-999,-999,-999,-999,-999
1975,-0.893,-1.994,1.972,-999,-999,-999,-999,-999,-999,-999,-999
1976,0.299,-2.005,2.023,-999,-999,-999,-999,-999,-999,-999,-999
1977,1.882,-2.011,2.066,-999,-999,-999,-999,-999,-999,-999,-999
1978,0.132,-1.987,2.132,-999,-999,-999,-999,-999,-999,-999,-999
1979,-0.909,-2.009,2.147,-999,-999,-999,-999,-999,-999,-999,-999
1980,1.199,-1.918,2.179,-999,-999,-999,-999,-999,-999,-999,-999
1981,2.666,-1.94,2.232,-999,-999,-999,-999,-999,-999,-999,-999
1982,-0.309,-1.846,2.213,-999,-999,-999,-999,-999,-999,-999,-999
1983,0.007,-1.754,2.242,-999,-999,-999,-999,-999,-999,-999,-999
1984,-0.718,-1.647,2.348,-999,-999,-999,-999,-999,-999,-999,-999
1985,-0.276,-1.618,2.4,-999,-999,-999,-999,-999,-999,-999,-999
1986,1.907,-1.593,2.419,-999,-999,-999,-999,-999,-999,-999,-999
1987,0.849,-1.625,2.367,-999,-999,-999,-999,-999,-999,-999,-999
1988,0.699,-1.594,2.268,-999,-999,-999,-999,-999,-999,-999,-999
1989,0.974,-1.511,2.269,-999,-999,-999,-999,-999,-999,-999,-999
1990,1.199,-1.406,2.402,-999,-999,-999,-999,-999,-999,-999,-999
1991,0.649,-1.363,2.492,-999,-999,-999,-999,-999,-999,-999,-999
1992,0.866,-1.303,2.49,-999,-999,-999,-999,-999,-999,-999,-999
1993,-0.568,-1.237,2.602,-999,-999,-999,-999,-999,-999,-999,-999
1994,2.116,-1.17,2.659,-999,-999,-999,-999,-999,-999,-999,-999
1995,1.266,-1.156,2.651,-999,-999,-999,-999,-999,-999,-999,-999
1996,1.374,-1.099,2.642,-999,-999,-999,-999,-999,-999,-999,-999
1997,0.441,-0.935,2.734,-999,-999,-999,-999,-999,-999,-999,-999
1998,1.849,-0.722,2.868,-999,-999,-999,-999,-999,-999,-999,-999
1999,2.241,-0.552,3.099,-999,-999,-999,-999,-999,-999,-999,-999
2000,2.599,-0.399,3.307,-999,-999,-999,-999,-999,-999,-999,-999
2001,2.449,-0.295,3.411,-999,-999,-999,-999,-999,-999,-999,-999
2002,1.682,-0.252,3.462,-999,-999,-999,-999,-999,-999,-999,-999
2003,2.624,-0.126,3.605,-999,-999,-999,-999,-999,-999,-999,-999
2004,1.441,0.022,3.647,-999,-999,-999,-999,-999,-999,-999,-999
2005,2.366,0.093,3.709,-999,-999,-999,-999,-999,-999,-999,-999
2006,2.107,0.208,3.842,-999,-999,-999,-999,-999,-999,-999,-999
2007,1.774,0.292,3.937,-999,-999,-999,-999,-999,-999,-999,-999
2008,0.541,0.383,4.054,-999,-999,-999,-999,-999,-999,-999,-999
2009,0.782,0.495,4.211,-999,-999,-999,-999,-999,-999,-999,-999
2010,1.749,0.553,4.298,-999,-999,-999,-999,-999,-999,-999,-999
2011,1.032,0.642,4.308,-999,-999,-999,-999,-999,-999,-999,-999
2012,3.916,0.641,4.271,-999,-999,-999,-999,-999,-999,-999,-999
2013,0.691,0.719,4.349,-999,-999,-999,-999,-999,-999,-999,-999
2014,1.657,0.779,4.3,-999,-999,-999,-999,-999,-999,-999,-999
2015,3.041,-999,-999,0.811,4.724,0.791,5.227,0.756,4.767,1.054,4.953
2016,2.882,-999,-999,0.851,4.772,0.774,5.232,0.796,4.748,1.04,5.001
2017,3.524,-999,-999,0.843,4.945,0.781,5.218,0.773,4.875,1.136,4.995
2018,2.766,-999,-999,0.91,5.038,0.848,5.207,0.807,4.947,1.093,5.017
2019,0.866,-999,-999,1.057,5.173,0.917,5.222,0.918,5.13,0.968,5.074
2020,2.857,-999,-999,1.042,5.233,1.009,5.352,1.065,5.245,1.036,5.331
2021,3.074,-999,-999,1.032,5.319,1.038,5.432,1.144,5.35,1.157,5.472
2022,1.791,-999,-999,1.218,5.392,1.191,5.581,1.204,5.455,1.176,5.646
2023,1.191,-999,-999,1.371,5.546,1.391,5.676,1.245,5.589,1.201,5.691
2024,3.299,-999,-999,1.392,5.686,1.483,5.756,1.307,5.71,1.401,5.807
2025,-999,-999,-999,1.481,5.877,1.491,5.88,1.395,5.805,1.513,5.921
2026,-999,-999,-999,1.571,5.959,1.433,5.973,1.543,6.025,1.627,6.065
2027,-999,-999,-999,1.656,6.032,1.473,6.066,1.58,6.148,1.75,6.174
2028,-999,-999,-999,1.69,6.074,1.618,6.142,1.646,6.176,1.871,6.383
2029,-999,-999,-999,1.75,6.109,1.729,6.28,1.715,6.275,1.985,6.566
2030,-999,-999,-999,1.797,6.126,1.854,6.359,1.763,6.296,2.166,6.724
2031,-999,-999,-999,1.818,6.211,1.949,6.443,1.817,6.339,2.179,6.691
2032,-999,-999,-999,1.811,6.211,2.035,6.492,1.922,6.361,2.199,6.777
2033,-999,-999,-999,1.789,6.326,2.063,6.456,2.03,6.53,2.292,6.886
2034,-999,-999,-999,1.74,6.383,2.071,6.576,2.157,6.656,2.272,7.005
2035,-999,-999,-999,1.743,6.566,2.115,6.675,2.256,6.816,2.303,7.177
2036,-999,-999,-999,1.809,6.543,2.195,6.716,2.322,6.941,2.414,7.392
2037,-999,-999,-999,1.907,6.55,2.286,6.813,2.341,6.961,2.552,7.671
2038,-999,-999,-999,1.937,6.653,2.337,6.834,2.386,7.013,2.594,7.765
2039,-999,-999,-999,1.982,6.681,2.307,6.918,2.519,7.151,2.68,7.89
2040,-999,-999,-999,1.985,6.748,2.421,6.987,2.623,7.305,2.76,7.964
2041,-999,-999,-999,2.031,6.777,2.481,7.099,2.722,7.362,2.857,8.093
2042,-999,-999,-999,2.101,6.773,2.483,7.207,2.761,7.495,2.981,8.184
2043,-999,-999,-999,2.153,6.906,2.583,7.304,2.828,7.738,3.118,8.448
2044,-999,-999,-999,2.178,7.094,2.647,7.468,2.944,7.886,3.176,8.627
2045,-999,-999,-999,2.224,7.162,2.738,7.498,3.02,7.976,3.331,8.841
2046,-999,-999,-999,2.322,7.087,2.868,7.49,3.089,8.084,3.484,8.956
2047,-999,-999,-999,2.361,7.114,2.939,7.584,3.217,8.186,3.574,9.007
2048,-999,-999,-999,2.313,7.135,2.961,7.745,3.28,8.296,3.574,9.125
2049,-999,-999,-999,2.376,7.139,3.049,7.904,3.411,8.532,3.749,9.297
2050,-999,-999,-999,2.483,7.163,3.119,8.042,3.481,8.738,3.909,9.383
2051,-999,-999,-999,2.536,7.195,3.165,8.135,3.62,8.851,4.03,9.59
2052,-999,-999,-999,2.509,7.229,3.203,8.229,3.686,8.963,4.158,9.786
2053,-999,-999,-999,2.475,7.327,3.276,8.231,3.789,9.103,4.257,9.95
2054,-999,-999,-999,2.547,7.353,3.331,8.335,3.814,9.252,4.287,9.99
2055,-999,-999,-999,2.6,7.263,3.364,8.345,3.861,9.403,4.424,10.1
2056,-999,-999,-999,2.612,7.287,3.397,8.52,3.912,9.556,4.514,10.367
2057,-999,-999,-999,2.605,7.339,3.394,8.609,3.922,9.733,4.613,10.562
2058,-999,-999,-999,2.535,7.379,3.428,8.643,3.998,9.882,4.736,10.811
2059,-999,-999,-999,2.635,7.434,3.581,8.628,4.11,10.104,4.789,10.831
2060,-999,-999,-999,2.62,7.369,3.575,8.775,4.152,10.173,4.886,10.929
2061,-999,-999,-999,2.53,7.41,3.621,8.791,4.201,10.162,4.953,11.119
2062,-999,-999,-999,2.496,7.464,3.721,8.879,4.242,10.177,5.075,11.276
2063,-999,-999,-999,2.566,7.506,3.731,8.884,4.292,10.369,5.172,11.356
2064,-999,-999,-999,2.614,7.543,3.65,9.001,4.361,10.436,5.319,11.679
2065,-999,-999,-999,2.61,7.52,3.662,9.059,4.529,10.489,5.392,11.897
2066,-999,-999,-999,2.573,7.427,3.718,9.119,4.581,10.551,5.563,12.111
2067,-999,-999,-999,2.551,7.397,3.757,9.136,4.727,10.659,5.733,12.212
2068,-999,-999,-999,2.644,7.395,3.67,9.197,4.872,10.767,5.749,12.312
2069,-999,-999,-999,2.73,7.463,3.719,9.312,4.875,10.81,5.769,12.492
2070,-999,-999,-999,2.652,7.479,3.672,9.385,4.984,10.806,5.973,12.732
2071,-999,-999,-999,2.595,7.577,3.751,9.311,5.005,10.895,6.076,13.035
2072,-999,-999,-999,2.637,7.574,3.785,9.384,5.144,11.036,6.129,13.243
2073,-999,-999,-999,2.664,7.557,3.795,9.455,5.23,11.23,6.27,13.378
2074,-999,-999,-999,2.59,7.569,3.794,9.489,5.293,11.385,6.297,13.633
2075,-999,-999,-999,2.575,7.496,3.895,9.54,5.346,11.634,6.495,13.825
2076,-999,-999,-999,2.496,7.514,3.937,9.581,5.379,11.776,6.589,13.979
2077,-999,-999,-999,2.53,7.522,3.933,9.649,5.557,11.95,6.649,14.064
2078,-999,-999,-999,2.564,7.579,3.947,9.606,5.615,12.114,6.804,14.259
2079,-999,-999,-999,2.456,7.662,4.096,9.735,5.67,12.217,6.985,14.376
2080,-999,-999,-999,2.373,7.645,4.139,9.873,5.841,12.531,7.135,14.527
2081,-999,-999,-999,2.433,7.589,4.2,9.989,5.943,12.853,7.166,14.725
2082,-999,-999,-999,2.414,7.64,4.26,10.096,6.127,13.045,7.272,14.856
2083,-999,-999,-999,2.422,7.678,4.295,10.227,6.163,13.356,7.343,15.136
2084,-999,-999,-999,2.426,7.666,4.234,10.236,6.197,13.5,7.383,15.398
2085,-999,-999,-999,2.385,7.609,4.279,10.539,6.309,13.739,7.526,15.567
