year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.156,-1.837,1.206,-999,-999,-999,-999,-999,-999,-999,-999
1901,-2.102,-1.704,1.259,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.16,-1.728,1.345,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.135,-1.732,1.359,-999,-999,-999,-999,-999,-999,-999,-999
1904,-1.102,-1.674,1.385,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.46,-1.597,1.454,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.202,-1.608,1.471,-999,-999,-999,-999,-999,-999,-999,-999
1907,0.44,-1.604,1.425,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.548,-1.685,1.346,-999,-999,-999,-999,-999,-999,-999,-999
1909,0.04,-1.682,1.351,-999,-999,-999,-999,-999,-999,-999,-999
1910,-1.094,-1.606,1.336,-999,-999,-999,-999,-999,-999,-999,-999
1911,1.54,-1.68,1.319,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.052,-1.751,1.236,-999,-999,-999,-999,-999,-999,-999,-999
1913,0.148,-1.7,1.153,-999,-999,-999,-999,-999,-999,-999,-999
1914,-0.752,-1.667,1.125,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.16,-1.711,1.177,-999,-999,-999,-999,-999,-999,-999,-999
1916,0.081,-1.803,1.204,-999,-999,-999,-999,-999,-999,-999,-999
1917,-1.544,-1.759,1.216,-999,-999,-999,-999,-999,-999,-999,-999
1918,0.081,-1.754,1.361,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.89,-1.699,1.494,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.16,-1.689,1.531,-999,-999,-999,-999,-999,-999,-999,-999
1921,1.923,-1.652,1.55,-999,-999,-999,-999,-999,-999,-999,-999
1922,1.506,-1.543,1.61,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.29,-1.482,1.654,-999,-999,-999,-999,-999,-999,-999,-999
1924,-1.227,-1.522,1.717,-999,-999,-999,-999,-999,-999,-999,-999
1925,1.465,-1.5,1.716,-999,-999,-999,-999,-999,-999,-999,-999
1926,-0.502,-1.454,1.75,-999,-999,-999,-999,-999,-999,-999,-999
1927,1.756,-1.399,1.706,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.802,-1.502,1.759,-999,-999,-999,-999,-999,-999,-999,-999
1929,0.156,-1.526,1.706,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.577,-1.453,1.684,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.806,-1.399,1.658,-999,-999,-999,-999,-999,-999,-999,-999
1932,1.106,-1.429,1.726,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.523,-1.462,1.713,-999,-999,-999,-999,-999,-999,-999,-999
1934,-0.052,-1.484,1.734,-999,-999,-999,-999,-999,-999,-999,-999
1935,0.206,-1.448,1.735,-999,-999,-999,-999,-999,-999,-999,-999
1936,0.273,-1.502,1.796,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.269,-1.547,1.748,-999,-999,-999,-999,-999,-999,-999,-999
1938,0.79,-1.537,1.738,-999,-999,-999,-999,-999,-999,-999,-999
1939,0.798,-1.463,1.699,-999,-999,-999,-999,-999,-999,-999,-999
1940,-1.985,-1.429,1.731,-999,-999,-999,-999,-999,-999,-999,-999
1941,0.248,-1.431,1.737,-999,-999,-999,-999,-999,-999,-999,-999
1942,-0.619,-1.467,1.792,-999,-999,-999,-999,-999,-999,-999,-999
1943,-0.294,-1.479,1.766,-999,-999,-999,-999,-999,-999,-999,-999
1944,-0.102,-1.469,1.799,-999,-999,-999,-999,-999,-999,-999,-999
1945,0.398,-1.49,1.803,-999,-999,-999,-999,-999,-999,-999,-999
1946,0.765,-1.431,1.806,-999,-999,-999,-999,-999,-999,-999,-999
1947,-0.794,-1.473,1.715,-999,-999,-999,-999,-999,-999,-999,-999
1948,0.323,-1.446,1.7,-999,-999,-999,-999,-999,-999,-999,-999
1949,0.898,-1.5,1.711,-999,-999,-999,-999,-999,-999,-999,-999
1950,-0.177,-1.478,1.799,-999,-999,-999,-999,-999,-999,-999,-999
1951,0.181,-1.406,1.824,-999,-999,-999,-999,-999,-999,-999,-999
1952,0.34,-1.478,1.771,-999,-999,-999,-999,-999,-999,-999,-999
1953,0.348,-1.456,1.821,-999,-999,-999,-999,-999,-999,-999,-999
1954,0.598,-1.413,1.871,-999,-999,-999,-999,-999,-999,-999,-999
1955,-0.01,-1.409,1.901,-999,-999,-999,-999,-999,-999,-999,-999
1956,0.273,-1.402,1.875,-999,-999,-999,-999,-999,-999,-999,-999
1957,0.581,-1.513,1.831,-999,-999,-999,-999,-999,-999,-999,-999
1958,-1.669,-1.487,1.889,-999,-999,-999,-999,-999,-999,-999,-999
1959,0.015,-1.551,1.82,-999,-999,-999,-999,-999,-999,-999,-999
1960,-1.494,-1.571,1.752,-999,-999,-999,-999,-999,-999,-999,-999
1961,-0.919,-1.592,1.652,-999,-999,-999,-999,-999,-999,-999,-999
1962,-0.419,-1.668,1.572,-999,-999,-999,-999,-999,-999,-999,-999
1963,-1.627,-1.645,1.617,-999,-999,-999,-999,-999,-999,-999,-999
1964,-0.944,-1.652,1.539,-999,-999,-999,-999,-999,-999,-999,-999
1965,-0.377,-1.701,1.435,-999,-999,-999,-999,-999,-999,-999,-999
1966,-1.785,-1.758,1.369,-999,-999,-999,-999,-999,-999,-999,-999
1967,-1.077,-1.733,1.369,-999,-999,-999,-999,-999,-999,-999,-999
1968,-1.885,-1.655,1.365,-999,-999,-999,-999,-999,-999,-999,-999
1969,-1.819,-1.662,1.356,-999,-999,-999,-999,-999,-999,-999,-999
1970,-0.685,-1.635,1.378,-999,-999,-999,-999,-999,-999,-999,-999
1971,-0.202,-1.616,1.431,-999,-999,-999,-999,-999,-999,-999,-999
1972,-0.052,-1.608,1.404,-999,-999,-999,-999,-999,-999,-999,-999
1973,-0.069,-1.641,1.414,-999,-999,-999,-999,-999,-999,-999,-999
1974,0.323,-1.56,1.456,-999,-999,-999,-999,-999,-999,-999,-999
1975,0.206,-1.572,1.509,-999,-999,-999,-999,-999,-999,-999,-999
1976,-2.035,-1.522,1.521,-999,-999,-999,-999,-999,-999,-999,-999
1977,-0.66,-1.507,1.537,-999,-999,-999,-999,-999,-999,-999,-999
1978,-0.927,-1.53,1.548,-999,-999,-999,-999,-999,-999,-999,-999
1979,-1.244,-1.561,1.653,-999,-999,-999,-999,-999,-999,-999,-999
1980,-0.502,-1.479,1.729,-999,-999,-999,-999,-999,-999,-999,-999
1981,-1.16,-1.448,1.821,-999,-999,-999,-999,-999,-999,-999,-999
1982,0.423,-1.408,1.866,-999,-999,-999,-999,-999,-999,-999,-999
1983,-1.585,-1.343,2.086,-999,-999,-999,-999,-999,-999,-999,-999
1984,-0.185,-1.274,2.178,-999,-999,-999,-999,-999,-999,-999,-999
1985,0.24,-1.28,2.153,-999,-999,-999,-999,-999,-999,-999,-999
1986,1.523,-1.191,2.164,-999,-999,-999,-999,-999,-999,-999,-999
1987,-0.244,-1.187,2.213,-999,-999,-999,-999,-999,-999,-999,-999
1988,-1.11,-1.164,2.277,-999,-999,-999,-999,-999,-999,-999,-999
1989,-0.285,-1.176,2.311,-999,-999,-999,-999,-999,-999,-999,-999
1990,2.148,-1.114,2.312,-999,-999,-999,-999,-999,-999,-999,-999
1991,1.031,-1.123,2.283,-999,-999,-999,-999,-999,-999,-999,-999
1992,-0.777,-1.062,2.332,-999,-999,-999,-999,-999,-999,-999,-999
1993,-0.285,-0.993,2.432,-999,-999,-999,-999,-999,-999,-999,-999
1994,0.115,-0.899,2.41,-999,-999,-999,-999,-999,-999,-999,-999
1995,-0.027,-0.808,2.415,-999,-999,-999,-999,-999,-999,-999,-999
1996,-0.86,-0.748,2.497,-999,-999,-999,-999,-999,-999,-999,-999
1997,-0.302,-0.679,2.656,-999,-999,-999,-999,-999,-999,-999,-999
1998,2.181,-0.651,2.758,-999,-999,-999,-999,-999,-999,-999,-999
1999,0.981,-0.528,2.909,-999,-999,-999,-999,-999,-999,-999,-999
2000,-0.16,-0.402,3.029,-999,-999,-999,-999,-999,-999,-999,-999
2001,0.431,-0.315,3.133,-999,-999,-999,-999,-999,-999,-999,-999
2002,0.848,-0.207,3.285,-999,-999,-999,-999,-999,-999,-999,-999
2003,-0.194,-0.243,3.325,-999,-999,-999,-999,-999,-999,-999,-999
2004,0.465,-0.158,3.335,-999,-999,-999,-999,-999,-999,-999,-999
2005,0.281,-0.146,3.372,-999,-999,-999,-999,-999,-999,-999,-999
2006,1.04,-0.137,3.446,-999,-999,-999,-999,-999,-999,-999,-999
2007,1.29,-0.115,3.45,-999,-999,-999,-999,-999,-999,-999,-999
2008,0.006,-0.147,3.448,-999,-999,-999,-999,-999,-999,-999,-999
2009,-0.094,-0.039,3.529,-999,-999,-999,-999,-999,-999,-999,-999
2010,-0.552,-0.005,3.502,-999,-999,-999,-999,-999,-999,-999,-999
2011,1.131,0.012,3.555,-999,-999,-999,-999,-999,-999,-999,-999
2012,1.99,0.019,3.498,-999,-999,-999,-999,-999,-999,-999,-999
2013,-0.119,0.008,3.481,-999,-999,-999,-999,-999,-999,-999,-999
2014,-0.544,0.132,3.519,-999,-999,-999,-999,-999,-999,-999,-999
2015,1.798,-999,-999,0.613,3.855,0.457,4.137,0.239,3.669,0.804,3.933
2016,2.281,-999,-999,0.627,3.98,0.473,4.169,0.161,3.783,0.844,4.115
2017,2.315,-999,-999,0.703,4.04,0.502,4.241,0.232,3.792,0.823,4.2
2018,1.573,-999,-999,0.723,4.103,0.563,4.302,0.257,3.842,0.8,4.296
2019,2.706,-999,-999,0.807,4.165,0.621,4.32,0.352,3.963,0.736,4.382
2020,2.098,-999,-999,0.829,4.217,0.675,4.347,0.45,4.088,0.654,4.519
2021,1.09,-999,-999,0.871,4.294,0.692,4.337,0.577,4.13,0.649,4.619
2022,1.273,-999,-999,0.935,4.366,0.842,4.381,0.656,4.308,0.677,4.644
2023,2.09,-999,-999,0.991,4.402,0.889,4.589,0.704,4.312,0.745,4.746
2024,2.415,-999,-999,1.047,4.638,0.981,4.704,0.815,4.426,0.753,4.878
2025,-999,-999,-999,1.096,4.807,1.028,4.829,0.896,4.578,0.766,5.068
2026,-999,-999,-999,1.108,4.847,1.085,4.814,1.002,4.712,0.748,5.092
2027,-999,-999,-999,1.096,4.879,1.128,4.902,1.196,4.776,0.803,5.025
2028,-999,-999,-999,1.085,5.009,1.24,5.011,1.257,4.854,0.892,5.077
2029,-999,-999,-999,1.163,5.001,1.3,5.134,1.354,4.876,1.023,5.195
2030,-999,-999,-999,1.159,5.114,1.361,5.185,1.376,4.945,1.114,5.243
2031,-999,-999,-999,1.256,5.277,1.438,5.254,1.456,5.051,1.262,5.272
2032,-999,-999,-999,1.326,5.308,1.572,5.373,1.505,5.199,1.406,5.4
2033,-999,-999,-999,1.359,5.37,1.541,5.462,1.521,5.231,1.451,5.537
2034,-999,-999,-999,1.4,5.584,1.615,5.439,1.637,5.375,1.544,5.662
2035,-999,-999,-999,1.422,5.545,1.666,5.52,1.733,5.419,1.616,5.757
2036,-999,-999,-999,1.445,5.584,1.711,5.519,1.783,5.503,1.712,5.815
2037,-999,-999,-999,1.511,5.689,1.765,5.59,1.784,5.573,1.812,6.031
2038,-999,-999,-999,1.597,5.776,1.879,5.662,1.821,5.621,1.831,6.27
2039,-999,-999,-999,1.629,5.82,1.88,5.674,1.841,5.717,1.931,6.353
2040,-999,-999,-999,1.583,5.961,1.924,5.69,1.926,5.848,2.024,6.371
2041,-999,-999,-999,1.613,5.993,1.997,5.708,1.972,5.939,2.13,6.473
2042,-999,-999,-999,1.561,5.879,2.027,5.831,1.994,6.01,2.243,6.579
2043,-999,-999,-999,1.525,5.962,2.039,5.923,2.12,6.137,2.21,6.594
2044,-999,-999,-999,1.494,6.084,2.127,6.048,2.224,6.253,2.272,6.716
2045,-999,-999,-999,1.461,6.064,2.156,6.152,2.261,6.358,2.295,6.915
2046,-999,-999,-999,1.471,6.056,2.231,6.208,2.304,6.428,2.392,7.008
2047,-999,-999,-999,1.521,6.107,2.25,6.309,2.35,6.567,2.524,7.13
2048,-999,-999,-999,1.494,6.086,2.26,6.414,2.425,6.632,2.641,7.255
2049,-999,-999,-999,1.428,6.099,2.222,6.488,2.444,6.78,2.718,7.27
2050,-999,-999,-999,1.44,6.054,2.221,6.54,2.52,6.898,2.804,7.398
2051,-999,-999,-999,1.492,6.023,2.258,6.623,2.577,7.011,2.831,7.657
2052,-999,-999,-999,1.506,6.013,2.242,6.813,2.659,7.062,2.928,7.848
2053,-999,-999,-999,1.586,6.12,2.279,6.777,2.742,7.109,2.972,8.068
2054,-999,-999,-999,1.622,6.154,2.245,6.749,2.713,7.13,3.14,8.136
2055,-999,-999,-999,1.67,6.1,2.247,6.654,2.763,7.214,3.281,8.253
2056,-999,-999,-999,1.69,6.076,2.312,6.664,2.863,7.253,3.377,8.36
2057,-999,-999,-999,1.717,6.168,2.272,6.709,2.851,7.322,3.472,8.52
2058,-999,-999,-999,1.726,6.12,2.375,6.722,2.934,7.406,3.538,8.581
2059,-999,-999,-999,1.758,6.15,2.383,6.78,2.985,7.44,3.537,8.603
2060,-999,-999,-999,1.87,6.21,2.422,6.803,3.025,7.542,3.602,8.797
2061,-999,-999,-999,1.865,6.283,2.503,6.853,3.112,7.701,3.661,8.946
2062,-999,-999,-999,1.838,6.31,2.514,6.934,3.136,7.792,3.79,8.917
2063,-999,-999,-999,1.88,6.39,2.552,6.906,3.191,7.877,3.927,8.934
2064,-999,-999,-999,1.8,6.376,2.559,6.999,3.247,7.973,4.024,8.984
2065,-999,-999,-999,1.84,6.345,2.656,7.102,3.346,8.119,4.104,9.192
2066,-999,-999,-999,1.849,6.411,2.684,7.206,3.381,8.235,4.153,9.284
2067,-999,-999,-999,1.865,6.453,2.666,7.303,3.437,8.393,4.284,9.309
2068,-999,-999,-999,1.837,6.406,2.731,7.37,3.596,8.508,4.388,9.411
2069,-999,-999,-999,1.778,6.501,2.704,7.427,3.653,8.531,4.43,9.66
2070,-999,-999,-999,1.804,6.511,2.702,7.481,3.759,8.645,4.601,9.892
2071,-999,-999,-999,1.804,6.474,2.794,7.538,3.856,8.678,4.779,10.035
2072,-999,-999,-999,1.818,6.513,2.864,7.563,3.943,8.707,4.927,10.273
2073,-999,-999,-999,1.87,6.53,2.911,7.634,4.055,8.823,5.054,10.515
2074,-999,-999,-999,1.83,6.437,2.944,7.752,4.132,8.941,5.125,10.628
2075,-999,-999,-999,1.885,6.441,3.026,7.834,4.197,9.099,5.311,10.802
2076,-999,-999,-999,1.815,6.474,3.094,7.846,4.285,9.229,5.456,10.943
2077,-999,-999,-999,1.842,6.441,3.127,7.896,4.402,9.352,5.479,11.056
2078,-999,-999,-999,1.837,6.422,3.193,7.938,4.485,9.456,5.561,11.26
2079,-999,-999,-999,1.845,6.476,3.199,7.971,4.469,9.637,5.65,11.421
2080,-999,-999,-999,1.901,6.49,3.226,8.075,4.526,9.889,5.806,11.565
2081,-999,-999,-999,1.9,6.464,3.335,8.087,4.523,10.094,5.898,11.705
2082,-999,-999,-999,1.822,6.462,3.334,8.112,4.588,10.21,5.935,11.734
2083,-999,-999,-999,1.761,6.495,3.324,8.202,4.677,10.365,5.917,11.786
2084,-999,-999,-999,1.733,6.564,3.3,8.22,4.734,10.413,5.964,11.928
2085,-999,-999,-999,1.665,6.558,3.364,8.233,4.809,10.592,6.024,12.016
2086,-999,-999,-999,1.668,6.524,3.345,8.219,4.929,10.738,6.053,12.068
2087,-999,-999,-999,1.721,6.482,3.319,8.227,4.958,10.772,6.047,12.202
2088,-999,-999,-999,1.723,6.475,3.364,8.251,5.024,10.803,6.25,12.419
2089,-999,-999,-999,1.717,6.449,3.299,8.287,5.024,10.911,6.34,12.674
2090,-999,-999,-999,1.706,6.451,3.316,8.315,5.061,11.017,6.409,12.765
2091,-999,-999,-999,1.663,6.363,3.299,8.327,5.093,11.075,6.494,12.852
2092,-999,-999,-999,1.608,6.381,3.268,8.38,5.17,11.149,6.552,12.894
2093,-999,-999,-999,1.623,6.352,3.296,8.404,5.276,11.274,6.62,13.258
2094,-999,-999,-999,1.703,6.298,3.292,8.426,5.296,11.297,6.743,13.324
2095,-999,-999,-999,1.671,6.298,3.37,8.445,5.438,11.423,6.905,13.429
