year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.544,-2.446,1.632,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.753,-2.469,1.584,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.489,-2.452,1.598,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.372,-2.484,1.532,-999,-999,-999,-999,-999,-999,-999,-999
1904,0.819,-2.448,1.6,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.239,-2.441,1.497,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.519,-2.348,1.447,-999,-999,-999,-999,-999,-999,-999,-999
1907,0.253,-2.36,1.5,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.381,-2.386,1.475,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.314,-2.308,1.509,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.919,-2.255,1.591,-999,-999,-999,-999,-999,-999,-999,-999
1911,-1.664,-2.287,1.65,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.472,-2.183,1.722,-999,-999,-999,-999,-999,-999,-999,-999
1913,-1.389,-2.064,1.858,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.344,-2.111,1.931,-999,-999,-999,-999,-999,-999,-999,-999
1915,0.669,-2.081,1.93,-999,-999,-999,-999,-999,-999,-999,-999
1916,-2.247,-2.08,1.924,-999,-999,-999,-999,-999,-999,-999,-999
1917,-0.931,-2.102,1.892,-999,-999,-999,-999,-999,-999,-999,-999
1918,0.661,-2.06,1.868,-999,-999,-999,-999,-999,-999,-999,-999
1919,-0.564,-2.135,1.893,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.664,-2.08,1.981,-999,-999,-999,-999,-999,-999,-999,-999
1921,0.803,-2.088,1.908,-999,-999,-999,-999,-999,-999,-999,-999
1922,-1.656,-1.935,1.918,-999,-999,-999,-999,-999,-999,-999,-999
1923,-0.572,-1.935,1.925,-999,-999,-999,-999,-999,-999,-999,-999
1924,-0.647,-1.931,1.826,-999,-999,-999,-999,-999,-999,-999,-999
1925,1.661,-1.84,1.834,-999,-999,-999,-999,-999,-999,-999,-999
1926,1.744,-1.91,1.816,-999,-999,-999,-999,-999,-999,-999,-999
1927,-0.264,-1.912,1.772,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.089,-1.922,1.808,-999,-999,-999,-999,-999,-999,-999,-999
1929,-1.606,-1.898,1.837,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.847,-1.813,1.811,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.194,-1.791,1.858,-999,-999,-999,-999,-999,-999,-999,-999
1932,-1.539,-1.753,1.858,-999,-999,-999,-999,-999,-999,-999,-999
1933,0.078,-1.773,1.829,-999,-999,-999,-999,-999,-999,-999,-999
1934,4.486,-1.846,1.849,-999,-999,-999,-999,-999,-999,-999,-999
