year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.864,-2.401,2.512,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.397,-2.223,2.662,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.953,-2.216,2.742,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.303,-2.358,2.615,-999,-999,-999,-999,-999,-999,-999,-999
1904,-2.278,-2.277,2.538,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.295,-2.3,2.618,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.078,-2.372,2.652,-999,-999,-999,-999,-999,-999,-999,-999
1907,-1.153,-2.565,2.52,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.789,-2.818,2.347,-999,-999,-999,-999,-999,-999,-999,-999
1909,-1.245,-2.745,2.288,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.047,-2.747,2.384,-999,-999,-999,-999,-999,-999,-999,-999
1911,0.855,-2.794,2.334,-999,-999,-999,-999,-999,-999,-999,-999
1912,-2.336,-2.871,2.261,-999,-999,-999,-999,-999,-999,-999,-999
1913,1.089,-2.793,2.162,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.639,-2.745,2.189,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.836,-2.831,2.209,-999,-999,-999,-999,-999,-999,-999,-999
1916,-1.245,-2.91,2.105,-999,-999,-999,-999,-999,-999,-999,-999
1917,-3.586,-2.94,2.037,-999,-999,-999,-999,-999,-999,-999,-999
1918,0.58,-2.722,2.118,-999,-999,-999,-999,-999,-999,-999,-999
1919,-0.028,-2.536,2.132,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.486,-2.485,2.282,-999,-999,-999,-999,-999,-999,-999,-999
1921,3.489,-2.469,2.264,-999,-999,-999,-999,-999,-999,-999,-999
1922,1.43,-2.371,2.305,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.322,-2.419,2.329,-999,-999,-999,-999,-999,-999,-999,-999
1924,-2.47,-2.55,2.353,-999,-999,-999,-999,-999,-999,-999,-999
1925,-0.028,-2.618,2.319,-999,-999,-999,-999,-999,-999,-999,-999
1926,-0.478,-2.59,2.343,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.055,-2.557,2.349,-999,-999,-999,-999,-999,-999,-999,-999
1928,0.655,-2.512,2.406,-999,-999,-999,-999,-999,-999,-999,-999
1929,-2.345,-2.586,2.343,-999,-999,-999,-999,-999,-999,-999,-999
1930,1.414,-2.671,2.416,-999,-999,-999,-999,-999,-999,-999,-999
1931,4.472,-2.734,2.398,-999,-999,-999,-999,-999,-999,-999,-999
1932,-0.52,-2.642,2.412,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.972,-2.612,2.444,-999,-999,-999,-999,-999,-999,-999,-999
1934,2.647,-2.727,2.421,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.161,-2.672,2.416,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.278,-2.595,2.52,-999,-999,-999,-999,-999,-999,-999,-999
1937,-1.253,-2.583,2.579,-999,-999,-999,-999,-999,-999,-999,-999
1938,2.472,-2.664,2.633,-999,-999,-999,-999,-999,-999,-999,-999
1939,2.33,-2.595,2.538,-999,-999,-999,-999,-999,-999,-999,-999
1940,-0.928,-2.548,2.644,-999,-999,-999,-999,-999,-999,-999,-999
1941,2.239,-2.504,2.646,-999,-999,-999,-999,-999,-999,-999,-999
1942,0.097,-2.578,2.672,-999,-999,-999,-999,-999,-999,-999,-999
1943,-1.003,-2.648,2.735,-999,-999,-999,-999,-999,-999,-999,-999
1944,0.505,-2.701,2.75,-999,-999,-999,-999,-999,-999,-999,-999
1945,-1.145,-2.592,2.854,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.764,-2.555,2.903,-999,-999,-999,-999,-999,-999,-999,-999
1947,-0.061,-2.551,2.804,-999,-999,-999,-999,-999,-999,-999,-999
1948,0.205,-2.605,2.761,-999,-999,-999,-999,-999,-999,-999,-999
