year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.585,-2.236,2.377,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.085,-2.137,2.453,-999,-999,-999,-999,-999,-999,-999,-999
1902,-1.074,-2.1,2.522,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.982,-2.179,2.427,-999,-999,-999,-999,-999,-999,-999,-999
1904,-1.09,-2.135,2.34,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.84,-2.139,2.405,-999,-999,-999,-999,-999,-999,-999,-999
1906,-1.082,-2.226,2.444,-999,-999,-999,-999,-999,-999,-999,-999
1907,-0.499,-2.323,2.321,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.426,-2.454,2.121,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.882,-2.381,2.121,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.593,-2.374,2.251,-999,-999,-999,-999,-999,-999,-999,-999
1911,0.71,-2.454,2.182,-999,-999,-999,-999,-999,-999,-999,-999
1912,-2.507,-2.471,2.213,-999,-999,-999,-999,-999,-999,-999,-999
1913,0.068,-2.412,2.171,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.535,-2.327,2.136,-999,-999,-999,-999,-999,-999,-999,-999
1915,-1.774,-2.461,2.201,-999,-999,-999,-999,-999,-999,-999,-999
1916,-1.224,-2.471,2.186,-999,-999,-999,-999,-999,-999,-999,-999
1917,-2.124,-2.45,2.097,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.149,-2.404,2.177,-999,-999,-999,-999,-999,-999,-999,-999
1919,-1.449,-2.328,2.176,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.957,-2.261,2.321,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.335,-2.243,2.254,-999,-999,-999,-999,-999,-999,-999,-999
1922,0.518,-2.105,2.285,-999,-999,-999,-999,-999,-999,-999,-999
1923,-0.332,-2.109,2.247,-999,-999,-999,-999,-999,-999,-999,-999
1924,-2.19,-2.193,2.294,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.493,-2.281,2.241,-999,-999,-999,-999,-999,-999,-999,-999
1926,-0.007,-2.173,2.228,-999,-999,-999,-999,-999,-999,-999,-999
1927,-0.274,-2.205,2.155,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.149,-2.217,2.199,-999,-999,-999,-999,-999,-999,-999,-999
1929,-1.94,-2.31,2.154,-999,-999,-999,-999,-999,-999,-999,-999
1930,0.293,-2.378,2.238,-999,-999,-999,-999,-999,-999,-999,-999
