year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.828,-2.032,1.63,-999,-999,-999,-999,-999,-999,-999,-999
1901,-1.372,-1.911,1.734,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.264,-2.01,1.82,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.914,-2.063,1.808,-999,-999,-999,-999,-999,-999,-999,-999
1904,-1.497,-1.991,1.748,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.972,-1.924,1.873,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.078,-1.964,1.904,-999,-999,-999,-999,-999,-999,-999,-999
1907,-0.53,-1.952,1.795,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.728,-2.08,1.687,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.097,-1.986,1.668,-999,-999,-999,-999,-999,-999,-999,-999
1910,-1.314,-1.934,1.688,-999,-999,-999,-999,-999,-999,-999,-999
1911,1.47,-2.096,1.725,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.905,-2.191,1.583,-999,-999,-999,-999,-999,-999,-999,-999
1913,1.186,-2.042,1.532,-999,-999,-999,-999,-999,-999,-999,-999
1914,-0.347,-2.023,1.473,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.38,-2.051,1.51,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.397,-2.146,1.434,-999,-999,-999,-999,-999,-999,-999,-999
1917,-3.155,-2.071,1.427,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.214,-2.059,1.571,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.92,-1.952,1.68,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.205,-2.049,1.839,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.961,-2.054,1.822,-999,-999,-999,-999,-999,-999,-999,-999
1922,1.461,-1.878,1.762,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.211,-1.808,1.844,-999,-999,-999,-999,-999,-999,-999,-999
1924,-1.864,-1.889,1.877,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.645,-1.905,1.965,-999,-999,-999,-999,-999,-999,-999,-999
1926,-0.972,-1.874,2.018,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.753,-1.805,1.997,-999,-999,-999,-999,-999,-999,-999,-999
1928,-1.014,-1.883,2.052,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.73,-1.867,1.971,-999,-999,-999,-999,-999,-999,-999,-999
1930,0.703,-1.887,1.986,-999,-999,-999,-999,-999,-999,-999,-999
1931,2.028,-1.815,1.865,-999,-999,-999,-999,-999,-999,-999,-999
1932,0.878,-1.778,1.905,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.653,-1.82,1.97,-999,-999,-999,-999,-999,-999,-999,-999
1934,0.803,-1.851,1.97,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.039,-1.776,2.006,-999,-999,-999,-999,-999,-999,-999,-999
1936,0.536,-1.769,1.973,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.489,-1.832,1.965,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.77,-1.876,2.01,-999,-999,-999,-999,-999,-999,-999,-999
1939,1.32,-1.835,1.929,-999,-999,-999,-999,-999,-999,-999,-999
1940,-1.772,-1.8,1.971,-999,-999,-999,-999,-999,-999,-999,-999
1941,1.061,-1.781,1.911,-999,-999,-999,-999,-999,-999,-999,-999
1942,-0.072,-1.798,1.976,-999,-999,-999,-999,-999,-999,-999,-999
1943,-0.189,-1.852,1.989,-999,-999,-999,-999,-999,-999,-999,-999
1944,0.545,-1.858,2.051,-999,-999,-999,-999,-999,-999,-999,-999
1945,-0.205,-1.907,2.064,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.52,-1.882,2.057,-999,-999,-999,-999,-999,-999,-999,-999
1947,-0.905,-1.916,1.994,-999,-999,-999,-999,-999,-999,-999,-999
1948,-0.039,-1.919,1.992,-999,-999,-999,-999,-999,-999,-999,-999
1949,1.236,-1.928,1.948,-999,-999,-999,-999,-999,-999,-999,-999
1950,-1.222,-1.926,2.022,-999,-999,-999,-999,-999,-999,-999,-999
1951,-0.764,-1.929,2.029,-999,-999,-999,-999,-999,-999,-999,-999
1952,0.803,-2.031,2.073,-999,-999,-999,-999,-999,-999,-999,-999
1953,1.353,-2.031,2.106,-999,-999,-999,-999,-999,-999,-999,-999
1954,1.17,-2.027,2.112,-999,-999,-999,-999,-999,-999,-999,-999
1955,0.22,-2.01,2.05,-999,-999,-999,-999,-999,-999,-999,-999
1956,0.353,-2.021,2.021,-999,-999,-999,-999,-999,-999,-999,-999
1957,0.353,-2.169,1.987,-999,-999,-999,-999,-999,-999,-999,-999
1958,-2.705,-2.119,2.075,-999,-999,-999,-999,-999,-999,-999,-999
1959,0.095,-2.205,2.014,-999,-999,-999,-999,-999,-999,-999,-999
1960,-2.105,-2.277,1.925,-999,-999,-999,-999,-999,-999,-999,-999
1961,-1.264,-2.296,1.879,-999,-999,-999,-999,-999,-999,-999,-999
1962,-1.089,-2.333,1.776,-999,-999,-999,-999,-999,-999,-999,-999
1963,-2.072,-2.307,1.84,-999,-999,-999,-999,-999,-999,-999,-999
1964,-0.147,-2.343,1.825,-999,-999,-999,-999,-999,-999,-999,-999
1965,-0.164,-2.354,1.744,-999,-999,-999,-999,-999,-999,-999,-999
1966,-1.964,-2.361,1.697,-999,-999,-999,-999,-999,-999,-999,-999
1967,-1.347,-2.362,1.712,-999,-999,-999,-999,-999,-999,-999,-999
1968,-1.747,-2.232,1.676,-999,-999,-999,-999,-999,-999,-999,-999
1969,-1.839,-2.293,1.64,-999,-999,-999,-999,-999,-999,-999,-999
1970,-0.697,-2.225,1.623,-999,-999,-999,-999,-999,-999,-999,-999
1971,-0.305,-2.217,1.737,-999,-999,-999,-999,-999,-999,-999,-999
