year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.166,-1.687,1.564,-999,-999,-999,-999,-999,-999,-999,-999
1901,-1.159,-1.607,1.604,-999,-999,-999,-999,-999,-999,-999,-999
1902,0.016,-1.621,1.673,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.909,-1.638,1.637,-999,-999,-999,-999,-999,-999,-999,-999
1904,-0.451,-1.587,1.586,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.934,-1.573,1.606,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.217,-1.621,1.618,-999,-999,-999,-999,-999,-999,-999,-999
1907,1.133,-1.606,1.533,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.916,-1.66,1.436,-999,-999,-999,-999,-999,-999,-999,-999
1909,0.674,-1.686,1.454,-999,-999,-999,-999,-999,-999,-999,-999
1910,-0.059,-1.633,1.401,-999,-999,-999,-999,-999,-999,-999,-999
1911,2.183,-1.738,1.435,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.201,-1.8,1.422,-999,-999,-999,-999,-999,-999,-999,-999
1913,-0.509,-1.786,1.387,-999,-999,-999,-999,-999,-999,-999,-999
1914,-0.742,-1.737,1.38,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.526,-1.745,1.424,-999,-999,-999,-999,-999,-999,-999,-999
1916,0.216,-1.794,1.416,-999,-999,-999,-999,-999,-999,-999,-999
1917,-1.459,-1.751,1.395,-999,-999,-999,-999,-999,-999,-999,-999
1918,0.183,-1.722,1.52,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.241,-1.673,1.612,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.742,-1.64,1.672,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.333,-1.651,1.683,-999,-999,-999,-999,-999,-999,-999,-999
1922,1.216,-1.516,1.678,-999,-999,-999,-999,-999,-999,-999,-999
1923,-0.067,-1.513,1.633,-999,-999,-999,-999,-999,-999,-999,-999
1924,-0.742,-1.563,1.656,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.774,-1.548,1.672,-999,-999,-999,-999,-999,-999,-999,-999
1926,-0.409,-1.513,1.723,-999,-999,-999,-999,-999,-999,-999,-999
1927,2.108,-1.485,1.693,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.742,-1.529,1.711,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.476,-1.588,1.633,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.467,-1.578,1.65,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.041,-1.558,1.61,-999,-999,-999,-999,-999,-999,-999,-999
1932,0.216,-1.524,1.667,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.924,-1.55,1.665,-999,-999,-999,-999,-999,-999,-999,-999
1934,0.524,-1.563,1.711,-999,-999,-999,-999,-999,-999,-999,-999
1935,0.416,-1.505,1.68,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.334,-1.508,1.76,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.401,-1.551,1.707,-999,-999,-999,-999,-999,-999,-999,-999
1938,0.783,-1.548,1.711,-999,-999,-999,-999,-999,-999,-999,-999
1939,0.691,-1.532,1.654,-999,-999,-999,-999,-999,-999,-999,-999
1940,-2.184,-1.527,1.7,-999,-999,-999,-999,-999,-999,-999,-999
1941,-0.067,-1.511,1.672,-999,-999,-999,-999,-999,-999,-999,-999
1942,-0.992,-1.548,1.73,-999,-999,-999,-999,-999,-999,-999,-999
1943,-0.326,-1.639,1.741,-999,-999,-999,-999,-999,-999,-999,-999
1944,0.333,-1.643,1.828,-999,-999,-999,-999,-999,-999,-999,-999
1945,0.333,-1.666,1.829,-999,-999,-999,-999,-999,-999,-999,-999
1946,0.658,-1.679,1.867,-999,-999,-999,-999,-999,-999,-999,-999
1947,-0.709,-1.795,1.743,-999,-999,-999,-999,-999,-999,-999,-999
1948,-0.134,-1.774,1.718,-999,-999,-999,-999,-999,-999,-999,-999
1949,0.724,-1.803,1.734,-999,-999,-999,-999,-999,-999,-999,-999
1950,0.258,-1.782,1.835,-999,-999,-999,-999,-999,-999,-999,-999
1951,0.391,-1.714,1.914,-999,-999,-999,-999,-999,-999,-999,-999
1952,-0.267,-1.785,1.937,-999,-999,-999,-999,-999,-999,-999,-999
1953,0.566,-1.748,2.03,-999,-999,-999,-999,-999,-999,-999,-999
1954,0.899,-1.732,2.028,-999,-999,-999,-999,-999,-999,-999,-999
1955,0.266,-1.716,2.02,-999,-999,-999,-999,-999,-999,-999,-999
1956,0.441,-1.697,1.965,-999,-999,-999,-999,-999,-999,-999,-999
1957,0.483,-1.823,1.951,-999,-999,-999,-999,-999,-999,-999,-999
1958,-1.642,-1.756,2.049,-999,-999,-999,-999,-999,-999,-999,-999
1959,-0.784,-1.81,2.088,-999,-999,-999,-999,-999,-999,-999,-999
1960,-1.459,-1.851,2.003,-999,-999,-999,-999,-999,-999,-999,-999
1961,-1.517,-1.876,1.899,-999,-999,-999,-999,-999,-999,-999,-999
1962,-0.092,-1.881,1.761,-999,-999,-999,-999,-999,-999,-999,-999
1963,-0.717,-1.867,1.767,-999,-999,-999,-999,-999,-999,-999,-999
1964,-0.526,-1.926,1.661,-999,-999,-999,-999,-999,-999,-999,-999
1965,0.249,-1.939,1.606,-999,-999,-999,-999,-999,-999,-999,-999
1966,-1.409,-1.972,1.577,-999,-999,-999,-999,-999,-999,-999,-999
1967,-0.834,-2.016,1.58,-999,-999,-999,-999,-999,-999,-999,-999
1968,-2.217,-1.922,1.529,-999,-999,-999,-999,-999,-999,-999,-999
1969,-0.959,-1.939,1.46,-999,-999,-999,-999,-999,-999,-999,-999
1970,-1.242,-1.932,1.416,-999,-999,-999,-999,-999,-999,-999,-999
1971,-0.101,-1.893,1.511,-999,-999,-999,-999,-999,-999,-999,-999
1972,-0.101,-1.88,1.582,-999,-999,-999,-999,-999,-999,-999,-999
1973,-0.351,-1.95,1.552,-999,-999,-999,-999,-999,-999,-999,-999
1974,-0.067,-1.847,1.566,-999,-999,-999,-999,-999,-999,-999,-999
1975,-0.501,-1.797,1.621,-999,-999,-999,-999,-999,-999,-999,-999
1976,-2.251,-1.756,1.611,-999,-999,-999,-999,-999,-999,-999,-999
1977,-0.534,-1.809,1.606,-999,-999,-999,-999,-999,-999,-999,-999
1978,-1.501,-1.766,1.632,-999,-999,-999,-999,-999,-999,-999,-999
1979,-2.042,-1.748,1.705,-999,-999,-999,-999,-999,-999,-999,-999
1980,-0.534,-1.692,1.805,-999,-999,-999,-999,-999,-999,-999,-999
1981,-0.534,-1.593,1.86,-999,-999,-999,-999,-999,-999,-999,-999
1982,0.091,-1.548,1.896,-999,-999,-999,-999,-999,-999,-999,-999
1983,-2.217,-1.45,1.996,-999,-999,-999,-999,-999,-999,-999,-999
1984,-0.267,-1.341,2.144,-999,-999,-999,-999,-999,-999,-999,-999
1985,-0.226,-1.297,2.152,-999,-999,-999,-999,-999,-999,-999,-999
1986,0.716,-1.232,2.09,-999,-999,-999,-999,-999,-999,-999,-999
1987,-0.592,-1.192,2.124,-999,-999,-999,-999,-999,-999,-999,-999
1988,-0.951,-1.14,2.124,-999,-999,-999,-999,-999,-999,-999,-999
1989,-1.134,-1.172,2.126,-999,-999,-999,-999,-999,-999,-999,-999
1990,1.224,-1.119,2.194,-999,-999,-999,-999,-999,-999,-999,-999
1991,0.333,-1.07,2.162,-999,-999,-999,-999,-999,-999,-999,-999
1992,-0.759,-1.099,2.217,-999,-999,-999,-999,-999,-999,-999,-999
1993,-0.976,-1.082,2.286,-999,-999,-999,-999,-999,-999,-999,-999
1994,-0.126,-1.058,2.274,-999,-999,-999,-999,-999,-999,-999,-999
1995,0.191,-1.01,2.292,-999,-999,-999,-999,-999,-999,-999,-999
1996,-0.426,-1.016,2.39,-999,-999,-999,-999,-999,-999,-999,-999
1997,-0.551,-0.951,2.549,-999,-999,-999,-999,-999,-999,-999,-999
1998,2.058,-0.914,2.616,-999,-999,-999,-999,-999,-999,-999,-999
1999,1.266,-0.767,2.745,-999,-999,-999,-999,-999,-999,-999,-999
2000,0.658,-0.564,2.9,-999,-999,-999,-999,-999,-999,-999,-999
2001,0.074,-0.489,3.013,-999,-999,-999,-999,-999,-999,-999,-999
2002,0.058,-0.413,3.117,-999,-999,-999,-999,-999,-999,-999,-999
2003,-0.209,-0.408,3.163,-999,-999,-999,-999,-999,-999,-999,-999
2004,0.558,-0.286,3.185,-999,-999,-999,-999,-999,-999,-999,-999
2005,0.924,-0.266,3.274,-999,-999,-999,-999,-999,-999,-999,-999
2006,1.191,-0.248,3.334,-999,-999,-999,-999,-999,-999,-999,-999
2007,0.799,-0.191,3.312,-999,-999,-999,-999,-999,-999,-999,-999
2008,0.058,-0.224,3.333,-999,-999,-999,-999,-999,-999,-999,-999
2009,0.266,-0.143,3.501,-999,-999,-999,-999,-999,-999,-999,-999
2010,-0.126,-0.138,3.574,-999,-999,-999,-999,-999,-999,-999,-999
2011,1.133,-0.156,3.599,-999,-999,-999,-999,-999,-999,-999,-999
2012,2.133,-0.126,3.535,-999,-999,-999,-999,-999,-999,-999,-999
2013,-0.334,-0.149,3.55,-999,-999,-999,-999,-999,-999,-999,-999
2014,-1.509,-0.07,3.609,-999,-999,-999,-999,-999,-999,-999,-999
2015,1.508,-999,-999,0.1,3.986,0.449,4.142,0.176,3.804,0.762,4.194
2016,2.158,-999,-999,0.178,4.056,0.41,4.16,0.159,3.815,0.801,4.256
2017,2.133,-999,-999,0.289,4.145,0.383,4.183,0.113,3.859,0.767,4.353
2018,1.191,-999,-999,0.354,4.181,0.453,4.249,0.103,3.966,0.742,4.422
2019,1.124,-999,-999,0.518,4.267,0.528,4.244,0.187,4.055,0.729,4.493
2020,1.574,-999,-999,0.57,4.31,0.53,4.31,0.25,4.132,0.704,4.655
2021,0.899,-999,-999,0.66,4.378,0.54,4.347,0.322,4.14,0.741,4.765
2022,0.666,-999,-999,0.798,4.505,0.689,4.441,0.404,4.24,0.765,4.84
2023,3.049,-999,-999,0.897,4.634,0.766,4.58,0.407,4.3,0.8,4.883
2024,2.766,-999,-999,1.003,4.829,0.798,4.63,0.468,4.417,0.894,5.025
2025,-999,-999,-999,1.079,4.984,0.802,4.799,0.59,4.601,0.921,5.209
2026,-999,-999,-999,1.169,4.967,0.903,4.811,0.655,4.699,0.927,5.232
2027,-999,-999,-999,1.184,5.036,0.942,4.911,0.765,4.762,0.979,5.318
2028,-999,-999,-999,1.125,5.131,1.075,5.058,0.888,4.812,1.114,5.392
2029,-999,-999,-999,1.209,5.194,1.173,5.134,1.021,4.862,1.233,5.535
2030,-999,-999,-999,1.231,5.352,1.229,5.234,1.085,4.927,1.25,5.594
2031,-999,-999,-999,1.214,5.525,1.368,5.288,1.147,5.04,1.331,5.589
2032,-999,-999,-999,1.244,5.588,1.441,5.366,1.154,5.211,1.333,5.679
2033,-999,-999,-999,1.342,5.611,1.442,5.426,1.156,5.292,1.357,5.727
2034,-999,-999,-999,1.345,5.661,1.518,5.47,1.354,5.409,1.468,5.761
2035,-999,-999,-999,1.359,5.686,1.615,5.62,1.432,5.411,1.461,5.845
2036,-999,-999,-999,1.432,5.677,1.645,5.594,1.531,5.411,1.537,5.894
2037,-999,-999,-999,1.464,5.75,1.68,5.687,1.623,5.47,1.653,6.081
2038,-999,-999,-999,1.521,5.74,1.753,5.744,1.747,5.607,1.702,6.195
2039,-999,-999,-999,1.627,5.837,1.791,5.748,1.766,5.739,1.747,6.237
2040,-999,-999,-999,1.577,5.956,1.817,5.8,1.827,5.819,1.801,6.26
2041,-999,-999,-999,1.571,5.949,1.895,5.898,1.888,5.886,1.968,6.322
2042,-999,-999,-999,1.654,5.903,1.953,5.978,1.944,5.986,2.056,6.408
2043,-999,-999,-999,1.641,5.998,2.026,5.991,2.101,6.115,2.103,6.51
2044,-999,-999,-999,1.563,6.123,2.137,6.086,2.296,6.18,2.197,6.697
2045,-999,-999,-999,1.611,6.177,2.212,6.214,2.318,6.345,2.234,6.948
2046,-999,-999,-999,1.636,6.145,2.289,6.269,2.349,6.426,2.415,7.112
2047,-999,-999,-999,1.627,6.175,2.35,6.347,2.355,6.602,2.536,7.183
2048,-999,-999,-999,1.636,6.16,2.394,6.441,2.389,6.719,2.617,7.259
2049,-999,-999,-999,1.622,6.222,2.432,6.547,2.427,6.844,2.661,7.288
2050,-999,-999,-999,1.614,6.153,2.432,6.618,2.537,6.913,2.79,7.408
2051,-999,-999,-999,1.716,6.135,2.471,6.689,2.649,7.016,2.891,7.613
2052,-999,-999,-999,1.665,6.158,2.508,6.77,2.705,7.085,2.977,7.856
2053,-999,-999,-999,1.692,6.265,2.469,6.775,2.79,7.097,3.011,8.063
