year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.123,-2.105,1.436,-999,-999,-999,-999,-999,-999,-999,-999
1901,-0.452,-1.995,1.445,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.343,-1.874,1.565,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.485,-1.958,1.553,-999,-999,-999,-999,-999,-999,-999,-999
1904,-3.268,-1.899,1.601,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.893,-1.838,1.622,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.86,-1.871,1.625,-999,-999,-999,-999,-999,-999,-999,-999
1907,-2.352,-1.928,1.616,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.035,-2.052,1.487,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.452,-1.984,1.557,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.273,-1.996,1.515,-999,-999,-999,-999,-999,-999,-999,-999
1911,-0.318,-2.032,1.556,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.293,-2.153,1.521,-999,-999,-999,-999,-999,-999,-999,-999
1913,1.215,-2.215,1.544,-999,-999,-999,-999,-999,-999,-999,-999
1914,-2.135,-2.18,1.591,-999,-999,-999,-999,-999,-999,-999,-999
1915,1.123,-2.23,1.615,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.427,-2.289,1.588,-999,-999,-999,-999,-999,-999,-999,-999
1917,-2.843,-2.263,1.609,-999,-999,-999,-999,-999,-999,-999,-999
1918,-1.327,-2.185,1.696,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.073,-1.999,1.845,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.435,-1.952,1.907,-999,-999,-999,-999,-999,-999,-999,-999
1921,1.315,-1.855,1.985,-999,-999,-999,-999,-999,-999,-999,-999
1922,-0.193,-1.829,2.01,-999,-999,-999,-999,-999,-999,-999,-999
1923,-1.727,-1.763,2.074,-999,-999,-999,-999,-999,-999,-999,-999
1924,-1.118,-1.753,2.082,-999,-999,-999,-999,-999,-999,-999,-999
1925,-0.977,-1.75,2.031,-999,-999,-999,-999,-999,-999,-999,-999
1926,-2.652,-1.709,2.09,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.432,-1.713,2.193,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.485,-1.666,2.169,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.527,-1.672,2.164,-999,-999,-999,-999,-999,-999,-999,-999
1930,0.865,-1.765,2.104,-999,-999,-999,-999,-999,-999,-999,-999
1931,2.273,-1.782,2.154,-999,-999,-999,-999,-999,-999,-999,-999
1932,1.09,-1.821,2.143,-999,-999,-999,-999,-999,-999,-999,-999
1933,-0.193,-1.808,2.171,-999,-999,-999,-999,-999,-999,-999,-999
1934,-1.227,-1.882,2.14,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.71,-1.835,2.163,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.385,-1.811,2.176,-999,-999,-999,-999,-999,-999,-999,-999
1937,2.14,-1.856,2.081,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.24,-1.832,1.992,-999,-999,-999,-999,-999,-999,-999,-999
1939,-0.635,-1.913,2.042,-999,-999,-999,-999,-999,-999,-999,-999
1940,-0.793,-1.909,2.065,-999,-999,-999,-999,-999,-999,-999,-999
1941,0.94,-1.901,2.126,-999,-999,-999,-999,-999,-999,-999,-999
1942,1.107,-1.873,2.154,-999,-999,-999,-999,-999,-999,-999,-999
1943,-0.952,-1.828,2.184,-999,-999,-999,-999,-999,-999,-999,-999
1944,0.673,-1.815,2.173,-999,-999,-999,-999,-999,-999,-999,-999
1945,0.673,-1.724,2.201,-999,-999,-999,-999,-999,-999,-999,-999
1946,0.873,-1.671,2.193,-999,-999,-999,-999,-999,-999,-999,-999
1947,0.932,-1.669,2.203,-999,-999,-999,-999,-999,-999,-999,-999
1948,0.173,-1.655,2.233,-999,-999,-999,-999,-999,-999,-999,-999
1949,2.357,-1.645,2.213,-999,-999,-999,-999,-999,-999,-999,-999
1950,0.548,-1.578,2.191,-999,-999,-999,-999,-999,-999,-999,-999
1951,1.382,-1.574,2.169,-999,-999,-999,-999,-999,-999,-999,-999
1952,2.032,-1.622,2.136,-999,-999,-999,-999,-999,-999,-999,-999
1953,3.282,-1.593,2.084,-999,-999,-999,-999,-999,-999,-999,-999
1954,0.682,-1.642,2.041,-999,-999,-999,-999,-999,-999,-999,-999
1955,0.648,-1.688,2.036,-999,-999,-999,-999,-999,-999,-999,-999
1956,-0.452,-1.709,2.041,-999,-999,-999,-999,-999,-999,-999,-999
1957,1.298,-1.855,2.089,-999,-999,-999,-999,-999,-999,-999,-999
1958,-0.168,-1.868,2.093,-999,-999,-999,-999,-999,-999,-999,-999
1959,0.915,-1.921,2.161,-999,-999,-999,-999,-999,-999,-999,-999
1960,1.44,-2.031,2.184,-999,-999,-999,-999,-999,-999,-999,-999
1961,0.948,-2.092,2.137,-999,-999,-999,-999,-999,-999,-999,-999
1962,-0.777,-2.141,2.105,-999,-999,-999,-999,-999,-999,-999,-999
1963,-0.193,-2.154,2.117,-999,-999,-999,-999,-999,-999,-999,-999
1964,0.315,-2.238,2.075,-999,-999,-999,-999,-999,-999,-999,-999
