year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.309,-1.927,1.507,-999,-999,-999,-999,-999,-999,-999,-999
1901,-1.108,-1.849,1.523,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.616,-1.795,1.57,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.758,-1.841,1.577,-999,-999,-999,-999,-999,-999,-999,-999
1904,-3.383,-1.767,1.635,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.541,-1.742,1.714,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.166,-1.754,1.684,-999,-999,-999,-999,-999,-999,-999,-999
1907,-2.083,-1.764,1.659,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.242,-1.891,1.511,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.425,-1.815,1.512,-999,-999,-999,-999,-999,-999,-999,-999
1910,-0.166,-1.823,1.445,-999,-999,-999,-999,-999,-999,-999,-999
1911,-0.108,-1.897,1.482,-999,-999,-999,-999,-999,-999,-999,-999
1912,-0.908,-1.96,1.397,-999,-999,-999,-999,-999,-999,-999,-999
1913,1.375,-2.01,1.455,-999,-999,-999,-999,-999,-999,-999,-999
1914,-1.425,-2.058,1.458,-999,-999,-999,-999,-999,-999,-999,-999
1915,0.267,-2.096,1.438,-999,-999,-999,-999,-999,-999,-999,-999
1916,-1.325,-2.131,1.352,-999,-999,-999,-999,-999,-999,-999,-999
1917,-2.933,-2.096,1.389,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.958,-2.071,1.465,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.375,-1.938,1.607,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.108,-1.904,1.683,-999,-999,-999,-999,-999,-999,-999,-999
1921,1.492,-1.82,1.72,-999,-999,-999,-999,-999,-999,-999,-999
