year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.421,-2.429,2.515,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.313,-2.297,2.561,-999,-999,-999,-999,-999,-999,-999,-999
1902,0.296,-2.241,2.527,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.779,-2.34,2.475,-999,-999,-999,-999,-999,-999,-999,-999
1904,-2.495,-2.343,2.476,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.704,-2.436,2.496,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.113,-2.482,2.551,-999,-999,-999,-999,-999,-999,-999,-999
1907,-2.304,-2.651,2.456,-999,-999,-999,-999,-999,-999,-999,-999
1908,1.338,-2.86,2.323,-999,-999,-999,-999,-999,-999,-999,-999
1909,-1.095,-2.806,2.159,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.988,-2.802,2.187,-999,-999,-999,-999,-999,-999,-999,-999
1911,-0.195,-2.819,2.179,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.787,-2.884,2.134,-999,-999,-999,-999,-999,-999,-999,-999
1913,0.23,-2.829,2.106,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.088,-2.847,2.154,-999,-999,-999,-999,-999,-999,-999,-999
1915,0.396,-2.838,2.17,-999,-999,-999,-999,-999,-999,-999,-999
1916,-2.637,-2.793,2.08,-999,-999,-999,-999,-999,-999,-999,-999
1917,-4.12,-2.804,2.054,-999,-999,-999,-999,-999,-999,-999,-999
1918,0.321,-2.679,2.128,-999,-999,-999,-999,-999,-999,-999,-999
1919,-0.57,-2.523,2.235,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.12,-2.452,2.366,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.655,-2.418,2.397,-999,-999,-999,-999,-999,-999,-999,-999
1922,1.096,-2.316,2.412,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.555,-2.32,2.505,-999,-999,-999,-999,-999,-999,-999,-999
1924,-2.12,-2.348,2.504,-999,-999,-999,-999,-999,-999,-999,-999
1925,-0.004,-2.308,2.43,-999,-999,-999,-999,-999,-999,-999,-999
1926,-1.004,-2.333,2.488,-999,-999,-999,-999,-999,-999,-999,-999
1927,-1.237,-2.298,2.489,-999,-999,-999,-999,-999,-999,-999,-999
