year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.985,-2.486,2.157,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.935,-2.541,2.18,-999,-999,-999,-999,-999,-999,-999,-999
1902,-1.056,-2.579,2.249,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.948,-2.597,2.186,-999,-999,-999,-999,-999,-999,-999,-999
1904,-0.006,-2.623,2.278,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.273,-2.572,2.183,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.602,-2.489,2.167,-999,-999,-999,-999,-999,-999,-999,-999
1907,-1.64,-2.552,2.151,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.635,-2.575,2.012,-999,-999,-999,-999,-999,-999,-999,-999
1909,-1.598,-2.51,2.032,-999,-999,-999,-999,-999,-999,-999,-999
1910,1.66,-2.532,2.075,-999,-999,-999,-999,-999,-999,-999,-999
1911,-2.148,-2.539,2.139,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.44,-2.462,2.13,-999,-999,-999,-999,-999,-999,-999,-999
1913,-1.115,-2.291,2.165,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.594,-2.278,2.212,-999,-999,-999,-999,-999,-999,-999,-999
1915,0.31,-2.226,2.156,-999,-999,-999,-999,-999,-999,-999,-999
1916,-3.706,-2.253,2.098,-999,-999,-999,-999,-999,-999,-999,-999
1917,-1.956,-2.209,1.998,-999,-999,-999,-999,-999,-999,-999,-999
1918,0.419,-2.146,1.984,-999,-999,-999,-999,-999,-999,-999,-999
1919,-0.365,-2.131,2.058,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.331,-2.034,2.19,-999,-999,-999,-999,-999,-999,-999,-999
1921,1.452,-2.032,2.16,-999,-999,-999,-999,-999,-999,-999,-999
1922,-1.615,-1.892,2.183,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.552,-1.891,2.173,-999,-999,-999,-999,-999,-999,-999,-999
1924,-1.306,-1.927,2.143,-999,-999,-999,-999,-999,-999,-999,-999
1925,1.302,-1.93,2.098,-999,-999,-999,-999,-999,-999,-999,-999
1926,1.627,-1.979,2.1,-999,-999,-999,-999,-999,-999,-999,-999
1927,-2.24,-1.89,2.137,-999,-999,-999,-999,-999,-999,-999,-999
1928,0.377,-1.961,2.187,-999,-999,-999,-999,-999,-999,-999,-999
1929,-2.031,-1.99,2.202,-999,-999,-999,-999,-999,-999,-999,-999
1930,0.719,-1.965,2.161,-999,-999,-999,-999,-999,-999,-999,-999
1931,2.919,-1.981,2.167,-999,-999,-999,-999,-999,-999,-999,-999
1932,-0.406,-1.931,2.143,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.16,-2.007,2.074,-999,-999,-999,-999,-999,-999,-999,-999
1934,4.035,-2.107,2.057,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.206,-2.112,2.104,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.123,-2.065,2.158,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.856,-2.072,2.184,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.385,-2.165,2.16,-999,-999,-999,-999,-999,-999,-999,-999
1939,2.394,-2.136,2.089,-999,-999,-999,-999,-999,-999,-999,-999
1940,1.469,-2.086,2.209,-999,-999,-999,-999,-999,-999,-999,-999
1941,1.96,-2.236,2.185,-999,-999,-999,-999,-999,-999,-999,-999
1942,0.069,-2.303,2.165,-999,-999,-999,-999,-999,-999,-999,-999
1943,-0.098,-2.335,2.255,-999,-999,-999,-999,-999,-999,-999,-999
1944,0.385,-2.357,2.239,-999,-999,-999,-999,-999,-999,-999,-999
1945,-0.29,-2.24,2.228,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.01,-2.214,2.214,-999,-999,-999,-999,-999,-999,-999,-999
1947,0.335,-2.301,2.137,-999,-999,-999,-999,-999,-999,-999,-999
1948,-0.39,-2.269,2.086,-999,-999,-999,-999,-999,-999,-999,-999
1949,-0.873,-2.208,2.135,-999,-999,-999,-999,-999,-999,-999,-999
1950,-2.715,-2.16,2.158,-999,-999,-999,-999,-999,-999,-999,-999
1951,-3.431,-2.196,2.056,-999,-999,-999,-999,-999,-999,-999,-999
1952,0.227,-2.105,2.12,-999,-999,-999,-999,-999,-999,-999,-999
1953,2.727,-2.011,2.161,-999,-999,-999,-999,-999,-999,-999,-999
