year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.082,-2.38,1.549,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.565,-2.386,1.546,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.368,-2.36,1.561,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.135,-2.401,1.454,-999,-999,-999,-999,-999,-999,-999,-999
1904,0.432,-2.401,1.498,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.668,-2.406,1.41,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.36,-2.408,1.317,-999,-999,-999,-999,-999,-999,-999,-999
1907,-0.36,-2.482,1.345,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.76,-2.483,1.285,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.218,-2.415,1.327,-999,-999,-999,-999,-999,-999,-999,-999
1910,1.123,-2.391,1.417,-999,-999,-999,-999,-999,-999,-999,-999
1911,-1.76,-2.448,1.433,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.652,-2.403,1.552,-999,-999,-999,-999,-999,-999,-999,-999
1913,-1.518,-2.317,1.666,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.465,-2.304,1.752,-999,-999,-999,-999,-999,-999,-999,-999
1915,0.323,-2.281,1.714,-999,-999,-999,-999,-999,-999,-999,-999
1916,-1.568,-2.295,1.713,-999,-999,-999,-999,-999,-999,-999,-999
1917,-1.127,-2.296,1.74,-999,-999,-999,-999,-999,-999,-999,-999
1918,0.107,-2.177,1.744,-999,-999,-999,-999,-999,-999,-999,-999
1919,-0.035,-2.191,1.804,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.335,-2.104,1.86,-999,-999,-999,-999,-999,-999,-999,-999
1921,1.907,-2.105,1.781,-999,-999,-999,-999,-999,-999,-999,-999
1922,-1.243,-2.017,1.811,-999,-999,-999,-999,-999,-999,-999,-999
1923,-1.193,-1.961,1.761,-999,-999,-999,-999,-999,-999,-999,-999
1924,-0.335,-1.952,1.702,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.723,-1.896,1.728,-999,-999,-999,-999,-999,-999,-999,-999
1926,2.257,-1.86,1.777,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.54,-1.816,1.724,-999,-999,-999,-999,-999,-999,-999,-999
1928,0.74,-1.773,1.738,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.043,-1.735,1.717,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.535,-1.715,1.683,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.948,-1.717,1.803,-999,-999,-999,-999,-999,-999,-999,-999
1932,-1.21,-1.68,1.864,-999,-999,-999,-999,-999,-999,-999,-999
1933,-0.543,-1.632,1.847,-999,-999,-999,-999,-999,-999,-999,-999
1934,3.69,-1.718,1.855,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.152,-1.679,1.867,-999,-999,-999,-999,-999,-999,-999,-999
1936,1.157,-1.686,1.85,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.585,-1.679,1.898,-999,-999,-999,-999,-999,-999,-999,-999
1938,-0.143,-1.668,1.954,-999,-999,-999,-999,-999,-999,-999,-999
1939,1.132,-1.649,1.963,-999,-999,-999,-999,-999,-999,-999,-999
1940,2.157,-1.667,2.036,-999,-999,-999,-999,-999,-999,-999,-999
1941,-0.243,-1.728,2.026,-999,-999,-999,-999,-999,-999,-999,-999
1942,-0.327,-1.718,1.959,-999,-999,-999,-999,-999,-999,-999,-999
1943,1.023,-1.671,2.004,-999,-999,-999,-999,-999,-999,-999,-999
1944,-2.018,-1.761,1.983,-999,-999,-999,-999,-999,-999,-999,-999
1945,-0.718,-1.65,2.015,-999,-999,-999,-999,-999,-999,-999,-999
1946,-0.26,-1.614,2.067,-999,-999,-999,-999,-999,-999,-999,-999
1947,0.265,-1.694,2.089,-999,-999,-999,-999,-999,-999,-999,-999
1948,-1.443,-1.705,2.1,-999,-999,-999,-999,-999,-999,-999,-999
1949,-1.652,-1.686,2.123,-999,-999,-999,-999,-999,-999,-999,-999
1950,1.282,-1.721,2.098,-999,-999,-999,-999,-999,-999,-999,-999
1951,-0.118,-1.693,2.087,-999,-999,-999,-999,-999,-999,-999,-999
1952,-0.668,-1.547,2.143,-999,-999,-999,-999,-999,-999,-999,-999
1953,0.748,-1.516,2.128,-999,-999,-999,-999,-999,-999,-999,-999
1954,1.123,-1.594,2.227,-999,-999,-999,-999,-999,-999,-999,-999
1955,-1.477,-1.563,2.225,-999,-999,-999,-999,-999,-999,-999,-999
1956,-0.118,-1.683,2.211,-999,-999,-999,-999,-999,-999,-999,-999
1957,-0.518,-1.841,2.167,-999,-999,-999,-999,-999,-999,-999,-999
1958,1.69,-1.772,2.158,-999,-999,-999,-999,-999,-999,-999,-999
1959,1.073,-1.81,2.066,-999,-999,-999,-999,-999,-999,-999,-999
1960,0.865,-1.902,2.002,-999,-999,-999,-999,-999,-999,-999,-999
1961,0.673,-1.968,2.019,-999,-999,-999,-999,-999,-999,-999,-999
1962,0.29,-2.136,1.947,-999,-999,-999,-999,-999,-999,-999,-999
1963,0.532,-2.231,1.892,-999,-999,-999,-999,-999,-999,-999,-999
1964,-1.168,-2.379,1.835,-999,-999,-999,-999,-999,-999,-999,-999
1965,-0.618,-2.402,1.713,-999,-999,-999,-999,-999,-999,-999,-999
1966,0.807,-2.484,1.716,-999,-999,-999,-999,-999,-999,-999,-999
1967,0.315,-2.53,1.678,-999,-999,-999,-999,-999,-999,-999,-999
1968,0.29,-2.452,1.692,-999,-999,-999,-999,-999,-999,-999,-999
1969,0.465,-2.47,1.676,-999,-999,-999,-999,-999,-999,-999,-999
1970,0.023,-2.478,1.749,-999,-999,-999,-999,-999,-999,-999,-999
1971,-0.902,-2.451,1.774,-999,-999,-999,-999,-999,-999,-999,-999
1972,0.09,-2.443,1.786,-999,-999,-999,-999,-999,-999,-999,-999
1973,0.048,-2.349,1.852,-999,-999,-999,-999,-999,-999,-999,-999
1974,0.848,-2.261,1.879,-999,-999,-999,-999,-999,-999,-999,-999
1975,-1.018,-2.214,1.918,-999,-999,-999,-999,-999,-999,-999,-999
1976,0.248,-2.199,1.987,-999,-999,-999,-999,-999,-999,-999,-999
1977,1.04,-2.107,2.051,-999,-999,-999,-999,-999,-999,-999,-999
1978,0.107,-2.074,2.047,-999,-999,-999,-999,-999,-999,-999,-999
1979,0.365,-2.096,2.041,-999,-999,-999,-999,-999,-999,-999,-999
1980,1.082,-2.084,1.989,-999,-999,-999,-999,-999,-999,-999,-999
1981,2.557,-2.051,2.037,-999,-999,-999,-999,-999,-999,-999,-999
1982,-1.16,-2.009,2.129,-999,-999,-999,-999,-999,-999,-999,-999
1983,0.19,-1.943,2.16,-999,-999,-999,-999,-999,-999,-999,-999
1984,-0.502,-1.847,2.268,-999,-999,-999,-999,-999,-999,-999,-999
1985,-0.577,-1.877,2.399,-999,-999,-999,-999,-999,-999,-999,-999
1986,2.182,-1.899,2.454,-999,-999,-999,-999,-999,-999,-999,-999
1987,1.298,-1.883,2.44,-999,-999,-999,-999,-999,-999,-999,-999
1988,1.407,-1.924,2.396,-999,-999,-999,-999,-999,-999,-999,-999
1989,0.873,-1.869,2.472,-999,-999,-999,-999,-999,-999,-999,-999
1990,0.773,-1.742,2.641,-999,-999,-999,-999,-999,-999,-999,-999
1991,0.623,-1.669,2.846,-999,-999,-999,-999,-999,-999,-999,-999
1992,2.09,-1.622,2.851,-999,-999,-999,-999,-999,-999,-999,-999
1993,-0.643,-1.6,2.945,-999,-999,-999,-999,-999,-999,-999,-999
1994,1.498,-1.514,3.022,-999,-999,-999,-999,-999,-999,-999,-999
1995,1.657,-1.479,3.078,-999,-999,-999,-999,-999,-999,-999,-999
1996,2.273,-1.395,3.088,-999,-999,-999,-999,-999,-999,-999,-999
1997,1.315,-1.217,3.235,-999,-999,-999,-999,-999,-999,-999,-999
1998,-0.077,-1.059,3.306,-999,-999,-999,-999,-999,-999,-999,-999
1999,1.307,-0.861,3.48,-999,-999,-999,-999,-999,-999,-999,-999
2000,2.215,-0.647,3.728,-999,-999,-999,-999,-999,-999,-999,-999
2001,2.29,-0.575,3.799,-999,-999,-999,-999,-999,-999,-999,-999
2002,1.532,-0.503,3.777,-999,-999,-999,-999,-999,-999,-999,-999
2003,2.973,-0.403,3.893,-999,-999,-999,-999,-999,-999,-999,-999
2004,1.565,-0.296,3.905,-999,-999,-999,-999,-999,-999,-999,-999
2005,1.398,-0.215,3.925,-999,-999,-999,-999,-999,-999,-999,-999
2006,1.523,-0.173,4.021,-999,-999,-999,-999,-999,-999,-999,-999
2007,2.257,-0.103,4.065,-999,-999,-999,-999,-999,-999,-999,-999
2008,1.148,0.038,4.096,-999,-999,-999,-999,-999,-999,-999,-999
2009,1.098,0.173,4.214,-999,-999,-999,-999,-999,-999,-999,-999
2010,0.782,0.288,4.269,-999,-999,-999,-999,-999,-999,-999,-999
2011,0.298,0.347,4.211,-999,-999,-999,-999,-999,-999,-999,-999
2012,3.09,0.355,4.188,-999,-999,-999,-999,-999,-999,-999,-999
2013,1.223,0.377,4.308,-999,-999,-999,-999,-999,-999,-999,-999
2014,3.765,0.442,4.267,-999,-999,-999,-999,-999,-999,-999,-999
2015,3.623,-999,-999,0.81,4.783,0.584,5.396,0.702,4.644,0.903,4.982
2016,2.665,-999,-999,0.748,4.755,0.66,5.344,0.696,4.661,0.88,5.032
2017,2.948,-999,-999,0.716,4.981,0.674,5.317,0.617,4.709,0.93,5.066
2018,2.74,-999,-999,0.756,5.094,0.723,5.258,0.676,4.848,0.989,5.064
2019,0.607,-999,-999,0.854,5.156,0.778,5.289,0.759,4.957,0.991,5.138
2020,3.173,-999,-999,0.919,5.222,0.834,5.321,0.865,5.121,1.052,5.378
2021,3.273,-999,-999,0.983,5.334,0.901,5.373,0.895,5.26,1.222,5.526
2022,2.348,-999,-999,1.024,5.408,1.017,5.628,0.898,5.359,1.337,5.669
2023,0.615,-999,-999,1.11,5.482,1.153,5.642,0.899,5.522,1.393,5.707
2024,3.348,-999,-999,1.087,5.75,1.269,5.706,0.874,5.631,1.511,5.803
2025,-999,-999,-999,1.164,5.816,1.376,5.722,0.95,5.727,1.618,5.933
2026,-999,-999,-999,1.337,5.933,1.422,5.761,1.031,5.82,1.733,6.053
2027,-999,-999,-999,1.502,6.071,1.33,5.84,1.098,5.958,1.787,6.254
2028,-999,-999,-999,1.649,6.076,1.45,5.91,1.249,5.985,1.902,6.391
2029,-999,-999,-999,1.69,6.126,1.587,6.1,1.316,6.1,1.895,6.55
2030,-999,-999,-999,1.735,6.206,1.693,6.119,1.265,6.163,2.048,6.695
2031,-999,-999,-999,1.728,6.241,1.8,6.24,1.307,6.209,2.147,6.653
2032,-999,-999,-999,1.707,6.209,1.854,6.367,1.456,6.227,2.175,6.714
2033,-999,-999,-999,1.806,6.316,1.907,6.271,1.576,6.35,2.219,6.819
2034,-999,-999,-999,1.854,6.415,1.933,6.426,1.746,6.479,2.223,6.907
2035,-999,-999,-999,1.88,6.466,1.96,6.594,1.941,6.625,2.248,7.127
2036,-999,-999,-999,1.925,6.507,1.992,6.704,2.053,6.773,2.307,7.368
2037,-999,-999,-999,1.956,6.62,2.116,6.798,2.1,6.877,2.431,7.463
2038,-999,-999,-999,1.936,6.67,2.263,6.895,2.166,6.954,2.474,7.455
2039,-999,-999,-999,1.965,6.696,2.18,6.983,2.288,7.156,2.54,7.648
2040,-999,-999,-999,2.025,6.695,2.276,6.996,2.335,7.289,2.652,7.73
2041,-999,-999,-999,2.078,6.656,2.275,7.174,2.463,7.365,2.713,7.832
2042,-999,-999,-999,2.142,6.777,2.218,7.316,2.561,7.408,2.756,8.044
2043,-999,-999,-999,2.209,6.9,2.262,7.366,2.574,7.651,2.801,8.304
2044,-999,-999,-999,2.171,6.929,2.262,7.472,2.641,7.775,2.839,8.414
2045,-999,-999,-999,2.077,7.001,2.347,7.48,2.701,7.838,2.97,8.592
2046,-999,-999,-999,2.2,6.976,2.404,7.436,2.758,7.924,3.091,8.66
2047,-999,-999,-999,2.239,7.074,2.473,7.629,2.821,8.016,3.187,8.747
2048,-999,-999,-999,2.157,7.057,2.475,7.766,2.847,8.111,3.158,9.0
2049,-999,-999,-999,2.243,7.051,2.565,7.89,3.009,8.322,3.373,9.183
2050,-999,-999,-999,2.273,7.065,2.702,8.014,3.077,8.471,3.448,9.302
2051,-999,-999,-999,2.304,7.171,2.728,8.121,3.211,8.588,3.593,9.47
2052,-999,-999,-999,2.263,7.259,2.758,8.235,3.259,8.718,3.757,9.62
2053,-999,-999,-999,2.274,7.279,2.888,8.281,3.333,8.866,3.844,9.75
2054,-999,-999,-999,2.343,7.327,2.97,8.32,3.456,8.97,3.978,9.816
2055,-999,-999,-999,2.432,7.343,3.02,8.374,3.487,9.16,4.164,10.056
2056,-999,-999,-999,2.546,7.402,2.997,8.532,3.563,9.236,4.324,10.238
2057,-999,-999,-999,2.523,7.431,3.072,8.627,3.584,9.46,4.485,10.44
2058,-999,-999,-999,2.462,7.42,3.038,8.532,3.634,9.488,4.566,10.495
