year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.947,-2.051,1.463,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.655,-1.999,1.48,-999,-999,-999,-999,-999,-999,-999,-999
1902,0.33,-1.874,1.542,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.02,-1.861,1.465,-999,-999,-999,-999,-999,-999,-999,-999
1904,0.205,-1.851,1.371,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.095,-1.895,1.399,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.57,-1.923,1.331,-999,-999,-999,-999,-999,-999,-999,-999
1907,0.405,-1.987,1.25,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.686,-2.029,1.108,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.345,-1.913,1.207,-999,-999,-999,-999,-999,-999,-999,-999
1910,1.914,-1.839,1.248,-999,-999,-999,-999,-999,-999,-999,-999
1911,0.239,-1.908,1.291,-999,-999,-999,-999,-999,-999,-999,-999
1912,-2.02,-1.908,1.354,-999,-999,-999,-999,-999,-999,-999,-999
1913,-1.795,-1.874,1.37,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.08,-1.875,1.329,-999,-999,-999,-999,-999,-999,-999,-999
1915,-1.42,-1.866,1.368,-999,-999,-999,-999,-999,-999,-999,-999
1916,0.405,-1.859,1.374,-999,-999,-999,-999,-999,-999,-999,-999
1917,-0.261,-1.886,1.436,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.52,-1.779,1.483,-999,-999,-999,-999,-999,-999,-999,-999
1919,-1.211,-1.752,1.543,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.811,-1.673,1.564,-999,-999,-999,-999,-999,-999,-999,-999
1921,1.172,-1.653,1.568,-999,-999,-999,-999,-999,-999,-999,-999
1922,0.422,-1.558,1.61,-999,-999,-999,-999,-999,-999,-999,-999
1923,-0.645,-1.571,1.555,-999,-999,-999,-999,-999,-999,-999,-999
1924,-0.52,-1.609,1.593,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.422,-1.609,1.598,-999,-999,-999,-999,-999,-999,-999,-999
1926,-0.27,-1.562,1.599,-999,-999,-999,-999,-999,-999,-999,-999
1927,1.164,-1.587,1.521,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.086,-1.56,1.534,-999,-999,-999,-999,-999,-999,-999,-999
1929,-1.086,-1.556,1.487,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.561,-1.515,1.505,-999,-999,-999,-999,-999,-999,-999,-999
1931,-0.311,-1.559,1.491,-999,-999,-999,-999,-999,-999,-999,-999
1932,-1.128,-1.534,1.495,-999,-999,-999,-999,-999,-999,-999,-999
1933,0.155,-1.53,1.528,-999,-999,-999,-999,-999,-999,-999,-999
1934,2.497,-1.504,1.566,-999,-999,-999,-999,-999,-999,-999,-999
1935,0.272,-1.502,1.566,-999,-999,-999,-999,-999,-999,-999,-999
1936,0.48,-1.535,1.673,-999,-999,-999,-999,-999,-999,-999,-999
1937,0.022,-1.525,1.715,-999,-999,-999,-999,-999,-999,-999,-999
1938,0.272,-1.441,1.782,-999,-999,-999,-999,-999,-999,-999,-999
