year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.774,-1.952,1.258,-999,-999,-999,-999,-999,-999,-999,-999
1901,-1.768,-1.833,1.327,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.468,-1.878,1.402,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.793,-1.861,1.408,-999,-999,-999,-999,-999,-999,-999,-999
1904,-2.193,-1.778,1.415,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.001,-1.719,1.492,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.057,-1.764,1.5,-999,-999,-999,-999,-999,-999,-999,-999
1907,-0.843,-1.734,1.437,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.051,-1.807,1.334,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.435,-1.771,1.315,-999,-999,-999,-999,-999,-999,-999,-999
1910,-0.96,-1.697,1.32,-999,-999,-999,-999,-999,-999,-999,-999
1911,1.124,-1.8,1.352,-999,-999,-999,-999,-999,-999,-999,-999
1912,-0.91,-1.874,1.219,-999,-999,-999,-999,-999,-999,-999,-999
1913,0.724,-1.788,1.157,-999,-999,-999,-999,-999,-999,-999,-999
1914,-0.86,-1.776,1.135,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.51,-1.802,1.183,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.118,-1.891,1.204,-999,-999,-999,-999,-999,-999,-999,-999
1917,-2.276,-1.806,1.252,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.268,-1.796,1.396,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.64,-1.762,1.51,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.193,-1.75,1.59,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.074,-1.716,1.597,-999,-999,-999,-999,-999,-999,-999,-999
1922,0.89,-1.587,1.59,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.257,-1.538,1.674,-999,-999,-999,-999,-999,-999,-999,-999
1924,-1.401,-1.543,1.763,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.899,-1.561,1.759,-999,-999,-999,-999,-999,-999,-999,-999
1926,-0.218,-1.553,1.757,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.782,-1.522,1.734,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.593,-1.588,1.75,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.11,-1.588,1.714,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.101,-1.49,1.734,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.965,-1.451,1.692,-999,-999,-999,-999,-999,-999,-999,-999
1932,1.307,-1.459,1.702,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.807,-1.493,1.73,-999,-999,-999,-999,-999,-999,-999,-999
1934,0.124,-1.493,1.748,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.018,-1.461,1.704,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.026,-1.482,1.722,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.151,-1.48,1.717,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.107,-1.447,1.671,-999,-999,-999,-999,-999,-999,-999,-999
1939,1.249,-1.429,1.639,-999,-999,-999,-999,-999,-999,-999,-999
1940,-1.518,-1.402,1.687,-999,-999,-999,-999,-999,-999,-999,-999
1941,0.44,-1.425,1.736,-999,-999,-999,-999,-999,-999,-999,-999
1942,0.315,-1.455,1.784,-999,-999,-999,-999,-999,-999,-999,-999
1943,0.015,-1.48,1.78,-999,-999,-999,-999,-999,-999,-999,-999
1944,-0.201,-1.473,1.836,-999,-999,-999,-999,-999,-999,-999,-999
1945,0.599,-1.497,1.836,-999,-999,-999,-999,-999,-999,-999,-999
1946,0.999,-1.484,1.875,-999,-999,-999,-999,-999,-999,-999,-999
1947,-0.801,-1.517,1.834,-999,-999,-999,-999,-999,-999,-999,-999
1948,0.307,-1.545,1.872,-999,-999,-999,-999,-999,-999,-999,-999
1949,1.582,-1.6,1.867,-999,-999,-999,-999,-999,-999,-999,-999
1950,0.115,-1.594,1.927,-999,-999,-999,-999,-999,-999,-999,-999
1951,0.165,-1.535,1.943,-999,-999,-999,-999,-999,-999,-999,-999
1952,0.59,-1.58,1.852,-999,-999,-999,-999,-999,-999,-999,-999
1953,1.307,-1.55,1.884,-999,-999,-999,-999,-999,-999,-999,-999
1954,0.44,-1.529,1.937,-999,-999,-999,-999,-999,-999,-999,-999
1955,-0.051,-1.516,1.915,-999,-999,-999,-999,-999,-999,-999,-999
1956,0.465,-1.523,1.891,-999,-999,-999,-999,-999,-999,-999,-999
1957,0.632,-1.65,1.871,-999,-999,-999,-999,-999,-999,-999,-999
1958,-1.893,-1.606,1.937,-999,-999,-999,-999,-999,-999,-999,-999
1959,0.44,-1.655,1.877,-999,-999,-999,-999,-999,-999,-999,-999
1960,-1.468,-1.659,1.826,-999,-999,-999,-999,-999,-999,-999,-999
1961,-0.71,-1.643,1.753,-999,-999,-999,-999,-999,-999,-999,-999
1962,-1.06,-1.743,1.631,-999,-999,-999,-999,-999,-999,-999,-999
1963,-1.96,-1.743,1.726,-999,-999,-999,-999,-999,-999,-999,-999
1964,-0.585,-1.772,1.684,-999,-999,-999,-999,-999,-999,-999,-999
1965,-0.501,-1.863,1.602,-999,-999,-999,-999,-999,-999,-999,-999
1966,-1.81,-1.894,1.516,-999,-999,-999,-999,-999,-999,-999,-999
1967,-1.51,-1.888,1.545,-999,-999,-999,-999,-999,-999,-999,-999
1968,-1.451,-1.782,1.5,-999,-999,-999,-999,-999,-999,-999,-999
1969,-1.701,-1.786,1.523,-999,-999,-999,-999,-999,-999,-999,-999
1970,-0.226,-1.774,1.511,-999,-999,-999,-999,-999,-999,-999,-999
1971,0.007,-1.757,1.567,-999,-999,-999,-999,-999,-999,-999,-999
1972,-0.618,-1.835,1.551,-999,-999,-999,-999,-999,-999,-999,-999
1973,0.29,-1.819,1.593,-999,-999,-999,-999,-999,-999,-999,-999
1974,0.349,-1.722,1.602,-999,-999,-999,-999,-999,-999,-999,-999
1975,0.674,-1.66,1.624,-999,-999,-999,-999,-999,-999,-999,-999
1976,-1.36,-1.533,1.665,-999,-999,-999,-999,-999,-999,-999,-999
1977,-0.343,-1.548,1.712,-999,-999,-999,-999,-999,-999,-999,-999
1978,-1.218,-1.57,1.67,-999,-999,-999,-999,-999,-999,-999,-999
1979,-1.043,-1.606,1.788,-999,-999,-999,-999,-999,-999,-999,-999
1980,-0.735,-1.566,1.801,-999,-999,-999,-999,-999,-999,-999,-999
1981,-1.485,-1.487,1.874,-999,-999,-999,-999,-999,-999,-999,-999
1982,-0.11,-1.445,1.942,-999,-999,-999,-999,-999,-999,-999,-999
1983,-0.81,-1.274,2.109,-999,-999,-999,-999,-999,-999,-999,-999
1984,-0.043,-1.232,2.21,-999,-999,-999,-999,-999,-999,-999,-999
1985,0.54,-1.253,2.138,-999,-999,-999,-999,-999,-999,-999,-999
