year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.005,-2.132,1.78,-999,-999,-999,-999,-999,-999,-999,-999
1901,-0.954,-1.991,1.89,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.337,-2.006,1.972,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.595,-2.044,1.959,-999,-999,-999,-999,-999,-999,-999,-999
1904,-2.52,-1.971,1.904,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.104,-1.944,2.064,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.455,-2.017,2.108,-999,-999,-999,-999,-999,-999,-999,-999
1907,-1.495,-2.021,1.988,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.888,-2.164,1.89,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.212,-2.081,1.91,-999,-999,-999,-999,-999,-999,-999,-999
1910,-0.812,-2.052,1.894,-999,-999,-999,-999,-999,-999,-999,-999
1911,1.396,-2.193,1.916,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.645,-2.371,1.74,-999,-999,-999,-999,-999,-999,-999,-999
1913,1.08,-2.371,1.716,-999,-999,-999,-999,-999,-999,-999,-999
1914,-0.52,-2.342,1.664,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.687,-2.364,1.653,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.57,-2.446,1.503,-999,-999,-999,-999,-999,-999,-999,-999
1917,-3.595,-2.346,1.463,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.02,-2.332,1.548,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.846,-2.182,1.639,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.212,-2.251,1.736,-999,-999,-999,-999,-999,-999,-999,-999
1921,3.038,-2.28,1.717,-999,-999,-999,-999,-999,-999,-999,-999
1922,1.18,-2.131,1.693,-999,-999,-999,-999,-999,-999,-999,-999
1923,-0.195,-1.997,1.807,-999,-999,-999,-999,-999,-999,-999,-999
1924,-2.37,-1.997,1.855,-999,-999,-999,-999,-999,-999,-999,-999
1925,-0.32,-2.06,1.95,-999,-999,-999,-999,-999,-999,-999,-999
1926,-1.629,-2.084,2.003,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.396,-2.053,2.038,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.545,-2.087,2.121,-999,-999,-999,-999,-999,-999,-999,-999
1929,-1.154,-2.1,2.152,-999,-999,-999,-999,-999,-999,-999,-999
1930,0.78,-2.161,2.179,-999,-999,-999,-999,-999,-999,-999,-999
1931,2.488,-2.108,2.134,-999,-999,-999,-999,-999,-999,-999,-999
1932,0.871,-2.043,2.196,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.58,-2.034,2.266,-999,-999,-999,-999,-999,-999,-999,-999
1934,0.555,-2.09,2.277,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.454,-2.049,2.295,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.137,-1.981,2.27,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.562,-2.025,2.26,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.855,-2.021,2.321,-999,-999,-999,-999,-999,-999,-999,-999
1939,1.388,-2.047,2.253,-999,-999,-999,-999,-999,-999,-999,-999
1940,-1.72,-1.998,2.241,-999,-999,-999,-999,-999,-999,-999,-999
1941,1.096,-1.938,2.21,-999,-999,-999,-999,-999,-999,-999,-999
1942,0.18,-1.932,2.284,-999,-999,-999,-999,-999,-999,-999,-999
1943,-0.704,-1.924,2.239,-999,-999,-999,-999,-999,-999,-999,-999
1944,0.563,-1.929,2.297,-999,-999,-999,-999,-999,-999,-999,-999
1945,-0.545,-1.906,2.241,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.613,-1.831,2.256,-999,-999,-999,-999,-999,-999,-999,-999
1947,-0.562,-1.867,2.192,-999,-999,-999,-999,-999,-999,-999,-999
1948,0.171,-1.877,2.236,-999,-999,-999,-999,-999,-999,-999,-999
1949,2.155,-1.872,2.14,-999,-999,-999,-999,-999,-999,-999,-999
1950,-1.07,-1.86,2.191,-999,-999,-999,-999,-999,-999,-999,-999
1951,-0.42,-1.879,2.207,-999,-999,-999,-999,-999,-999,-999,-999
1952,1.13,-1.971,2.266,-999,-999,-999,-999,-999,-999,-999,-999
1953,1.888,-1.974,2.221,-999,-999,-999,-999,-999,-999,-999,-999
1954,1.171,-2.024,2.309,-999,-999,-999,-999,-999,-999,-999,-999
1955,0.855,-2.049,2.229,-999,-999,-999,-999,-999,-999,-999,-999
1956,0.196,-2.111,2.283,-999,-999,-999,-999,-999,-999,-999,-999
1957,0.33,-2.266,2.29,-999,-999,-999,-999,-999,-999,-999,-999
1958,-2.087,-2.193,2.403,-999,-999,-999,-999,-999,-999,-999,-999
1959,0.83,-2.269,2.379,-999,-999,-999,-999,-999,-999,-999,-999
1960,-1.229,-2.336,2.318,-999,-999,-999,-999,-999,-999,-999,-999
1961,-0.412,-2.391,2.246,-999,-999,-999,-999,-999,-999,-999,-999
1962,-1.012,-2.4,2.171,-999,-999,-999,-999,-999,-999,-999,-999
1963,-1.937,-2.42,2.192,-999,-999,-999,-999,-999,-999,-999,-999
1964,0.438,-2.459,2.181,-999,-999,-999,-999,-999,-999,-999,-999
1965,-0.004,-2.516,2.109,-999,-999,-999,-999,-999,-999,-999,-999
1966,-1.304,-2.507,2.108,-999,-999,-999,-999,-999,-999,-999,-999
1967,-0.945,-2.479,2.08,-999,-999,-999,-999,-999,-999,-999,-999
1968,-0.712,-2.321,1.978,-999,-999,-999,-999,-999,-999,-999,-999
1969,-1.07,-2.414,1.931,-999,-999,-999,-999,-999,-999,-999,-999
1970,0.121,-2.294,1.905,-999,-999,-999,-999,-999,-999,-999,-999
1971,0.138,-2.317,2.024,-999,-999,-999,-999,-999,-999,-999,-999
1972,-1.079,-2.301,2.081,-999,-999,-999,-999,-999,-999,-999,-999
1973,1.73,-2.322,2.124,-999,-999,-999,-999,-999,-999,-999,-999
1974,-0.037,-2.148,2.132,-999,-999,-999,-999,-999,-999,-999,-999
1975,0.696,-2.089,2.196,-999,-999,-999,-999,-999,-999,-999,-999
1976,-1.537,-1.965,2.232,-999,-999,-999,-999,-999,-999,-999,-999
1977,-0.404,-2.0,2.234,-999,-999,-999,-999,-999,-999,-999,-999
1978,-2.129,-2.025,2.201,-999,-999,-999,-999,-999,-999,-999,-999
1979,-1.554,-2.144,2.356,-999,-999,-999,-999,-999,-999,-999,-999
1980,-1.12,-2.032,2.378,-999,-999,-999,-999,-999,-999,-999,-999
1981,-0.887,-1.948,2.431,-999,-999,-999,-999,-999,-999,-999,-999
1982,-0.112,-1.829,2.443,-999,-999,-999,-999,-999,-999,-999,-999
1983,0.613,-1.68,2.54,-999,-999,-999,-999,-999,-999,-999,-999
1984,-0.079,-1.626,2.662,-999,-999,-999,-999,-999,-999,-999,-999
1985,-0.029,-1.643,2.62,-999,-999,-999,-999,-999,-999,-999,-999
1986,1.188,-1.581,2.653,-999,-999,-999,-999,-999,-999,-999,-999
1987,1.813,-1.595,2.631,-999,-999,-999,-999,-999,-999,-999,-999
1988,-0.079,-1.534,2.652,-999,-999,-999,-999,-999,-999,-999,-999
1989,-1.012,-1.409,2.701,-999,-999,-999,-999,-999,-999,-999,-999
1990,2.221,-1.29,2.672,-999,-999,-999,-999,-999,-999,-999,-999
1991,2.68,-1.322,2.68,-999,-999,-999,-999,-999,-999,-999,-999
1992,-0.154,-1.302,2.781,-999,-999,-999,-999,-999,-999,-999,-999
1993,-0.045,-1.22,2.901,-999,-999,-999,-999,-999,-999,-999,-999
1994,0.03,-1.172,2.979,-999,-999,-999,-999,-999,-999,-999,-999
1995,-0.095,-1.065,2.943,-999,-999,-999,-999,-999,-999,-999,-999
1996,-0.904,-1.001,3.06,-999,-999,-999,-999,-999,-999,-999,-999
1997,-0.495,-0.886,3.218,-999,-999,-999,-999,-999,-999,-999,-999
1998,3.655,-0.821,3.366,-999,-999,-999,-999,-999,-999,-999,-999
1999,1.88,-0.749,3.493,-999,-999,-999,-999,-999,-999,-999,-999
2000,0.355,-0.647,3.689,-999,-999,-999,-999,-999,-999,-999,-999
2001,1.93,-0.561,3.838,-999,-999,-999,-999,-999,-999,-999,-999
2002,2.096,-0.432,4.057,-999,-999,-999,-999,-999,-999,-999,-999
2003,-0.204,-0.416,4.098,-999,-999,-999,-999,-999,-999,-999,-999
2004,0.905,-0.383,4.142,-999,-999,-999,-999,-999,-999,-999,-999
2005,1.355,-0.402,4.316,-999,-999,-999,-999,-999,-999,-999,-999
2006,2.271,-0.352,4.48,-999,-999,-999,-999,-999,-999,-999,-999
2007,1.83,-0.295,4.521,-999,-999,-999,-999,-999,-999,-999,-999
2008,0.196,-0.334,4.547,-999,-999,-999,-999,-999,-999,-999,-999
2009,0.105,-0.216,4.652,-999,-999,-999,-999,-999,-999,-999,-999
2010,1.263,-0.135,4.727,-999,-999,-999,-999,-999,-999,-999,-999
2011,1.871,-0.144,4.768,-999,-999,-999,-999,-999,-999,-999,-999
2012,3.58,-0.1,4.729,-999,-999,-999,-999,-999,-999,-999,-999
2013,0.438,-0.072,4.747,-999,-999,-999,-999,-999,-999,-999,-999
2014,-1.245,-0.055,4.905,-999,-999,-999,-999,-999,-999,-999,-999
2015,1.18,-999,-999,0.552,5.305,0.773,5.059,0.319,4.887,0.786,5.403
2016,3.138,-999,-999,0.65,5.376,0.773,5.178,0.206,4.956,0.867,5.524
2017,2.788,-999,-999,0.739,5.428,0.802,5.266,0.358,5.056,0.897,5.66
2018,1.755,-999,-999,0.783,5.444,0.918,5.381,0.383,5.121,0.87,5.733
2019,1.955,-999,-999,0.995,5.548,1.024,5.394,0.473,5.274,0.877,5.835
2020,2.588,-999,-999,0.988,5.58,1.051,5.56,0.453,5.498,0.919,5.87
2021,2.738,-999,-999,0.981,5.676,1.079,5.601,0.496,5.572,0.937,5.887
2022,1.296,-999,-999,1.099,5.811,1.277,5.737,0.543,5.655,0.954,6.045
2023,3.096,-999,-999,1.184,5.951,1.381,5.938,0.608,5.73,1.005,6.084
2024,4.48,-999,-999,1.187,6.085,1.48,5.991,0.832,5.951,1.139,6.245
2025,-999,-999,-999,1.342,6.269,1.53,6.151,0.94,6.035,1.177,6.407
