year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.468,-2.001,2.578,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.293,-1.945,2.556,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.757,-1.931,2.542,-999,-999,-999,-999,-999,-999,-999,-999
1903,-2.057,-1.992,2.466,-999,-999,-999,-999,-999,-999,-999,-999
1904,-0.166,-1.995,2.394,-999,-999,-999,-999,-999,-999,-999,-999
1905,-2.024,-1.976,2.455,-999,-999,-999,-999,-999,-999,-999,-999
1906,-1.466,-2.027,2.476,-999,-999,-999,-999,-999,-999,-999,-999
1907,0.193,-2.088,2.335,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.151,-2.175,2.165,-999,-999,-999,-999,-999,-999,-999,-999
1909,0.234,-2.155,2.108,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.868,-2.183,2.104,-999,-999,-999,-999,-999,-999,-999,-999
1911,1.584,-2.271,2.012,-999,-999,-999,-999,-999,-999,-999,-999
1912,-2.032,-2.314,2.092,-999,-999,-999,-999,-999,-999,-999,-999
1913,-0.549,-2.286,2.118,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.143,-2.266,2.105,-999,-999,-999,-999,-999,-999,-999,-999
1915,-1.299,-2.316,2.124,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.291,-2.373,2.051,-999,-999,-999,-999,-999,-999,-999,-999
1917,-1.891,-2.356,2.02,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.124,-2.304,2.121,-999,-999,-999,-999,-999,-999,-999,-999
1919,-1.107,-2.291,2.14,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.974,-2.183,2.252,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.209,-2.17,2.217,-999,-999,-999,-999,-999,-999,-999,-999
1922,0.768,-2.057,2.279,-999,-999,-999,-999,-999,-999,-999,-999
