year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.115,-2.267,1.644,-999,-999,-999,-999,-999,-999,-999,-999
1901,-0.869,-2.099,1.751,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.46,-2.063,1.806,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.544,-2.119,1.796,-999,-999,-999,-999,-999,-999,-999,-999
1904,-2.769,-2.021,1.78,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.019,-1.974,1.887,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.515,-2.006,1.898,-999,-999,-999,-999,-999,-999,-999,-999
1907,-1.952,-1.991,1.784,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.365,-2.113,1.669,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.244,-2.015,1.693,-999,-999,-999,-999,-999,-999,-999,-999
1910,-0.485,-1.951,1.742,-999,-999,-999,-999,-999,-999,-999,-999
1911,1.006,-2.098,1.796,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.152,-2.257,1.623,-999,-999,-999,-999,-999,-999,-999,-999
1913,1.506,-2.291,1.624,-999,-999,-999,-999,-999,-999,-999,-999
1914,-1.169,-2.236,1.601,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.294,-2.264,1.572,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.644,-2.348,1.436,-999,-999,-999,-999,-999,-999,-999,-999
1917,-2.927,-2.281,1.431,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.027,-2.254,1.515,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.906,-2.118,1.612,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.16,-2.167,1.693,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.523,-2.193,1.652,-999,-999,-999,-999,-999,-999,-999,-999
1922,0.823,-2.041,1.647,-999,-999,-999,-999,-999,-999,-999,-999
1923,-0.269,-1.931,1.792,-999,-999,-999,-999,-999,-999,-999,-999
1924,-2.094,-1.927,1.838,-999,-999,-999,-999,-999,-999,-999,-999
1925,-0.327,-1.959,1.886,-999,-999,-999,-999,-999,-999,-999,-999
1926,-1.96,-1.973,1.937,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.24,-1.943,1.981,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.21,-1.986,2.0,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.21,-1.974,2.055,-999,-999,-999,-999,-999,-999,-999,-999
1930,0.656,-2.056,2.105,-999,-999,-999,-999,-999,-999,-999,-999
1931,2.273,-2.002,2.106,-999,-999,-999,-999,-999,-999,-999,-999
1932,1.09,-1.957,2.147,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.14,-1.985,2.196,-999,-999,-999,-999,-999,-999,-999,-999
1934,-0.052,-2.007,2.224,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.569,-1.909,2.227,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.302,-1.885,2.184,-999,-999,-999,-999,-999,-999,-999,-999
1937,0.123,-1.917,2.165,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.24,-1.932,2.209,-999,-999,-999,-999,-999,-999,-999,-999
1939,0.981,-1.937,2.196,-999,-999,-999,-999,-999,-999,-999,-999
1940,-2.102,-1.923,2.168,-999,-999,-999,-999,-999,-999,-999,-999
1941,0.706,-1.842,2.14,-999,-999,-999,-999,-999,-999,-999,-999
1942,0.256,-1.849,2.184,-999,-999,-999,-999,-999,-999,-999,-999
1943,-0.594,-1.825,2.181,-999,-999,-999,-999,-999,-999,-999,-999
1944,0.365,-1.771,2.186,-999,-999,-999,-999,-999,-999,-999,-999
1945,0.056,-1.751,2.123,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.34,-1.72,2.095,-999,-999,-999,-999,-999,-999,-999,-999
1947,0.065,-1.767,2.068,-999,-999,-999,-999,-999,-999,-999,-999
1948,0.098,-1.807,2.105,-999,-999,-999,-999,-999,-999,-999,-999
1949,2.256,-1.783,2.048,-999,-999,-999,-999,-999,-999,-999,-999
1950,-0.685,-1.759,2.08,-999,-999,-999,-999,-999,-999,-999,-999
1951,0.231,-1.792,2.097,-999,-999,-999,-999,-999,-999,-999,-999
1952,1.015,-1.875,2.12,-999,-999,-999,-999,-999,-999,-999,-999
1953,1.99,-1.859,2.081,-999,-999,-999,-999,-999,-999,-999,-999
1954,0.698,-1.9,2.139,-999,-999,-999,-999,-999,-999,-999,-999
1955,0.706,-1.924,2.132,-999,-999,-999,-999,-999,-999,-999,-999
1956,-0.244,-2.04,2.175,-999,-999,-999,-999,-999,-999,-999,-999
1957,0.648,-2.138,2.233,-999,-999,-999,-999,-999,-999,-999,-999
1958,-1.835,-2.081,2.331,-999,-999,-999,-999,-999,-999,-999,-999
1959,1.14,-2.136,2.342,-999,-999,-999,-999,-999,-999,-999,-999
1960,-0.902,-2.194,2.281,-999,-999,-999,-999,-999,-999,-999,-999
1961,-0.169,-2.243,2.204,-999,-999,-999,-999,-999,-999,-999,-999
1962,-1.21,-2.263,2.102,-999,-999,-999,-999,-999,-999,-999,-999
1963,-1.602,-2.305,2.126,-999,-999,-999,-999,-999,-999,-999,-999
1964,-0.069,-2.372,2.103,-999,-999,-999,-999,-999,-999,-999,-999
