year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.802,-2.656,2.683,-999,-999,-999,-999,-999,-999,-999,-999
1901,1.218,-2.606,2.845,-999,-999,-999,-999,-999,-999,-999,-999
1902,-1.065,-2.534,2.9,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.665,-2.689,2.768,-999,-999,-999,-999,-999,-999,-999,-999
1904,-1.223,-2.603,2.721,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.29,-2.662,2.726,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.398,-2.775,2.78,-999,-999,-999,-999,-999,-999,-999,-999
1907,-1.557,-2.904,2.631,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.743,-3.063,2.473,-999,-999,-999,-999,-999,-999,-999,-999
1909,-1.707,-2.959,2.441,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.868,-2.97,2.564,-999,-999,-999,-999,-999,-999,-999,-999
1911,-0.298,-2.921,2.512,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.573,-2.913,2.422,-999,-999,-999,-999,-999,-999,-999,-999
1913,0.193,-2.824,2.377,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.518,-2.73,2.41,-999,-999,-999,-999,-999,-999,-999,-999
1915,-1.648,-2.768,2.356,-999,-999,-999,-999,-999,-999,-999,-999
1916,-2.823,-2.764,2.256,-999,-999,-999,-999,-999,-999,-999,-999
1917,-3.382,-2.691,2.191,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.082,-2.515,2.25,-999,-999,-999,-999,-999,-999,-999,-999
1919,-0.923,-2.406,2.316,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.598,-2.346,2.485,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.785,-2.322,2.38,-999,-999,-999,-999,-999,-999,-999,-999
1922,-0.632,-2.191,2.437,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.56,-2.211,2.45,-999,-999,-999,-999,-999,-999,-999,-999
1924,-2.173,-2.292,2.467,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.602,-2.339,2.472,-999,-999,-999,-999,-999,-999,-999,-999
1926,0.677,-2.318,2.537,-999,-999,-999,-999,-999,-999,-999,-999
1927,-1.715,-2.319,2.56,-999,-999,-999,-999,-999,-999,-999,-999
