state,scenario,period,lower,upper
Alabama,ssp126,end-year,1.6,6.6
,ssp245,end-year,3.6,8.9
,ssp585,end-year,7.3,14.3
,obs,,-2.7,2.3
Alaska,ssp126,end-year,1.8,11.4
,ssp245,end-year,5.2,15.6
,ssp585,end-year,10.6,24.0
,obs,,-4.0,6.3
Arizona,ssp126,end-year,2.1,7.0
,ssp245,end-year,4.2,10.0
,ssp585,end-year,8.3,16.6
,obs,,-2.0,3.9
Arkansas,ssp126,end-year,1.7,7.1
,ssp245,end-year,3.9,10.1
,ssp585,end-year,7.9,16.1
,obs,,-2.6,3.0
California,ssp126,end-year,1.7,6.5
,ssp245,end-year,3.6,9.2
,ssp585,end-year,7.2,14.8
,obs,,-1.7,4.4
Colorado,ssp126,end-year,1.9,7.3
,ssp245,end-year,4.4,11.2
,ssp585,end-year,8.9,18.5
,obs,,-2.6,3.9
Connecticut,ssp126,end-year,2.0,8.6
,ssp245,end-year,4.2,10.7
,ssp585,end-year,8.6,17.4
,obs,,-3.4,4.7
Delaware,ssp126,end-year,2.2,7.9
,ssp245,end-year,4.3,10.1
,ssp585,end-year,8.2,16.2
,obs,,-3.1,4.5
Florida,ssp126,end-year,1.6,5.5
,ssp245,end-year,3.1,7.4
,ssp585,end-year,6.3,12.0
,obs,,-2.0,3.4
Georgia,ssp126,end-year,1.6,6.4
,ssp245,end-year,3.4,8.6
,ssp585,end-year,7.2,13.8
,obs,,-2.1,2.7
Idaho,ssp126,end-year,1.9,7.9
,ssp245,end-year,4.4,11.3
,ssp585,end-year,8.5,17.8
,obs,,-2.8,4.5
Illinois,ssp126,end-year,2.2,8.6
,ssp245,end-year,4.8,11.1
,ssp585,end-year,8.8,18.3
,obs,,-3.3,4.1
Indiana,ssp126,end-year,2.2,8.3
,ssp245,end-year,4.5,10.7
,ssp585,end-year,8.6,17.5
,obs,,-3.3,3.8
Iowa,ssp126,end-year,2.1,9.2
,ssp245,end-year,4.8,11.7
,ssp585,end-year,9.2,19.8
,obs,,-3.6,4.5
Kansas,ssp126,end-year,1.6,8.1
,ssp245,end-year,3.9,11.2
,ssp585,end-year,8.3,18.0
,obs,,-2.5,4.1
Kentucky,ssp126,end-year,2.0,7.6
,ssp245,end-year,4.0,10.0
,ssp585,end-year,7.9,16.3
,obs,,-3.2,3.1
Louisiana,ssp126,end-year,1.6,6.3
,ssp245,end-year,3.5,8.7
,ssp585,end-year,7.0,14.0
,obs,,-2.3,3.0
Maine,ssp126,end-year,2.7,9.5
,ssp245,end-year,4.8,11.7
,ssp585,end-year,9.7,19.5
,obs,,-3.3,5.2
Maryland,ssp126,end-year,2.2,7.8
,ssp245,end-year,4.3,10.0
,ssp585,end-year,8.1,15.9
,obs,,-3.1,3.9
Massachusetts,ssp126,end-year,1.8,8.1
,ssp245,end-year,3.7,10.2
,ssp585,end-year,8.4,16.5
,obs,,-3.4,4.7
Michigan,ssp126,end-year,2.8,9.9
,ssp245,end-year,5.0,12.0
,ssp585,end-year,9.8,19.7
,obs,,-4.3,5.5
Minnesota,ssp126,end-year,1.9,10.0
,ssp245,end-year,5.3,12.7
,ssp585,end-year,9.9,21.3
,obs,,-4.1,5.7
Mississippi,ssp126,end-year,1.5,6.7
,ssp245,end-year,3.7,9.2
,ssp585,end-year,7.3,14.7
,obs,,-2.5,2.8
Missouri,ssp126,end-year,1.9,8.2
,ssp245,end-year,4.2,11.0
,ssp585,end-year,8.4,17.7
,obs,,-2.8,4.0
Montana,ssp126,end-year,1.3,8.3
,ssp245,end-year,4.2,11.3
,ssp585,end-year,8.7,18.0
,obs,,-3.7,4.0
Nebraska,ssp126,end-year,1.8,8.2
,ssp245,end-year,4.3,11.4
,ssp585,end-year,8.7,18.8
,obs,,-2.8,4.4
Nevada,ssp126,end-year,1.8,7.6
,ssp245,end-year,4.3,10.7
,ssp585,end-year,8.4,17.3
,obs,,-2.0,3.8
New Hampshire,ssp126,end-year,2.6,9.1
,ssp245,end-year,4.7,11.1
,ssp585,end-year,9.2,18.4
,obs,,-3.3,4.9
New Jersey,ssp126,end-year,2.0,8.5
,ssp245,end-year,4.4,10.4
,ssp585,end-year,8.6,16.8
,obs,,-3.3,4.7
New Mexico,ssp126,end-year,2.1,6.8
,ssp245,end-year,4.3,10.1
,ssp585,end-year,8.4,17.5
,obs,,-2.0,3.6
New York,ssp126,end-year,2.7,9.4
,ssp245,end-year,5.0,11.5
,ssp585,end-year,9.5,18.7
,obs,,-3.3,4.5
North Carolina,ssp126,end-year,1.9,6.9
,ssp245,end-year,3.7,8.9
,ssp585,end-year,7.2,14.4
,obs,,-2.3,2.7
North Dakota,ssp126,end-year,1.4,9.7
,ssp245,end-year,4.9,12.5
,ssp585,end-year,9.5,20.6
,obs,,-4.5,5.7
Ohio,ssp126,end-year,2.4,8.5
,ssp245,end-year,4.6,10.7
,ssp585,end-year,8.7,17.4
,obs,,-3.6,4.5
Oklahoma,ssp126,end-year,1.6,7.8
,ssp245,end-year,3.8,10.5
,ssp585,end-year,7.8,16.9
,obs,,-2.5,3.3
Oregon,ssp126,end-year,1.5,7.2
,ssp245,end-year,3.8,9.8
,ssp585,end-year,7.5,15.9
