year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,0.11,-1.847,1.634,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.352,-1.801,1.671,-999,-999,-999,-999,-999,-999,-999,-999
1902,0.668,-1.719,1.714,-999,-999,-999,-999,-999,-999,-999,-999
1903,-2.023,-1.811,1.644,-999,-999,-999,-999,-999,-999,-999,-999
1904,0.052,-1.809,1.61,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.498,-1.775,1.671,-999,-999,-999,-999,-999,-999,-999,-999
1906,-1.09,-1.778,1.678,-999,-999,-999,-999,-999,-999,-999,-999
1907,0.935,-1.828,1.633,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.31,-1.889,1.5,-999,-999,-999,-999,-999,-999,-999,-999
1909,0.702,-1.83,1.549,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.718,-1.805,1.57,-999,-999,-999,-999,-999,-999,-999,-999
1911,1.077,-1.884,1.523,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.548,-1.893,1.544,-999,-999,-999,-999,-999,-999,-999,-999
1913,-1.448,-1.894,1.574,-999,-999,-999,-999,-999,-999,-999,-999
1914,-1.023,-1.844,1.514,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.898,-1.841,1.537,-999,-999,-999,-999,-999,-999,-999,-999
1916,0.602,-1.856,1.501,-999,-999,-999,-999,-999,-999,-999,-999
1917,-0.365,-1.875,1.482,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.215,-1.787,1.579,-999,-999,-999,-999,-999,-999,-999,-999
1919,-1.365,-1.819,1.612,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.923,-1.735,1.625,-999,-999,-999,-999,-999,-999,-999,-999
1921,1.768,-1.735,1.612,-999,-999,-999,-999,-999,-999,-999,-999
1922,0.652,-1.651,1.66,-999,-999,-999,-999,-999,-999,-999,-999
1923,-0.24,-1.72,1.602,-999,-999,-999,-999,-999,-999,-999,-999
1924,-1.09,-1.776,1.637,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.843,-1.78,1.709,-999,-999,-999,-999,-999,-999,-999,-999
1926,-0.707,-1.772,1.769,-999,-999,-999,-999,-999,-999,-999,-999
1927,1.693,-1.782,1.723,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.157,-1.727,1.801,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.723,-1.795,1.716,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.507,-1.73,1.725,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.035,-1.773,1.691,-999,-999,-999,-999,-999,-999,-999,-999
1932,-0.798,-1.72,1.751,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.893,-1.723,1.797,-999,-999,-999,-999,-999,-999,-999,-999
1934,1.835,-1.631,1.842,-999,-999,-999,-999,-999,-999,-999,-999
1935,0.302,-1.558,1.825,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.557,-1.551,1.843,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.173,-1.563,1.767,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.21,-1.532,1.756,-999,-999,-999,-999,-999,-999,-999,-999
1939,1.018,-1.601,1.642,-999,-999,-999,-999,-999,-999,-999,-999
1940,-1.165,-1.59,1.686,-999,-999,-999,-999,-999,-999,-999,-999
1941,-0.573,-1.612,1.694,-999,-999,-999,-999,-999,-999,-999,-999
1942,-0.74,-1.644,1.763,-999,-999,-999,-999,-999,-999,-999,-999
1943,-0.015,-1.744,1.776,-999,-999,-999,-999,-999,-999,-999,-999
1944,-0.273,-1.783,1.775,-999,-999,-999,-999,-999,-999,-999,-999
1945,0.385,-1.814,1.804,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.002,-1.809,1.83,-999,-999,-999,-999,-999,-999,-999,-999
1947,-0.648,-1.852,1.724,-999,-999,-999,-999,-999,-999,-999,-999
1948,-0.04,-1.882,1.828,-999,-999,-999,-999,-999,-999,-999,-999
1949,-0.448,-1.936,1.84,-999,-999,-999,-999,-999,-999,-999,-999
1950,0.685,-1.916,1.913,-999,-999,-999,-999,-999,-999,-999,-999
1951,0.585,-1.881,1.977,-999,-999,-999,-999,-999,-999,-999,-999
1952,0.302,-1.932,2.001,-999,-999,-999,-999,-999,-999,-999,-999
1953,1.118,-1.83,2.143,-999,-999,-999,-999,-999,-999,-999,-999
1954,1.927,-1.757,2.144,-999,-999,-999,-999,-999,-999,-999,-999
1955,0.535,-1.71,2.191,-999,-999,-999,-999,-999,-999,-999,-999
1956,1.277,-1.679,2.153,-999,-999,-999,-999,-999,-999,-999,-999
1957,-0.073,-1.77,2.126,-999,-999,-999,-999,-999,-999,-999,-999
1958,-1.257,-1.738,2.2,-999,-999,-999,-999,-999,-999,-999,-999
1959,-0.982,-1.786,2.111,-999,-999,-999,-999,-999,-999,-999,-999
1960,-1.023,-1.851,2.032,-999,-999,-999,-999,-999,-999,-999,-999
1961,-1.24,-1.836,1.955,-999,-999,-999,-999,-999,-999,-999,-999
