year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,-0.01,-2.354,1.602,-999,-999,-999,-999,-999,-999,-999,-999
1901,-0.326,-2.19,1.647,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.468,-2.108,1.756,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.401,-2.151,1.746,-999,-999,-999,-999,-999,-999,-999,-999
1904,-3.468,-2.056,1.787,-999,-999,-999,-999,-999,-999,-999,-999
1905,-1.651,-1.996,1.871,-999,-999,-999,-999,-999,-999,-999,-999
1906,-0.393,-2.071,1.84,-999,-999,-999,-999,-999,-999,-999,-999
1907,-2.293,-2.081,1.792,-999,-999,-999,-999,-999,-999,-999,-999
1908,0.224,-2.138,1.654,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.626,-2.056,1.71,-999,-999,-999,-999,-999,-999,-999,-999
1910,-0.143,-2.04,1.697,-999,-999,-999,-999,-999,-999,-999,-999
1911,-0.051,-2.159,1.765,-999,-999,-999,-999,-999,-999,-999,-999
1912,-1.51,-2.318,1.696,-999,-999,-999,-999,-999,-999,-999,-999
1913,1.649,-2.33,1.704,-999,-999,-999,-999,-999,-999,-999,-999
1914,-1.793,-2.323,1.753,-999,-999,-999,-999,-999,-999,-999,-999
1915,0.915,-2.357,1.74,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.71,-2.415,1.657,-999,-999,-999,-999,-999,-999,-999,-999
1917,-3.176,-2.319,1.716,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.86,-2.24,1.817,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.474,-2.121,1.921,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.551,-2.078,1.974,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.09,-2.032,2.009,-999,-999,-999,-999,-999,-999,-999,-999
1922,0.232,-1.884,1.982,-999,-999,-999,-999,-999,-999,-999,-999
1923,-1.385,-1.811,2.039,-999,-999,-999,-999,-999,-999,-999,-999
1924,-1.351,-1.804,2.066,-999,-999,-999,-999,-999,-999,-999,-999
1925,-0.393,-1.817,1.983,-999,-999,-999,-999,-999,-999,-999,-999
1926,-2.91,-1.775,2.035,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.44,-1.786,2.106,-999,-999,-999,-999,-999,-999,-999,-999
1928,0.182,-1.808,2.087,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.168,-1.844,2.104,-999,-999,-999,-999,-999,-999,-999,-999
1930,1.099,-1.911,2.109,-999,-999,-999,-999,-999,-999,-999,-999
1931,2.057,-1.935,2.143,-999,-999,-999,-999,-999,-999,-999,-999
1932,1.165,-1.932,2.128,-999,-999,-999,-999,-999,-999,-999,-999
1933,0.59,-1.988,2.167,-999,-999,-999,-999,-999,-999,-999,-999
1934,-0.91,-2.052,2.18,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.818,-2.014,2.212,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.226,-1.961,2.207,-999,-999,-999,-999,-999,-999,-999,-999
1937,1.44,-2.01,2.189,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.44,-1.97,2.155,-999,-999,-999,-999,-999,-999,-999,-999
1939,-0.576,-1.967,2.177,-999,-999,-999,-999,-999,-999,-999,-999
1940,-1.826,-1.931,2.144,-999,-999,-999,-999,-999,-999,-999,-999
1941,0.465,-1.914,2.186,-999,-999,-999,-999,-999,-999,-999,-999
1942,0.89,-1.89,2.224,-999,-999,-999,-999,-999,-999,-999,-999
1943,-1.41,-1.863,2.274,-999,-999,-999,-999,-999,-999,-999,-999
1944,0.024,-1.795,2.259,-999,-999,-999,-999,-999,-999,-999,-999
1945,0.665,-1.722,2.265,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.249,-1.674,2.218,-999,-999,-999,-999,-999,-999,-999,-999
1947,0.64,-1.678,2.218,-999,-999,-999,-999,-999,-999,-999,-999
1948,0.249,-1.695,2.224,-999,-999,-999,-999,-999,-999,-999,-999
1949,2.982,-1.707,2.207,-999,-999,-999,-999,-999,-999,-999,-999
1950,0.524,-1.712,2.144,-999,-999,-999,-999,-999,-999,-999,-999
1951,1.057,-1.7,2.13,-999,-999,-999,-999,-999,-999,-999,-999
1952,1.64,-1.763,2.078,-999,-999,-999,-999,-999,-999,-999,-999
1953,3.332,-1.75,2.045,-999,-999,-999,-999,-999,-999,-999,-999
1954,0.524,-1.79,2.06,-999,-999,-999,-999,-999,-999,-999,-999
1955,0.774,-1.879,2.1,-999,-999,-999,-999,-999,-999,-999,-999
1956,-0.51,-1.901,2.094,-999,-999,-999,-999,-999,-999,-999,-999
1957,1.257,-1.995,2.176,-999,-999,-999,-999,-999,-999,-999,-999
1958,-0.96,-2.009,2.218,-999,-999,-999,-999,-999,-999,-999,-999
1959,1.057,-2.048,2.321,-999,-999,-999,-999,-999,-999,-999,-999
1960,0.549,-2.177,2.312,-999,-999,-999,-999,-999,-999,-999,-999
1961,0.649,-2.225,2.331,-999,-999,-999,-999,-999,-999,-999,-999
1962,-0.968,-2.317,2.365,-999,-999,-999,-999,-999,-999,-999,-999
1963,-0.66,-2.327,2.404,-999,-999,-999,-999,-999,-999,-999,-999
1964,0.44,-2.39,2.37,-999,-999,-999,-999,-999,-999,-999,-999
1965,-0.593,-2.438,2.381,-999,-999,-999,-999,-999,-999,-999,-999
1966,0.174,-2.459,2.405,-999,-999,-999,-999,-999,-999,-999,-999
1967,-0.393,-2.454,2.444,-999,-999,-999,-999,-999,-999,-999,-999
1968,-0.335,-2.401,2.403,-999,-999,-999,-999,-999,-999,-999,-999
1969,0.432,-2.407,2.38,-999,-999,-999,-999,-999,-999,-999,-999
1970,-0.076,-2.466,2.308,-999,-999,-999,-999,-999,-999,-999,-999
1971,-0.076,-2.403,2.306,-999,-999,-999,-999,-999,-999,-999,-999
1972,-1.06,-2.34,2.285,-999,-999,-999,-999,-999,-999,-999,-999
1973,2.324,-2.209,2.291,-999,-999,-999,-999,-999,-999,-999,-999
1974,0.082,-2.082,2.348,-999,-999,-999,-999,-999,-999,-999,-999
1975,1.357,-1.971,2.4,-999,-999,-999,-999,-999,-999,-999,-999
1976,-0.635,-1.908,2.433,-999,-999,-999,-999,-999,-999,-999,-999
1977,0.757,-1.894,2.35,-999,-999,-999,-999,-999,-999,-999,-999
1978,-1.101,-1.917,2.273,-999,-999,-999,-999,-999,-999,-999,-999
1979,1.307,-2.019,2.346,-999,-999,-999,-999,-999,-999,-999,-999
1980,-0.535,-1.971,2.343,-999,-999,-999,-999,-999,-999,-999,-999
1981,1.115,-1.851,2.355,-999,-999,-999,-999,-999,-999,-999,-999
1982,0.19,-1.754,2.462,-999,-999,-999,-999,-999,-999,-999,-999
1983,1.507,-1.626,2.601,-999,-999,-999,-999,-999,-999,-999,-999
1984,1.424,-1.664,2.683,-999,-999,-999,-999,-999,-999,-999,-999
1985,0.374,-1.703,2.694,-999,-999,-999,-999,-999,-999,-999,-999
1986,0.724,-1.736,2.841,-999,-999,-999,-999,-999,-999,-999,-999
1987,1.074,-1.751,2.81,-999,-999,-999,-999,-999,-999,-999,-999
1988,0.64,-1.746,2.835,-999,-999,-999,-999,-999,-999,-999,-999
1989,-0.376,-1.659,2.947,-999,-999,-999,-999,-999,-999,-999,-999
1990,2.94,-1.46,2.915,-999,-999,-999,-999,-999,-999,-999,-999
1991,2.415,-1.435,2.996,-999,-999,-999,-999,-999,-999,-999,-999
1992,-0.485,-1.322,3.098,-999,-999,-999,-999,-999,-999,-999,-999
1993,0.065,-1.252,3.189,-999,-999,-999,-999,-999,-999,-999,-999
1994,0.215,-1.273,3.284,-999,-999,-999,-999,-999,-999,-999,-999
1995,1.215,-1.14,3.287,-999,-999,-999,-999,-999,-999,-999,-999
1996,0.882,-1.058,3.363,-999,-999,-999,-999,-999,-999,-999,-999
1997,-0.043,-0.873,3.352,-999,-999,-999,-999,-999,-999,-999,-999
1998,4.065,-0.746,3.495,-999,-999,-999,-999,-999,-999,-999,-999
1999,3.165,-0.55,3.617,-999,-999,-999,-999,-999,-999,-999,-999
2000,0.715,-0.43,3.71,-999,-999,-999,-999,-999,-999,-999,-999
2001,2.674,-0.377,3.869,-999,-999,-999,-999,-999,-999,-999,-999
2002,2.457,-0.292,4.108,-999,-999,-999,-999,-999,-999,-999,-999
2003,0.374,-0.176,4.166,-999,-999,-999,-999,-999,-999,-999,-999
2004,0.732,-0.128,4.208,-999,-999,-999,-999,-999,-999,-999,-999
2005,2.307,-0.07,4.279,-999,-999,-999,-999,-999,-999,-999,-999
2006,3.949,0.01,4.401,-999,-999,-999,-999,-999,-999,-999,-999
2007,1.065,0.036,4.458,-999,-999,-999,-999,-999,-999,-999,-999
2008,1.94,0.036,4.606,-999,-999,-999,-999,-999,-999,-999,-999
2009,1.174,0.096,4.645,-999,-999,-999,-999,-999,-999,-999,-999
2010,3.765,0.095,4.733,-999,-999,-999,-999,-999,-999,-999,-999
2011,3.19,0.128,4.872,-999,-999,-999,-999,-999,-999,-999,-999
2012,4.74,0.109,4.859,-999,-999,-999,-999,-999,-999,-999,-999
2013,2.124,0.213,4.785,-999,-999,-999,-999,-999,-999,-999,-999
2014,0.84,0.134,4.814,-999,-999,-999,-999,-999,-999,-999,-999
2015,1.524,-999,-999,0.789,5.63,0.912,5.401,0.521,5.369,0.907,5.431
2016,3.54,-999,-999,0.915,5.556,0.895,5.5,0.517,5.448,0.967,5.503
2017,2.69,-999,-999,1.024,5.647,0.98,5.626,0.645,5.583,1.051,5.734
2018,2.107,-999,-999,1.067,5.654,1.066,5.76,0.729,5.546,1.04,5.857
2019,0.765,-999,-999,1.262,5.817,1.091,5.863,0.819,5.664,1.095,5.947
2020,3.715,-999,-999,1.246,5.91,1.072,5.924,0.915,5.789,1.119,6.048
2021,3.84,-999,-999,1.319,5.994,1.139,6.013,1.013,5.89,1.161,6.153
2022,3.099,-999,-999,1.519,6.195,1.21,6.174,1.058,6.012,1.243,6.32
2023,4.674,-999,-999,1.555,6.372,1.336,6.366,1.209,6.024,1.34,6.386
2024,5.14,-999,-999,1.551,6.51,1.445,6.576,1.342,6.302,1.435,6.669
2025,-999,-999,-999,1.714,6.587,1.528,6.739,1.475,6.375,1.537,6.741
2026,-999,-999,-999,1.825,6.647,1.539,6.744,1.528,6.541,1.587,6.766
2027,-999,-999,-999,1.775,6.786,1.666,6.769,1.588,6.707,1.645,6.757
2028,-999,-999,-999,1.796,6.797,1.722,6.896,1.624,6.879,1.765,6.797
2029,-999,-999,-999,1.882,6.979,1.785,6.901,1.774,6.982,1.902,6.858
2030,-999,-999,-999,1.845,6.977,1.824,6.971,1.816,7.08,1.994,7.04
2031,-999,-999,-999,1.932,7.012,1.971,7.186,1.939,7.331,2.122,7.116
2032,-999,-999,-999,1.947,7.097,1.984,7.351,2.0,7.527,2.281,7.324
2033,-999,-999,-999,1.988,7.123,2.016,7.376,2.148,7.626,2.375,7.453
2034,-999,-999,-999,2.094,7.221,1.991,7.41,2.255,7.722,2.504,7.673
2035,-999,-999,-999,2.149,7.263,2.093,7.452,2.388,7.721,2.642,7.791
2036,-999,-999,-999,2.146,7.45,2.151,7.456,2.389,7.961,2.705,8.05
2037,-999,-999,-999,2.174,7.466,2.367,7.535,2.482,8.06,2.772,8.308
2038,-999,-999,-999,2.299,7.605,2.381,7.655,2.621,8.045,2.786,8.561
2039,-999,-999,-999,2.27,7.726,2.499,7.663,2.738,8.059,2.856,8.721
2040,-999,-999,-999,2.265,7.697,2.56,7.78,2.75,8.155,2.972,8.884
2041,-999,-999,-999,2.373,7.884,2.649,7.984,2.859,8.25,3.169,8.976
2042,-999,-999,-999,2.408,7.951,2.678,8.096,2.712,8.153,3.216,9.144
2043,-999,-999,-999,2.463,8.0,2.812,8.109,2.877,8.297,3.316,9.16
2044,-999,-999,-999,2.333,8.141,2.906,8.181,2.877,8.512,3.464,9.316
2045,-999,-999,-999,2.212,8.133,3.001,8.219,2.911,8.625,3.521,9.539
2046,-999,-999,-999,2.278,8.195,3.063,8.341,2.944,8.726,3.615,9.668
2047,-999,-999,-999,2.253,8.16,2.989,8.491,3.101,8.885,3.79,9.732
2048,-999,-999,-999,2.257,8.291,2.973,8.57,3.159,9.223,3.973,9.801
2049,-999,-999,-999,2.206,8.302,3.068,8.731,3.19,9.452,4.141,9.902
2050,-999,-999,-999,2.213,8.386,3.013,8.888,3.232,9.612,4.214,10.08
2051,-999,-999,-999,2.214,8.458,3.024,9.057,3.374,9.793,4.311,10.227
2052,-999,-999,-999,2.109,8.335,2.978,9.141,3.422,9.958,4.362,10.52
2053,-999,-999,-999,2.165,8.404,3.016,9.149,3.727,10.152,4.54,10.817
2054,-999,-999,-999,2.135,8.473,2.98,9.276,3.721,10.153,4.591,11.029
2055,-999,-999,-999,2.25,8.493,3.08,9.342,3.827,10.263,4.702,11.236
2056,-999,-999,-999,2.385,8.534,3.131,9.421,3.969,10.474,4.848,11.372
2057,-999,-999,-999,2.376,8.55,3.109,9.554,4.022,10.569,4.98,11.519
2058,-999,-999,-999,2.486,8.666,3.308,9.575,4.039,10.668,5.09,11.686
2059,-999,-999,-999,2.569,8.636,3.386,9.689,4.21,10.573,5.16,11.894
2060,-999,-999,-999,2.6,8.676,3.376,9.721,4.26,10.596,5.298,12.151
2061,-999,-999,-999,2.584,8.682,3.496,9.759,4.331,10.759,5.492,12.18
2062,-999,-999,-999,2.698,8.717,3.587,9.748,4.449,10.88,5.708,12.29
2063,-999,-999,-999,2.834,8.913,3.685,9.745,4.61,11.016,5.818,12.333
2064,-999,-999,-999,2.633,8.919,3.651,9.757,4.698,11.142,5.904,12.387
2065,-999,-999,-999,2.706,8.907,3.711,9.946,4.835,11.355,6.056,12.644
2066,-999,-999,-999,2.689,8.835,3.676,10.06,4.87,11.412,6.188,12.757
2067,-999,-999,-999,2.745,8.817,3.735,10.245,5.044,11.584,6.384,12.885
2068,-999,-999,-999,2.785,8.889,3.829,10.307,5.125,11.79,6.544,13.107
2069,-999,-999,-999,2.744,8.972,3.846,10.38,5.258,11.933,6.657,13.364
2070,-999,-999,-999,2.752,9.059,3.824,10.496,5.394,12.047,6.743,13.566
2071,-999,-999,-999,2.754,9.142,3.979,10.526,5.572,12.226,6.84,13.682
