year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.212,-2.083,1.444,-999,-999,-999,-999,-999,-999,-999,-999
1901,-1.471,-1.972,1.505,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.446,-2.007,1.579,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.846,-2.013,1.588,-999,-999,-999,-999,-999,-999,-999,-999
1904,-2.296,-1.95,1.599,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.871,-1.879,1.705,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.279,-1.911,1.734,-999,-999,-999,-999,-999,-999,-999,-999
1907,-1.196,-1.882,1.653,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.113,-1.988,1.559,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.163,-1.927,1.563,-999,-999,-999,-999,-999,-999,-999,-999
1910,-0.796,-1.84,1.58,-999,-999,-999,-999,-999,-999,-999,-999
1911,0.962,-1.989,1.616,-999,-999,-999,-999,-999,-999,-999,-999
1912,-0.98,-2.068,1.49,-999,-999,-999,-999,-999,-999,-999,-999
1913,1.154,-2.011,1.448,-999,-999,-999,-999,-999,-999,-999,-999
1914,-0.863,-1.998,1.409,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.563,-2.004,1.395,-999,-999,-999,-999,-999,-999,-999,-999
1916,-0.405,-2.109,1.344,-999,-999,-999,-999,-999,-999,-999,-999
1917,-2.638,-2.034,1.371,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.596,-2.039,1.47,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.529,-1.955,1.555,-999,-999,-999,-999,-999,-999,-999,-999
1920,-1.413,-1.965,1.643,-999,-999,-999,-999,-999,-999,-999,-999
1921,2.229,-1.995,1.636,-999,-999,-999,-999,-999,-999,-999,-999
1922,0.695,-1.829,1.626,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.079,-1.774,1.73,-999,-999,-999,-999,-999,-999,-999,-999
1924,-1.738,-1.742,1.82,-999,-999,-999,-999,-999,-999,-999,-999
1925,0.379,-1.753,1.844,-999,-999,-999,-999,-999,-999,-999,-999
1926,-0.888,-1.761,1.875,-999,-999,-999,-999,-999,-999,-999,-999
1927,0.312,-1.7,1.882,-999,-999,-999,-999,-999,-999,-999,-999
1928,-0.621,-1.735,1.904,-999,-999,-999,-999,-999,-999,-999,-999
1929,-0.171,-1.727,1.909,-999,-999,-999,-999,-999,-999,-999,-999
1930,0.42,-1.696,1.957,-999,-999,-999,-999,-999,-999,-999,-999
1931,1.504,-1.669,1.902,-999,-999,-999,-999,-999,-999,-999,-999
1932,1.154,-1.656,1.907,-999,-999,-999,-999,-999,-999,-999,-999
1933,1.429,-1.71,1.928,-999,-999,-999,-999,-999,-999,-999,-999
1934,0.045,-1.724,1.946,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.438,-1.703,1.88,-999,-999,-999,-999,-999,-999,-999,-999
1936,-0.021,-1.706,1.848,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.296,-1.7,1.842,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.054,-1.717,1.834,-999,-999,-999,-999,-999,-999,-999,-999
1939,1.145,-1.739,1.802,-999,-999,-999,-999,-999,-999,-999,-999
1940,-1.83,-1.696,1.858,-999,-999,-999,-999,-999,-999,-999,-999
1941,0.687,-1.673,1.843,-999,-999,-999,-999,-999,-999,-999,-999
1942,0.32,-1.675,1.898,-999,-999,-999,-999,-999,-999,-999,-999
1943,0.254,-1.649,1.89,-999,-999,-999,-999,-999,-999,-999,-999
1944,0.112,-1.594,1.945,-999,-999,-999,-999,-999,-999,-999,-999
1945,0.612,-1.574,1.907,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.237,-1.559,1.93,-999,-999,-999,-999,-999,-999,-999,-999
1947,-0.505,-1.595,1.919,-999,-999,-999,-999,-999,-999,-999,-999
