year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.107,-2.443,1.727,-999,-999,-999,-999,-999,-999,-999,-999
1901,-0.06,-2.452,1.661,-999,-999,-999,-999,-999,-999,-999,-999
1902,-0.61,-2.522,1.654,-999,-999,-999,-999,-999,-999,-999,-999
1903,-0.985,-2.582,1.659,-999,-999,-999,-999,-999,-999,-999,-999
1904,0.723,-2.629,1.689,-999,-999,-999,-999,-999,-999,-999,-999
1905,0.007,-2.601,1.597,-999,-999,-999,-999,-999,-999,-999,-999
1906,1.007,-2.513,1.548,-999,-999,-999,-999,-999,-999,-999,-999
1907,-0.652,-2.597,1.61,-999,-999,-999,-999,-999,-999,-999,-999
1908,-0.01,-2.609,1.622,-999,-999,-999,-999,-999,-999,-999,-999
1909,-1.602,-2.527,1.63,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.123,-2.529,1.657,-999,-999,-999,-999,-999,-999,-999,-999
1911,-1.227,-2.51,1.783,-999,-999,-999,-999,-999,-999,-999,-999
1912,-0.36,-2.398,1.841,-999,-999,-999,-999,-999,-999,-999,-999
1913,-1.227,-2.209,1.944,-999,-999,-999,-999,-999,-999,-999,-999
1914,0.648,-2.166,2.051,-999,-999,-999,-999,-999,-999,-999,-999
1915,1.015,-2.132,2.101,-999,-999,-999,-999,-999,-999,-999,-999
1916,-2.918,-2.123,2.12,-999,-999,-999,-999,-999,-999,-999,-999
1917,-0.435,-2.062,2.081,-999,-999,-999,-999,-999,-999,-999,-999
1918,0.915,-2.049,2.052,-999,-999,-999,-999,-999,-999,-999,-999
1919,-1.118,-2.103,2.062,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.443,-2.088,2.127,-999,-999,-999,-999,-999,-999,-999,-999
1921,-0.418,-2.043,2.057,-999,-999,-999,-999,-999,-999,-999,-999
1922,-1.677,-1.966,2.027,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.457,-2.025,2.049,-999,-999,-999,-999,-999,-999,-999,-999
1924,0.057,-2.006,2.011,-999,-999,-999,-999,-999,-999,-999,-999
1925,1.857,-1.933,1.916,-999,-999,-999,-999,-999,-999,-999,-999
1926,1.965,-1.976,1.908,-999,-999,-999,-999,-999,-999,-999,-999
1927,-0.752,-1.929,1.9,-999,-999,-999,-999,-999,-999,-999,-999
1928,0.532,-1.947,1.911,-999,-999,-999,-999,-999,-999,-999,-999
1929,-1.477,-1.874,1.921,-999,-999,-999,-999,-999,-999,-999,-999
1930,-0.718,-1.759,1.883,-999,-999,-999,-999,-999,-999,-999,-999
1931,0.607,-1.754,1.899,-999,-999,-999,-999,-999,-999,-999,-999
1932,-0.418,-1.709,1.91,-999,-999,-999,-999,-999,-999,-999,-999
1933,-0.468,-1.755,1.888,-999,-999,-999,-999,-999,-999,-999,-999
1934,3.207,-1.782,1.856,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.452,-1.847,1.879,-999,-999,-999,-999,-999,-999,-999,-999
