year,obs,historical_lower,historical_upper,ssp126_lower,ssp126_upper,ssp245_lower,ssp245_upper,ssp370_lower,ssp370_upper,ssp585_lower,ssp585_upper
1900,1.217,-2.448,2.244,-999,-999,-999,-999,-999,-999,-999,-999
1901,0.159,-2.253,2.324,-999,-999,-999,-999,-999,-999,-999,-999
1902,0.4,-2.205,2.37,-999,-999,-999,-999,-999,-999,-999,-999
1903,-1.058,-2.298,2.313,-999,-999,-999,-999,-999,-999,-999,-999
1904,-2.608,-2.241,2.288,-999,-999,-999,-999,-999,-999,-999,-999
1905,-0.983,-2.301,2.367,-999,-999,-999,-999,-999,-999,-999,-999
1906,0.425,-2.33,2.407,-999,-999,-999,-999,-999,-999,-999,-999
1907,-1.575,-2.472,2.335,-999,-999,-999,-999,-999,-999,-999,-999
1908,1.417,-2.679,2.184,-999,-999,-999,-999,-999,-999,-999,-999
1909,-0.391,-2.583,2.067,-999,-999,-999,-999,-999,-999,-999,-999
1910,0.65,-2.535,2.069,-999,-999,-999,-999,-999,-999,-999,-999
1911,0.959,-2.59,2.046,-999,-999,-999,-999,-999,-999,-999,-999
1912,-2.208,-2.642,1.946,-999,-999,-999,-999,-999,-999,-999,-999
1913,0.642,-2.629,1.839,-999,-999,-999,-999,-999,-999,-999,-999
1914,-0.025,-2.644,1.865,-999,-999,-999,-999,-999,-999,-999,-999
1915,-0.141,-2.7,1.91,-999,-999,-999,-999,-999,-999,-999,-999
1916,-1.458,-2.706,1.776,-999,-999,-999,-999,-999,-999,-999,-999
1917,-4.241,-2.771,1.732,-999,-999,-999,-999,-999,-999,-999,-999
1918,-0.033,-2.628,1.77,-999,-999,-999,-999,-999,-999,-999,-999
1919,0.167,-2.423,1.827,-999,-999,-999,-999,-999,-999,-999,-999
1920,-0.475,-2.442,1.956,-999,-999,-999,-999,-999,-999,-999,-999
1921,3.334,-2.446,1.946,-999,-999,-999,-999,-999,-999,-999,-999
1922,1.0,-2.295,1.959,-999,-999,-999,-999,-999,-999,-999,-999
1923,0.075,-2.332,2.058,-999,-999,-999,-999,-999,-999,-999,-999
1924,-2.741,-2.379,2.086,-999,-999,-999,-999,-999,-999,-999,-999
1925,-0.25,-2.364,2.054,-999,-999,-999,-999,-999,-999,-999,-999
1926,-2.033,-2.362,2.032,-999,-999,-999,-999,-999,-999,-999,-999
1927,-0.65,-2.307,2.08,-999,-999,-999,-999,-999,-999,-999,-999
1928,0.034,-2.215,2.156,-999,-999,-999,-999,-999,-999,-999,-999
1929,-2.275,-2.23,2.192,-999,-999,-999,-999,-999,-999,-999,-999
1930,1.167,-2.298,2.286,-999,-999,-999,-999,-999,-999,-999,-999
1931,4.809,-2.267,2.344,-999,-999,-999,-999,-999,-999,-999,-999
1932,-0.041,-2.174,2.374,-999,-999,-999,-999,-999,-999,-999,-999
1933,0.959,-2.237,2.422,-999,-999,-999,-999,-999,-999,-999,-999
1934,1.184,-2.279,2.386,-999,-999,-999,-999,-999,-999,-999,-999
1935,-0.5,-2.258,2.435,-999,-999,-999,-999,-999,-999,-999,-999
1936,-1.166,-2.214,2.524,-999,-999,-999,-999,-999,-999,-999,-999
1937,-0.841,-2.223,2.597,-999,-999,-999,-999,-999,-999,-999,-999
1938,1.75,-2.245,2.705,-999,-999,-999,-999,-999,-999,-999,-999
1939,1.659,-2.229,2.6,-999,-999,-999,-999,-999,-999,-999,-999
1940,-0.8,-2.2,2.629,-999,-999,-999,-999,-999,-999,-999,-999
1941,2.409,-2.176,2.555,-999,-999,-999,-999,-999,-999,-999,-999
1942,0.55,-2.215,2.567,-999,-999,-999,-999,-999,-999,-999,-999
1943,-0.966,-2.301,2.65,-999,-999,-999,-999,-999,-999,-999,-999
1944,1.617,-2.312,2.647,-999,-999,-999,-999,-999,-999,-999,-999
1945,-1.025,-2.236,2.661,-999,-999,-999,-999,-999,-999,-999,-999
1946,1.55,-2.194,2.7,-999,-999,-999,-999,-999,-999,-999,-999
1947,0.134,-2.152,2.578,-999,-999,-999,-999,-999,-999,-999,-999
1948,0.417,-2.168,2.529,-999,-999,-999,-999,-999,-999,-999,-999
1949,1.417,-2.254,2.379,-999,-999,-999,-999,-999,-999,-999,-999
1950,-2.741,-2.316,2.472,-999,-999,-999,-999,-999,-999,-999,-999
1951,-2.375,-2.317,2.44,-999,-999,-999,-999,-999,-999,-999,-999
1952,0.842,-2.429,2.486,-999,-999,-999,-999,-999,-999,-999,-999
1953,1.867,-2.375,2.502,-999,-999,-999,-999,-999,-999,-999,-999
1954,0.95,-2.311,2.475,-999,-999,-999,-999,-999,-999,-999,-999
1955,0.692,-2.259,2.466,-999,-999,-999,-999,-999,-999,-999,-999
1956,-0.116,-2.349,2.515,-999,-999,-999,-999,-999,-999,-999,-999
1957,-0.058,-2.405,2.448,-999,-999,-999,-999,-999,-999,-999,-999
1958,-0.2,-2.401,2.495,-999,-999,-999,-999,-999,-999,-999,-999
1959,-0.308,-2.558,2.516,-999,-999,-999,-999,-999,-999,-999,-999
1960,-0.166,-2.626,2.55,-999,-999,-999,-999,-999,-999,-999,-999
1961,0.684,-2.863,2.408,-999,-999,-999,-999,-999,-999,-999,-999
1962,-0.591,-2.894,2.408,-999,-999,-999,-999,-999,-999,-999,-999
1963,-0.166,-2.914,2.408,-999,-999,-999,-999,-999,-999,-999,-999
1964,1.217,-2.993,2.283,-999,-999,-999,-999,-999,-999,-999,-999
1965,-0.966,-3.044,2.223,-999,-999,-999,-999,-999,-999,-999,-999
1966,-0.741,-3.174,2.239,-999,-999,-999,-999,-999,-999,-999,-999
1967,-1.325,-3.19,2.115,-999,-999,-999,-999,-999,-999,-999,-999
1968,0.792,-3.185,2.124,-999,-999,-999,-999,-999,-999,-999,-999
1969,-0.525,-3.279,2.108,-999,-999,-999,-999,-999,-999,-999,-999
1970,-0.125,-3.149,2.137,-999,-999,-999,-999,-999,-999,-999,-999
1971,-0.2,-3.096,2.208,-999,-999,-999,-999,-999,-999,-999,-999
1972,-2.266,-2.893,2.324,-999,-999,-999,-999,-999,-999,-999,-999
1973,2.1,-2.914,2.367,-999,-999,-999,-999,-999,-999,-999,-999
1974,-0.033,-2.742,2.431,-999,-999,-999,-999,-999,-999,-999,-999
1975,0.4,-2.71,2.527,-999,-999,-999,-999,-999,-999,-999,-999
1976,-0.833,-2.661,2.557,-999,-999,-999,-999,-999,-999,-999,-999
1977,0.717,-2.58,2.585,-999,-999,-999,-999,-999,-999,-999,-999
1978,-1.233,-2.63,2.645,-999,-999,-999,-999,-999,-999,-999,-999
1979,-1.808,-2.713,2.829,-999,-999,-999,-999,-999,-999,-999,-999
1980,-0.066,-2.651,2.852,-999,-999,-999,-999,-999,-999,-999,-999
1981,1.25,-2.625,2.85,-999,-999,-999,-999,-999,-999,-999,-999
1982,-0.783,-2.513,2.922,-999,-999,-999,-999,-999,-999,-999,-999
