Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1950,1.37,0.32,1.13,2.27,3.88,1.86,0.12,0.74,1.37
1951,1.02,0.41,0.76,1.66,3.6,1.45,0.27,0.79,0.98
1952,1.83,0.26,0.27,1.13,2.67,2.65,0.1,0.78,1.15
1953,1.28,0.37,1.0,0.55,4.14,2.14,0.08,1.03,0.63
1954,1.51,0.31,0.65,1.39,2.48,2.05,0.21,0.98,1.09
1955,1.84,0.27,1.01,1.51,3.16,2.74,0.24,0.61,1.44
1956,0.59,0.24,0.85,1.23,2.93,2.2,0.05,0.64,0.78
1957,0.44,0.41,0.55,2.15,4.54,2.24,0.18,0.79,0.87
1958,1.0,0.25,0.64,1.8,3.15,2.43,0.13,0.65,1.2
1959,1.24,0.21,0.83,1.45,3.78,3.34,0.1,1.25,0.81
1960,1.34,0.3,0.83,1.03,3.09,2.52,0.27,0.92,0.89
1961,0.7,0.24,0.78,1.96,4.65,2.44,0.12,0.67,0.47
1962,1.09,0.49,0.71,1.16,3.01,2.5,0.11,0.67,1.58
1963,0.78,0.32,0.47,1.31,2.83,2.69,0.15,0.47,1.24
1964,0.56,0.5,1.26,1.77,5.31,4.31,0.12,0.68,0.95
1965,0.44,0.41,0.57,1.82,3.15,2.05,0.3,0.68,0.91
1966,0.93,0.37,0.72,1.29,3.57,2.5,0.2,0.79,1.07
1967,1.05,0.37,0.58,1.64,3.65,2.2,0.2,0.62,1.0
1968,1.0,0.51,0.62,1.65,3.38,1.82,0.14,1.0,0.83
1969,1.53,0.34,0.61,2.08,4.03,2.63,0.27,0.6,1.92
1970,0.99,0.3,0.61,2.04,3.28,2.11,0.17,0.7,1.43
1971,1.4,0.45,0.76,1.26,3.35,2.93,0.13,0.61,0.61
1972,1.83,0.29,1.07,1.58,4.02,2.46,0.32,0.98,0.4
1973,1.57,0.48,0.62,1.94,5.36,2.86,0.08,0.78,1.21
1974,0.89,0.26,0.94,1.59,4.22,1.98,0.19,0.43,1.02
1975,1.66,0.38,0.87,1.86,4.13,3.04,0.11,1.02,0.73
1976,1.19,0.27,0.43,1.03,3.1,2.53,0.09,0.34,0.5
1977,1.5,0.4,0.73,1.8,3.91,2.71,0.18,0.74,0.7
