Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,-999.0,0.48,0.22,0.17,0.25,1.36,0.7,0.04,0.33,-999.0
1901,-999.0,0.45,0.08,0.27,0.21,0.66,1.43,0.02,0.21,-999.0
1902,-999.0,0.12,0.12,0.19,0.38,1.27,0.7,0.38,0.39,-999.0
1903,-999.0,0.85,0.16,0.19,0.29,0.69,1.01,0.31,0.31,-999.0
1904,-999.0,0.35,0.1,0.19,0.35,0.74,0.28,0.09,0.1,-999.0
1905,-999.0,0.11,0.2,0.1,0.45,1.17,0.65,0.06,0.35,-999.0
1906,-999.0,0.13,0.11,0.15,0.42,1.03,0.93,0.16,0.16,-999.0
1907,-999.0,0.11,0.07,0.18,0.23,1.18,0.51,0.1,0.23,-999.0
1908,-999.0,0.19,0.16,0.09,0.16,1.24,0.99,0.07,0.19,-999.0
1909,-999.0,0.13,0.13,0.22,0.33,0.99,0.86,0.07,0.26,-999.0
1910,-999.0,0.3,0.05,0.16,0.5,0.57,0.53,0.08,0.1,-999.0
1911,-999.0,0.43,0.18,0.26,0.43,1.08,0.4,0.07,0.13,-999.0
1912,-999.0,0.26,0.05,0.03,0.28,0.91,1.05,0.0,0.17,-999.0
1913,-999.0,0.16,0.07,0.1,0.62,1.06,0.51,0.02,0.12,-999.0
1914,-999.0,0.22,0.14,0.09,0.29,0.82,0.37,0.05,0.34,-999.0
1915,-999.0,0.19,0.16,0.06,0.57,1.25,0.98,0.07,0.26,-999.0
1916,-999.0,0.4,0.06,0.06,0.23,0.99,0.93,0.08,0.12,-999.0
1917,-999.0,0.05,0.08,0.12,0.24,0.3,0.58,0.09,0.11,-999.0
1918,-999.0,0.05,0.05,0.06,0.34,0.8,0.6,0.02,0.16,-999.0
1919,-999.0,0.23,0.12,0.22,0.48,1.09,0.64,0.1,0.16,-999.0
1920,-999.0,0.47,0.1,0.08,0.51,1.1,0.91,0.03,0.05,-999.0
1921,-999.0,0.08,0.11,0.34,0.31,0.86,0.61,0.13,0.17,-999.0
1922,-999.0,0.2,0.14,0.04,0.42,0.86,0.69,0.0,0.19,-999.0
1923,-999.0,0.15,0.12,0.11,0.21,1.31,0.34,0.02,0.08,-999.0
1924,-999.0,0.22,0.05,0.12,0.37,0.34,0.71,0.0,0.24,-999.0
1925,-999.0,0.25,0.09,0.02,0.18,0.74,0.49,0.03,0.18,-999.0
1926,-999.0,0.12,0.04,0.05,0.35,1.08,0.72,0.0,0.38,-999.0
1927,-999.0,0.18,0.06,0.07,0.37,1.26,0.51,0.08,0.09,-999.0
1928,-999.0,0.53,0.05,0.04,0.31,0.95,1.45,0.0,0.2,-999.0
1929,-999.0,0.08,0.07,0.08,0.35,0.98,1.69,0.02,0.1,-999.0
1930,0.77,0.11,0.05,0.03,0.09,0.87,0.54,0.04,0.09,0.17
1931,0.78,0.26,0.02,0.17,0.31,0.76,0.46,0.01,0.19,0.36
1932,1.71,0.39,0.1,0.34,0.42,1.31,0.99,0.1,0.11,0.09
1933,1.63,0.63,0.1,0.55,0.38,1.11,0.68,0.0,0.19,0.41
1934,2.33,0.66,0.02,0.04,0.23,0.9,1.0,0.0,0.15,0.17
1935,2.66,0.72,0.13,0.21,0.4,1.09,0.52,0.0,0.17,0.09
1936,0.61,0.39,0.02,0.13,0.57,0.62,1.56,0.04,0.1,0.29
1937,2.7,0.3,0.07,0.53,0.59,0.68,0.84,0.07,0.12,0.73
1938,1.58,0.55,0.07,0.09,0.36,1.07,0.58,0.05,0.25,0.48
1939,1.72,0.53,0.05,0.13,0.19,0.55,0.64,0.01,0.09,0.31
1940,1.82,0.21,0.03,0.06,0.12,1.21,0.81,0.0,0.23,0.73
1941,0.71,0.04,0.13,0.19,0.32,1.18,0.75,0.14,0.32,0.29
1942,1.23,0.59,0.18,0.24,0.33,1.2,0.83,0.04,0.27,0.22
1943,1.38,0.46,0.1,0.11,0.38,0.89,0.88,0.01,0.26,0.63
1944,0.98,0.23,0.16,0.03,0.24,0.97,1.28,0.07,0.15,0.28
1945,1.2,0.11,0.07,0.13,0.35,1.36,0.92,0.03,0.22,0.53
1946,0.28,0.47,0.17,0.12,0.37,1.29,0.72,0.06,0.21,0.21
1947,1.16,0.08,0.15,0.03,0.27,0.92,1.04,0.0,0.27,0.11
1948,1.27,0.33,0.08,0.12,0.47,1.07,0.94,0.05,0.08,0.17
1949,2.32,0.1,0.08,0.13,0.52,0.9,0.88,0.06,0.1,0.11
1950,0.75,0.37,0.13,0.22,0.36,1.0,0.68,0.04,0.24,0.45
1951,0.97,0.09,0.1,0.2,0.32,0.98,0.61,0.15,0.23,0.17
1952,1.26,0.55,0.06,0.01,0.24,0.56,0.53,0.0,0.29,0.25
1953,1.17,0.31,0.11,0.11,0.13,1.23,0.86,0.0,0.34,0.13
1954,1.06,0.68,0.05,0.02,0.45,0.56,0.82,0.02,0.34,0.17
1955,1.08,0.99,0.08,0.29,0.39,1.16,0.86,0.09,0.14,0.51
1956,1.17,0.26,0.06,0.12,0.4,0.6,0.86,0.0,0.13,0.2
1957,1.03,0.03,0.15,0.04,0.47,1.53,0.78,0.01,0.21,0.16
1958,1.12,0.38,0.08,0.04,0.33,0.87,0.61,0.06,0.17,0.15
