Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1895,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1896,-999.0,10.25,2.35,16.23,8.76,9.72,11.36,1.87,3.29,6.95
1897,-999.0,7.6,2.57,13.62,8.92,7.17,11.58,3.86,4.42,8.47
1898,-999.0,12.75,2.11,13.22,11.3,11.34,7.24,2.53,4.21,4.67
1899,-999.0,10.43,2.5,13.01,9.48,8.25,14.76,2.96,2.63,4.88
1900,-999.0,12.11,2.02,11.25,9.5,9.76,12.28,1.83,3.99,4.97
1901,-999.0,5.78,1.79,14.55,5.29,7.02,11.58,2.66,2.34,8.38
1902,-999.0,14.03,2.59,13.61,9.36,7.32,13.97,1.86,2.82,6.98
1903,-999.0,13.71,2.74,13.91,12.4,12.45,15.17,3.2,4.03,6.36
1904,-999.0,8.99,2.46,14.19,7.64,5.68,9.32,1.36,3.06,7.2
1905,-999.0,8.57,2.14,10.24,8.12,10.23,11.57,5.14,3.7,7.08
1906,-999.0,9.25,1.56,12.34,8.12,7.64,14.44,2.63,3.62,7.88
1907,-999.0,9.02,3.38,15.41,11.77,7.8,7.34,4.7,4.21,11.64
1908,-999.0,11.88,2.06,12.17,10.12,9.76,14.65,3.2,4.0,8.45
1909,-999.0,12.16,2.77,15.39,10.55,6.29,9.54,4.43,4.31,12.61
1910,-999.0,11.71,3.07,12.75,10.03,8.43,10.4,3.22,4.37,7.49
1911,-999.0,8.12,2.41,10.64,8.61,7.08,7.4,4.3,3.67,10.05
1912,-999.0,8.77,2.2,12.94,9.34,11.67,14.51,1.83,3.57,3.44
1913,-999.0,10.02,1.83,11.15,12.24,12.3,11.62,2.89,3.2,4.58
1914,-999.0,8.85,2.37,12.99,7.55,7.06,10.9,3.84,2.51,12.92
1915,-999.0,13.61,2.53,8.04,10.76,11.71,14.71,4.68,4.38,10.61
1916,-999.0,10.11,3.12,15.95,13.43,9.44,9.61,5.21,4.09,11.96
1917,-999.0,8.91,2.93,10.77,9.22,7.56,11.24,3.2,3.0,7.13
1918,-999.0,8.52,3.24,17.99,7.28,5.24,8.15,2.81,2.98,5.04
1919,-999.0,9.28,2.41,14.03,8.55,10.28,14.3,2.95,4.01,6.74
1920,-999.0,9.34,2.13,7.84,7.98,7.81,11.92,3.41,2.24,4.5
1921,-999.0,9.78,1.84,16.29,7.97,8.88,11.91,2.25,3.08,7.72
1922,-999.0,7.85,2.82,9.56,8.08,8.8,11.9,3.81,4.67,10.39
1923,-999.0,10.6,2.22,14.36,11.29,9.92,11.99,2.65,2.69,6.5
1924,-999.0,11.15,2.06,11.29,11.27,10.62,11.88,2.38,3.28,3.21
1925,-999.0,8.6,2.43,14.41,9.11,8.62,14.35,2.53,2.96,6.64
1926,9.98,9.53,2.31,12.41,7.09,7.0,13.66,1.95,3.47,5.98
1927,9.44,8.73,2.29,14.18,10.68,10.44,9.17,4.26,2.9,8.35
1928,10.88,10.64,2.25,8.49,8.07,7.36,11.42,2.5,3.89,4.37
1929,11.89,8.94,2.27,8.47,9.09,9.74,12.06,2.36,4.2,4.46
1930,5.47,8.47,2.52,13.53,10.05,9.22,9.06,2.24,3.42,7.49
1931,10.22,6.63,1.0,7.83,5.34,7.75,8.46,2.43,1.66,4.0
1932,10.78,9.85,2.4,13.19,12.69,16.61,13.85,3.83,4.6,9.43
1933,6.32,7.96,1.9,13.31,10.69,11.56,12.86,3.06,3.55,6.18
1934,5.87,9.15,2.28,16.33,6.79,8.95,7.99,2.32,2.61,6.6
1935,11.55,10.93,1.76,11.78,7.97,7.83,8.35,3.3,3.6,7.08
1936,6.17,10.61,2.89,14.97,7.0,7.1,16.15,3.3,3.82,10.13
1937,9.45,14.03,2.4,12.53,15.86,11.66,16.29,3.92,5.2,9.46
1938,6.96,8.73,2.28,14.17,8.38,9.94,5.81,3.28,4.18,10.55
1939,8.86,10.88,2.14,11.17,11.45,10.85,12.84,3.54,4.57,5.12
1940,7.22,7.78,2.35,16.76,6.71,7.52,10.55,3.27,2.82,11.14
1941,7.47,7.67,1.68,9.83,5.95,9.23,8.59,4.59,3.51,12.7
1942,7.67,8.72,2.09,12.61,7.46,6.9,12.51,2.96,2.93,9.42
1943,6.91,9.4,2.52,13.77,7.89,6.4,10.77,2.83,4.01,9.12
1944,11.26,5.98,1.99,7.88,7.39,10.97,11.76,3.6,2.42,7.52
1945,8.55,9.9,1.9,10.35,10.09,11.92,9.64,2.58,3.27,5.86
1946,6.42,9.7,2.09,13.96,9.43,12.02,14.6,2.03,4.17,6.4
1947,8.19,8.89,2.06,10.47,7.97,7.79,9.25,1.9,3.23,3.74
1948,8.33,8.48,2.43,12.5,8.46,10.45,11.99,3.45,3.48,3.81
1949,9.47,11.98,3.11,13.76,13.66,11.81,12.06,4.4,4.66,6.26
1950,5.52,9.55,2.67,15.34,17.67,12.04,7.18,2.67,5.15,6.04
1951,7.04,10.88,2.2,15.9,10.54,8.64,7.69,2.21,4.36,6.98
1952,7.47,12.2,3.03,13.08,11.25,8.37,12.43,3.97,3.93,10.88
1953,7.69,11.93,2.63,18.25,8.71,8.76,12.52,2.05,3.96,7.24
1954,7.65,9.46,2.38,15.99,8.41,8.09,12.5,1.83,3.79,6.26
