Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1895,-999.0,10.2,6.69,1.44,11.28,14.97,15.28,4.97,9.19,0.44
1896,-999.0,10.83,6.41,2.83,15.0,8.15,16.49,4.73,10.37,1.66
1897,-999.0,16.13,6.93,3.92,10.84,10.01,14.7,4.09,11.08,1.14
1898,-999.0,12.62,5.83,2.73,12.73,13.44,20.18,5.13,9.72,0.96
1899,-999.0,10.55,7.25,3.24,10.05,11.11,14.28,4.75,11.95,1.56
1900,-999.0,10.04,6.83,2.94,13.47,13.58,15.65,2.62,13.72,0.79
1901,-999.0,12.83,7.92,2.06,10.71,8.68,20.79,3.82,9.74,1.14
1902,-999.0,12.86,7.66,2.79,13.21,10.37,12.02,3.55,14.36,0.77
1903,-999.0,15.73,8.04,3.67,11.44,11.15,16.35,4.26,12.75,0.66
1904,-999.0,11.75,7.3,2.86,11.18,13.86,16.32,5.16,9.93,1.48
1905,-999.0,13.85,9.08,3.36,13.99,13.86,16.63,3.51,13.38,0.54
1906,-999.0,13.65,7.38,3.54,13.32,13.38,21.8,4.94,10.8,1.86
1907,-999.0,9.78,7.75,4.62,14.39,9.62,15.54,5.38,11.82,1.68
1908,-999.0,10.95,8.25,3.7,10.39,14.24,17.94,5.28,10.5,1.2
1909,-999.0,8.76,7.87,2.86,13.08,10.64,18.25,5.73,10.82,1.34
1910,-999.0,10.24,5.04,1.33,12.15,11.61,19.33,4.03,6.67,0.77
1911,-999.0,13.62,6.36,2.65,11.01,13.14,14.91,5.28,9.77,0.92
1912,-999.0,9.52,7.55,5.34,13.3,11.96,15.66,5.59,10.86,1.34
1913,-999.0,7.96,6.24,5.63,8.81,7.93,14.51,4.56,9.94,3.24
1914,-999.0,10.51,7.63,2.98,10.3,11.18,13.92,6.51,12.31,1.56
1915,-999.0,15.72,10.6,2.77,16.35,14.89,15.47,4.45,12.52,0.69
1916,-999.0,12.83,7.67,4.33,12.8,11.53,21.05,4.88,9.88,0.88
1917,-999.0,13.94,4.17,1.56,12.31,10.38,16.13,3.56,10.07,0.96
1918,-999.0,10.17,6.72,3.12,10.09,8.31,13.33,4.87,9.06,1.48
1919,-999.0,13.42,5.1,0.97,11.31,12.41,19.2,5.08,11.04,0.46
1920,-999.0,14.23,6.8,3.77,12.35,13.16,17.89,4.34,10.76,1.64
1921,-999.0,10.68,6.81,2.3,11.99,12.06,13.15,7.45,9.72,0.99
1922,-999.0,16.34,6.96,2.72,10.23,9.69,16.81,4.13,9.5,1.76
1923,-999.0,9.26,9.5,4.98,12.61,11.77,15.78,5.9,10.45,1.79
1924,-999.0,10.39,6.83,2.05,12.98,7.31,14.82,2.72,13.45,0.35
1925,9.4,11.25,7.43,2.92,10.02,8.88,11.11,5.83,11.4,2.56
1926,7.73,12.18,7.06,2.82,13.77,11.91,16.95,3.86,10.88,0.86
1927,9.25,13.66,7.44,2.64,11.88,13.79,16.37,6.14,7.32,0.98
1928,11.77,15.98,9.28,2.05,17.0,15.35,21.06,4.04,13.9,0.5
1929,10.17,8.25,4.62,2.7,11.49,8.54,14.76,5.56,8.0,1.64
1930,12.41,9.51,5.96,2.05,6.36,6.43,11.87,5.61,7.97,0.86
1931,10.09,14.11,5.41,2.73,11.86,10.65,13.99,4.52,8.89,1.72
1932,12.41,10.51,7.32,2.65,12.69,11.32,15.27,5.46,11.04,1.19
1933,8.6,12.97,5.24,2.24,9.38,11.14,15.0,4.52,6.81,0.58
1934,8.97,10.56,5.11,2.19,11.55,8.41,16.77,3.56,8.64,1.42
1935,9.91,12.27,6.08,1.91,13.88,10.57,16.11,4.06,12.56,0.7
1936,8.09,10.9,3.94,4.18,7.45,6.8,15.46,5.15,6.89,2.23
1937,9.99,13.42,7.12,4.83,12.41,10.6,17.03,4.27,9.61,1.2
1938,11.45,16.4,6.42,2.45,13.66,11.33,16.6,4.22,11.63,1.42
1939,12.47,11.04,6.59,2.56,13.46,10.82,20.09,3.07,11.53,0.98
1940,9.12,9.83,5.86,1.68,11.13,14.79,18.58,3.5,12.93,0.4
1941,8.51,12.6,8.26,5.29,12.67,13.67,19.02,5.51,10.15,2.46
1942,11.05,13.39,7.09,3.33,14.59,13.31,17.78,3.8,11.9,0.62
1943,11.38,10.38,8.05,3.66,10.99,7.44,15.41,4.74,13.13,1.2
1944,11.7,9.33,10.15,3.6,9.08,10.66,14.12,3.42,13.16,1.04
1945,12.12,14.0,7.34,2.31,12.05,13.72,17.36,5.12,11.34,2.18
1946,8.91,13.16,6.42,3.31,11.29,10.96,16.25,4.64,10.13,1.2
1947,9.74,11.99,8.5,4.72,12.11,8.01,15.44,5.03,10.81,1.04
1948,9.93,11.86,8.65,5.18,11.94,11.51,15.29,4.39,9.26,1.3
1949,10.8,8.4,6.1,1.62,13.73,12.79,20.09,5.12,11.8,0.74
1950,9.4,11.1,6.75,3.75,14.71,15.8,15.84,4.23,10.92,0.94
1951,11.19,11.47,9.04,2.5,12.94,12.54,14.07,4.77,13.94,0.98
1952,9.67,12.32,6.36,3.58,10.13,6.59,13.9,4.26,13.87,1.62
1953,10.11,9.18,7.15,3.66,8.41,9.41,14.44,4.59,12.22,1.23
1954,9.27,11.39,7.28,4.91,11.3,6.12,10.46,4.13,11.82,1.34
1955,11.63,16.16,6.31,3.11,10.6,10.94,15.86,5.43,10.27,1.5
1956,10.0,11.02,6.97,3.69,12.11,7.97,13.37,3.17,11.75,0.78
1957,6.55,7.89,8.13,2.69,11.48,11.69,13.62,5.73,12.12,0.76
1958,11.28,13.58,7.63,3.74,17.39,14.36,16.05,3.86,11.28,1.88
1959,10.81,13.53,5.44,2.55,10.5,13.18,15.91,4.84,11.74,0.73
1960,10.7,11.46,6.3,2.28,12.02,12.2,15.79,3.37,11.46,0.53
1961,12.74,11.1,4.85,2.39,13.28,14.16,17.29,4.98,9.68,1.69
1962,10.18,10.2,9.25,2.65,10.52,11.47,15.28,3.25,11.6,0.78
