Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,9.47,5.5,8.07,8.05,14.59,11.15,4.29,4.67,4.97
1901,14.89,4.82,7.19,9.48,12.41,17.27,3.29,5.78,3.54
1902,11.01,6.05,8.93,10.12,13.2,8.61,2.57,7.81,4.78
1903,9.02,5.87,7.06,11.81,13.24,13.14,2.93,9.4,5.0
1904,10.89,5.47,10.82,13.24,9.54,8.39,2.88,7.46,7.0
1905,7.72,6.6,8.19,11.6,15.66,11.99,6.53,8.03,6.22
1906,11.08,7.72,8.04,9.21,12.21,10.07,5.48,7.38,9.28
1907,9.19,4.99,8.41,11.31,15.43,11.07,3.72,5.73,7.95
1908,11.72,7.12,7.94,15.43,14.39,11.78,2.94,9.77,2.79
1909,11.09,5.03,4.8,13.02,15.14,12.29,2.67,7.18,2.54
1910,8.68,3.69,6.15,9.12,9.02,9.19,1.77,4.77,2.31
1911,7.15,4.32,5.95,9.16,11.07,7.81,2.66,6.44,5.27
1912,13.08,6.28,8.2,14.05,18.68,15.43,4.38,7.79,6.56
1913,12.51,5.06,7.01,12.65,12.79,12.69,1.9,8.15,3.47
1914,10.68,5.11,6.14,8.14,10.29,7.42,3.78,7.0,3.01
1915,6.0,6.49,8.79,9.18,11.05,9.39,4.93,5.82,5.46
1916,10.71,5.18,10.03,10.17,9.68,8.58,3.03,8.71,3.05
1917,9.61,6.22,9.8,12.96,11.67,12.52,3.91,6.36,3.95
1918,9.94,5.31,5.5,11.41,10.56,12.49,2.82,7.93,5.09
1919,12.22,4.48,7.34,11.95,15.02,11.52,4.07,7.3,3.45
1920,10.28,6.9,8.01,13.47,16.56,11.69,4.04,7.11,5.52
1921,9.67,5.56,8.51,12.44,12.96,10.61,3.34,8.34,4.01
1922,10.48,5.83,7.9,15.32,18.14,15.08,3.48,7.78,3.85
1923,9.49,5.29,6.78,11.43,18.42,12.97,3.39,5.88,3.53
1924,11.4,3.92,2.77,10.32,12.5,13.38,3.47,7.19,2.45
1925,8.56,4.66,6.91,7.79,6.96,7.11,2.37,4.21,5.42
1926,6.8,3.44,4.66,8.21,12.03,7.76,5.41,5.41,3.92
1927,8.76,8.56,7.22,17.88,13.86,8.46,2.56,8.53,4.0
1928,10.25,3.47,8.81,8.95,15.87,13.22,3.66,5.65,4.88
1929,13.61,5.97,6.52,15.21,17.13,15.05,3.27,7.48,2.98
1930,9.47,5.59,6.64,6.63,12.34,7.54,3.46,6.28,4.81
1931,10.74,3.68,7.2,10.3,10.25,11.94,3.29,5.06,2.85
1932,9.74,5.9,10.54,7.65,10.19,10.3,2.9,6.22,3.48
1933,13.1,6.1,7.4,16.08,14.51,10.51,2.76,8.01,3.71
1934,9.33,2.59,5.96,6.76,12.6,12.87,2.07,4.13,1.89
1935,7.78,7.09,7.19,15.69,16.03,11.41,4.47,6.09,6.32
1936,13.17,3.48,6.19,8.02,9.94,11.84,2.34,5.52,2.71
1937,11.03,4.37,8.45,9.54,11.49,10.36,3.45,7.46,4.86
1938,8.96,6.68,9.17,14.25,14.07,11.65,4.06,10.09,8.24
