Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,11.19,4.39,9.57,10.12,11.51,9.76,3.72,10.9,5.65
1901,8.13,3.91,7.86,5.8,7.41,7.75,2.2,6.85,3.91
1902,10.48,2.88,8.73,10.2,13.48,12.23,3.1,7.1,4.15
1903,8.49,3.68,11.1,7.16,6.62,7.54,2.12,8.41,4.2
1904,8.85,2.05,6.33,4.78,5.73,7.34,3.05,7.56,3.92
1905,9.65,3.92,7.23,11.19,9.94,6.0,4.91,8.08,2.42
1906,9.41,4.42,9.89,10.17,12.52,9.93,4.1,8.63,1.95
1907,14.83,2.28,6.38,8.12,11.41,11.04,3.26,6.4,2.12
1908,5.27,4.03,7.07,5.08,9.16,9.16,3.22,5.14,3.1
1909,8.24,4.24,13.47,9.33,7.36,6.03,3.37,7.48,5.44
1910,8.78,3.9,11.82,9.57,7.9,8.09,2.92,5.59,3.07
1911,11.31,5.15,8.14,13.19,9.75,11.76,4.37,10.5,1.51
1912,11.32,4.1,8.29,7.4,8.75,9.46,3.02,6.14,3.66
1913,11.63,3.67,9.03,10.39,12.39,11.14,3.87,7.33,3.62
1914,6.02,3.53,8.87,8.25,9.62,9.95,3.21,6.28,1.97
1915,7.91,4.82,8.73,9.32,11.5,9.5,2.73,8.45,1.55
1916,9.08,3.09,5.83,7.42,7.67,6.77,3.94,7.42,3.22
1917,9.48,2.55,5.48,6.49,6.77,9.36,1.78,5.51,1.48
1918,11.54,3.68,7.78,9.6,14.15,10.09,3.7,6.91,4.32
1919,11.36,4.81,8.14,14.15,13.18,5.9,5.38,8.57,2.28
1920,11.01,3.25,11.12,7.54,9.62,10.1,3.31,6.28,5.19
1921,11.3,3.87,10.65,13.07,8.6,8.07,1.85,7.43,2.07
1922,5.94,3.37,5.41,7.11,8.32,6.4,2.43,7.21,3.09
1923,9.83,4.78,6.63,8.84,11.09,7.88,4.76,5.17,2.96
1924,9.07,4.2,10.59,6.54,7.59,13.11,2.13,5.49,3.82
1925,12.79,4.07,6.1,13.56,13.98,8.75,4.2,7.28,3.18
1926,13.52,4.84,10.92,15.4,11.47,8.14,3.16,10.72,5.8
1927,14.6,4.71,13.61,11.77,8.07,8.22,3.96,8.57,4.64
1928,8.17,3.26,5.82,9.19,9.8,13.44,3.45,8.33,2.48
1929,10.25,4.76,2.05,10.31,15.42,15.92,3.54,6.95,0.46
1930,6.49,4.7,6.37,7.45,13.09,8.01,3.48,6.74,2.9
1931,8.23,3.98,8.27,11.19,7.37,3.42,4.17,10.6,3.48
1932,13.48,2.96,8.21,9.25,12.03,14.45,2.16,5.91,1.27
1933,9.57,2.47,7.0,8.0,7.38,5.32,3.06,6.95,1.39
1934,11.85,3.4,10.68,11.37,11.53,12.13,2.08,10.23,4.59
1935,10.88,1.97,4.55,9.54,9.61,10.81,2.87,6.01,1.97
1936,9.88,2.27,1.75,11.8,9.74,10.89,3.24,6.22,1.61
1937,11.93,3.13,10.12,7.88,11.98,11.05,2.75,6.42,3.78
1938,11.79,3.69,7.5,7.43,7.03,9.95,3.4,7.09,2.9
1939,8.67,1.97,4.31,5.09,5.86,5.62,3.55,4.44,2.72
1940,10.49,4.12,10.7,6.34,8.52,7.0,4.78,6.96,3.31
1941,7.63,5.8,8.79,13.2,11.74,4.24,6.69,10.95,3.52
1942,11.79,4.3,10.33,10.39,8.77,10.41,3.21,8.29,3.28
1943,11.31,2.5,5.97,6.42,8.75,5.67,2.22,5.76,2.25
1944,11.94,3.1,7.01,6.84,9.99,12.42,3.28,5.61,4.75
1945,14.45,3.45,10.28,12.21,11.82,13.95,2.22,7.64,4.89
1946,8.94,7.12,10.61,9.09,11.52,9.5,4.83,8.98,5.22
1947,8.53,4.6,10.83,8.82,13.44,15.57,2.95,7.31,2.92
1948,9.66,2.97,8.78,9.37,14.54,15.14,2.12,5.39,2.0
1949,8.72,3.79,8.03,8.68,9.52,9.44,2.97,6.13,1.82
1950,11.93,4.22,12.14,9.26,9.06,9.68,2.23,6.07,6.04
1951,11.3,4.17,10.13,10.93,11.86,8.35,2.75,8.74,4.07
1952,8.89,1.37,2.25,6.09,7.69,8.6,2.29,3.22,2.23
1953,8.75,2.35,7.43,3.9,8.43,7.33,1.79,4.15,2.7
1954,13.23,3.11,6.31,8.92,7.44,8.12,3.05,8.62,2.47
1955,11.82,3.34,11.44,9.14,7.94,9.97,1.81,6.06,2.54
