Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,-999.0,4.1,13.97,8.37,13.06,31.25,23.7,25.24,4.32,-999.0
1901,-999.0,3.06,17.83,10.67,24.91,53.65,12.22,38.86,14.36,-999.0
1902,-999.0,0.3,4.08,9.1,8.83,43.95,27.95,49.39,0.44,-999.0
1903,-999.0,0.53,3.61,3.29,6.08,24.44,13.12,38.54,0.48,-999.0
1904,-999.0,0.41,3.68,8.9,2.07,23.4,15.81,30.69,0.51,-999.0
1905,-999.0,1.23,4.41,9.98,2.81,31.05,13.78,27.88,1.33,-999.0
1906,-999.0,0.62,7.99,11.65,3.28,29.35,10.99,22.97,1.19,-999.0
1907,-999.0,0.16,6.11,4.68,5.88,41.2,15.57,21.1,0.63,-999.0
1908,-999.0,1.71,7.57,12.27,9.21,26.79,15.86,19.58,2.01,-999.0
1909,-999.0,1.51,8.13,6.77,7.53,50.43,9.8,21.55,2.09,-999.0
1910,-999.0,2.48,13.08,6.71,4.28,43.72,6.43,34.54,7.01,-999.0
1911,-999.0,7.9,12.39,7.9,20.65,60.28,24.22,21.91,10.0,-999.0
1912,-999.0,2.96,8.37,5.22,7.65,41.38,12.62,17.12,3.04,-999.0
1913,-999.0,3.07,17.12,7.34,30.57,52.37,18.18,27.83,9.0,-999.0
1914,-999.0,4.29,13.5,10.78,27.45,50.37,26.84,20.34,4.88,-999.0
1915,-999.0,0.58,1.13,12.22,3.52,27.93,18.57,15.55,0.08,-999.0
1916,-999.0,2.08,11.94,7.05,16.37,44.56,9.08,21.81,9.99,-999.0
1917,-999.0,1.67,12.74,10.63,7.18,42.05,11.93,26.86,3.65,-999.0
1918,-999.0,3.25,11.02,9.68,17.11,59.29,17.01,24.08,5.22,-999.0
1919,-999.0,3.84,14.47,13.79,13.57,33.7,10.97,22.0,3.59,-999.0
1920,-999.0,0.42,7.15,11.96,4.24,24.0,9.61,19.68,1.11,-999.0
1921,-999.0,4.62,14.71,6.18,15.13,49.28,26.49,17.75,7.0,-999.0
1922,-999.0,0.19,12.79,14.26,11.75,44.14,11.91,30.39,3.76,-999.0
1923,-999.0,3.08,5.24,7.5,6.99,32.62,10.56,15.07,3.17,-999.0
1924,-999.0,1.63,5.38,10.24,6.03,55.62,20.96,28.4,0.31,-999.0
1925,-999.0,4.02,14.41,11.57,22.84,63.95,40.37,23.87,4.89,-999.0
1926,-999.0,3.84,14.61,12.49,10.46,41.81,19.06,22.97,3.37,-999.0
1927,-999.0,0.86,5.62,9.2,7.74,38.0,16.93,23.39,2.95,-999.0
1928,-999.0,1.53,7.68,12.04,3.52,37.02,9.88,25.41,0.77,-999.0
1929,-999.0,2.4,15.66,11.23,5.94,40.61,11.44,24.81,2.08,-999.0
1930,0.0,6.93,18.01,9.31,26.68,58.94,29.05,29.8,9.5,31.15
1931,0.0,6.79,26.97,13.29,25.01,49.16,31.5,36.0,17.07,41.38
1932,0.0,1.84,12.43,6.93,14.07,42.61,24.16,29.35,4.29,39.92
1933,0.0,5.12,25.19,12.32,21.24,45.82,26.48,38.58,11.43,41.23
1934,0.0,3.67,31.33,10.26,29.17,63.48,21.07,50.23,17.34,47.43
1935,0.0,1.71,20.14,8.55,10.93,39.77,16.9,33.48,4.37,45.23
1936,0.0,4.79,39.64,9.87,40.77,66.48,27.26,42.72,20.26,56.97
1937,0.0,2.51,24.38,7.11,11.64,50.02,17.15,35.82,8.53,51.23
1938,0.0,1.94,15.53,11.68,10.14,48.93,17.65,33.4,3.67,50.29
1939,0.0,2.13,20.75,14.97,13.32,56.31,13.94,39.99,6.4,56.57
1940,0.0,3.32,18.86,12.51,12.74,28.56,16.77,40.22,5.46,48.64
1941,0.0,5.78,15.65,9.48,17.07,35.65,23.38,22.61,7.47,36.03
1942,0.0,1.47,6.51,14.34,7.92,27.91,19.6,34.19,1.61,47.82
1943,0.0,4.01,12.48,6.03,15.27,54.87,25.14,41.43,1.56,47.95
1944,0.0,7.2,5.85,8.9,19.37,45.25,25.11,32.98,3.42,44.06
1945,0.0,2.47,9.34,8.19,7.41,30.13,17.24,31.63,1.91,51.33
1946,0.0,0.62,10.8,7.83,5.38,35.08,6.83,37.07,1.33,45.9
1947,0.0,1.59,17.05,5.1,12.89,50.33,12.11,36.49,10.97,48.44
1948,0.0,3.76,11.82,3.39,6.99,44.94,17.47,38.67,4.76,41.65
1949,0.0,8.58,12.46,6.4,3.95,27.81,9.36,32.21,3.25,45.53
1950,0.0,0.27,2.97,7.16,0.47,17.18,10.65,30.77,0.26,41.5
1951,0.0,0.37,4.93,7.59,4.82,49.92,25.84,41.34,0.19,36.15
1952,0.0,4.19,12.54,8.97,21.7,61.49,31.26,42.92,1.9,35.78
1953,0.0,6.66,10.71,6.27,26.39,60.68,25.05,40.25,5.3,34.79
1954,0.0,3.25,13.67,3.34,27.59,79.48,44.15,41.83,3.14,36.12
1955,0.0,5.79,17.66,7.97,13.47,37.43,14.07,32.14,10.82,39.99
1956,0.0,1.42,10.64,7.29,9.3,62.29,20.07,43.47,3.28,31.93
1957,0.0,3.57,9.01,2.89,6.59,35.84,16.33,32.66,2.34,35.55
1958,0.0,0.13,8.47,14.36,1.3,31.57,11.27,43.86,0.72,41.67
1959,0.0,1.71,14.93,9.87,4.37,25.8,12.21,37.3,1.32,45.68
1960,0.0,0.31,13.31,12.23,6.52,36.52,13.26,41.85,1.0,48.1
1961,0.0,0.66,13.67,16.47,0.92,15.19,8.06,36.62,0.86,44.39
1962,0.0,1.07,3.26,6.04,6.28,40.64,18.36,35.58,0.21,34.76
1963,0.0,3.39,9.78,4.76,5.69,47.67,12.78,35.52,2.33,28.92
1964,0.0,2.57,11.73,4.78,8.14,41.93,11.78,36.01,4.65,35.61
1965,0.0,1.3,5.05,7.28,3.76,30.4,4.55,26.33,1.56,25.2
1966,0.34,3.87,11.77,7.19,8.55,28.49,10.03,33.24,3.16,38.9
1967,0.0,0.2,6.45,18.33,0.81,19.17,2.85,24.44,0.41,41.7
1968,0.0,2.65,7.41,9.52,4.62,20.01,15.77,29.85,1.56,32.77
1969,0.32,1.16,9.99,6.28,5.44,39.31,12.24,38.78,0.55,41.97
1970,0.0,0.73,14.95,14.14,5.4,36.83,11.33,33.98,2.23,40.83
1971,0.0,0.53,10.66,14.77,3.76,25.01,4.28,33.94,2.44,39.14
1972,0.0,0.47,5.89,11.17,3.77,27.73,9.36,29.31,1.19,36.43
1973,0.0,1.97,11.39,11.74,2.94,21.8,4.53,33.53,0.95,40.63
1974,0.0,0.57,12.94,10.12,3.91,26.29,2.44,37.45,3.81,40.96
1975,0.0,2.24,9.68,6.96,3.53,17.51,6.51,25.81,2.12,33.8
1976,0.0,0.46,13.99,3.46,3.47,23.58,5.33,27.62,4.16,31.0
1977,0.0,3.26,8.17,12.17,8.79,43.23,26.13,35.57,4.59,39.28
1978,0.0,1.14,10.83,8.01,7.07,47.2,16.1,39.88,1.6,39.25
1979,0.0,0.25,6.59,6.96,1.36,22.16,8.41,35.73,0.64,38.02
1980,0.0,3.04,14.74,4.04,20.77,69.07,30.49,39.9,4.28,33.59
1981,0.0,1.24,7.85,10.85,2.52,31.87,23.5,33.34,0.94,43.78
1982,0.0,0.95,6.67,6.67,1.91,28.84,4.98,28.62,0.9,25.74
1983,0.0,4.48,18.66,4.56,19.3,39.42,23.15,35.94,6.95,29.17
1984,0.0,1.63,9.89,7.27,4.2,30.88,6.7,31.32,2.37,37.51
1985,0.0,0.64,9.75,9.88,2.69,34.17,10.45,38.26,1.33,37.3
1986,0.0,1.24,4.87,10.85,5.76,27.85,22.86,29.61,0.55,35.32
1987,0.0,3.83,8.48,9.14,7.98,28.06,20.23,30.55,4.66,35.45
1988,0.0,7.7,22.04,12.32,20.89,35.28,17.33,34.51,16.13,44.52
1989,0.0,1.39,10.71,4.35,2.09,18.86,9.17,39.19,2.31,35.84
1990,0.0,1.33,10.31,13.92,7.07,41.31,22.38,36.27,1.41,37.24
1991,0.0,5.66,10.83,7.53,7.47,23.8,9.3,28.44,1.75,36.62
1992,0.0,0.35,1.78,13.54,0.54,9.0,6.6,29.38,0.04,35.98
1993,0.0,3.68,1.13,2.39,4.96,31.32,23.04,31.74,0.04,28.06
1994,0.0,1.52,5.59,12.81,2.4,21.31,2.79,46.94,0.73,43.36
1995,0.0,3.48,9.08,4.68,6.42,34.95,15.6,38.92,3.14,30.89
1996,0.0,0.54,4.63,13.5,1.57,21.3,8.3,42.75,0.36,45.91
1997,0.0,1.97,4.13,4.27,3.03,27.6,9.54,37.56,0.65,33.38
1998,0.0,0.83,8.05,15.93,4.8,57.17,23.56,39.72,0.63,35.62
1999,0.0,5.72,6.35,7.13,11.47,35.77,19.5,31.59,1.65,29.71
2000,0.0,0.22,12.96,7.86,5.37,54.79,17.92,54.02,1.12,39.43
