Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1950,0.25,3.45,7.43,0.69,10.56,7.06,23.72,0.36,47.23
1951,0.4,5.51,8.47,3.79,37.17,16.52,32.21,0.09,43.69
1952,3.98,12.35,8.15,19.74,46.6,23.14,32.98,0.95,43.16
1953,6.41,9.9,6.38,27.62,40.7,22.29,32.57,2.88,39.81
1954,2.44,13.43,4.06,27.5,63.92,32.03,31.8,0.79,42.36
1955,5.8,16.92,9.14,14.97,21.48,10.17,24.5,6.7,44.82
1956,1.0,9.86,8.06,9.43,34.39,15.09,32.48,1.33,38.94
1957,2.35,9.13,2.94,7.04,20.39,15.68,25.08,0.78,40.32
1958,0.12,8.55,13.32,1.26,15.8,6.95,32.88,0.79,47.87
1959,1.47,14.78,9.75,5.77,12.27,9.78,29.26,1.32,49.17
1960,0.17,14.42,12.43,6.86,22.4,5.94,33.75,0.66,52.84
1961,0.4,14.8,17.09,1.16,8.51,4.04,27.73,1.0,49.0
1962,0.82,3.6,6.31,5.67,32.01,7.11,28.16,0.08,41.13
1963,2.51,10.3,5.15,7.04,28.26,8.05,28.17,1.35,34.74
1964,1.74,11.59,4.8,9.6,22.31,6.58,28.11,4.39,40.83
1965,0.92,4.77,6.37,3.78,14.6,2.69,20.49,0.99,32.6
1966,3.22,11.5,6.63,9.8,17.69,9.02,25.89,2.34,44.2
1967,0.24,6.89,16.23,1.04,8.32,0.79,20.15,0.19,46.27
1968,1.57,7.17,8.79,3.18,15.91,13.8,22.15,0.89,38.71
1969,0.89,10.6,6.84,4.1,24.17,7.52,29.14,0.46,45.92
1970,0.41,15.04,12.97,6.34,20.9,8.76,27.71,1.19,45.93
1971,0.39,11.65,14.05,5.63,12.01,2.12,26.17,1.55,44.3
1972,0.31,5.5,9.51,4.84,20.26,3.38,22.8,0.7,41.55
1973,1.43,11.34,10.71,3.02,9.31,3.19,26.76,1.26,45.71
1974,0.37,12.7,10.13,5.6,9.95,2.11,30.43,2.1,45.82
1975,1.78,9.1,6.73,3.99,8.72,6.5,22.4,1.69,39.18
1976,0.29,13.11,3.54,4.66,11.15,4.82,23.63,3.76,35.64
1977,1.96,7.45,12.65,8.43,29.87,20.94,29.66,2.25,43.3
1978,0.8,10.52,8.89,7.35,28.45,7.7,33.9,1.15,44.27
1979,0.22,6.75,8.02,1.98,10.24,4.69,29.03,0.21,42.63
1980,2.22,14.17,4.03,21.41,51.14,25.16,35.43,1.68,38.99
1981,0.66,7.96,11.98,2.79,25.93,12.64,29.3,0.21,48.77
1982,0.53,6.64,5.95,2.39,12.8,1.92,24.29,0.6,31.87
1983,3.21,18.55,5.31,20.88,26.39,23.84,26.9,2.97,35.07
1984,0.8,10.87,6.15,5.53,14.13,4.19,24.03,0.97,45.32
1985,0.45,10.42,10.68,2.76,19.29,6.77,30.17,0.55,43.01
1986,0.93,5.47,9.87,5.44,25.7,19.75,25.53,0.61,40.16
1987,2.17,8.93,8.16,8.96,23.81,17.33,24.78,2.76,43.98
1988,6.86,23.02,12.28,23.46,23.96,17.08,27.92,12.72,50.17
1989,0.52,11.38,4.71,3.03,11.65,5.04,32.69,1.44,44.7
1990,0.84,10.84,12.96,7.86,35.2,12.61,28.69,0.81,42.83
1991,3.97,11.09,7.94,10.03,15.01,10.42,22.27,1.0,42.8
1992,0.35,2.07,12.48,0.87,6.24,6.61,24.56,0.05,42.92
1993,3.03,1.21,2.21,4.93,29.78,22.09,24.9,0.1,34.55
1994,1.54,6.13,12.91,3.43,6.8,3.56,38.13,0.72,47.16
1995,3.2,9.48,4.76,7.81,26.72,9.66,31.14,2.79,37.68
1996,0.41,5.28,12.25,1.73,11.55,5.57,33.98,0.32,52.9
1997,1.62,4.62,4.7,3.72,16.48,9.02,28.02,0.26,41.85
1998,0.73,9.3,14.8,5.19,41.46,14.73,29.79,0.51,39.39
