Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,56.42,56.44,56.59,64.51,74.48,70.49,66.46,53.47,67.15
1901,54.34,55.3,55.72,63.56,73.92,67.7,66.2,52.45,66.92
1902,54.97,53.48,54.91,62.77,74.29,69.13,65.75,52.26,65.8
1903,55.0,53.02,54.49,62.59,73.08,68.49,64.32,50.99,65.81
1904,52.44,54.57,56.68,61.72,74.51,67.72,65.94,49.26,67.09
1905,54.32,53.6,55.88,62.35,73.01,68.52,63.31,51.06,66.6
1906,55.57,54.23,56.39,63.44,73.87,69.32,64.14,52.3,65.98
1907,53.4,53.35,55.59,62.46,75.24,68.95,65.28,49.96,65.46
1908,56.44,55.03,55.66,64.89,75.36,69.68,64.43,53.49,66.31
1909,55.19,52.7,54.82,63.48,75.45,69.69,64.23,51.06,65.68
1910,55.31,56.67,56.56,63.19,74.66,68.82,67.66,53.64,68.23
1911,56.18,53.51,54.54,65.04,76.37,70.92,64.55,52.65,65.28
1912,54.4,52.17,54.06,61.68,73.02,68.51,62.92,50.33,65.09
1913,57.45,54.14,54.19,65.04,74.62,70.49,63.29,53.06,65.79
1914,54.52,55.33,56.38,63.8,74.07,68.79,65.01,52.3,67.09
1915,55.54,53.18,56.49,62.5,73.91,68.97,63.96,51.71,66.72
1916,54.95,51.69,53.48,63.96,75.14,69.8,64.85,50.33,65.45
1917,52.3,52.3,55.29,61.03,73.67,67.54,64.82,48.01,66.79
1918,55.44,54.61,56.65,64.12,74.91,69.33,64.37,52.4,66.83
1919,56.15,53.76,55.38,64.47,74.56,70.36,63.7,51.72,66.85
1920,54.62,53.38,54.76,62.43,73.24,68.14,63.55,51.7,66.11
1921,58.15,56.83,55.97,66.81,77.25,71.88,66.53,55.03,68.01
1922,56.23,53.74,54.42,65.39,75.69,70.03,64.96,53.24,65.72
1923,55.28,54.55,55.65,63.73,74.32,69.77,63.44,52.8,66.06
1924,54.1,52.78,56.22,61.48,73.85,68.27,64.92,49.88,67.85
1925,55.47,55.23,57.26,64.38,76.26,70.84,65.3,52.13,67.17
1926,53.2,55.51,58.27,62.18,74.09,69.45,65.41,50.42,69.28
1927,55.88,52.31,54.73,64.06,76.33,70.28,65.55,51.26,66.92
1928,55.15,55.19,56.41,63.0,74.02,68.88,65.32,52.09,68.14
1929,55.67,52.52,55.56,62.28,73.92,69.1,64.08,50.34,67.93
1930,57.02,55.17,55.45,65.08,74.6,70.08,64.67,53.77,66.91
1931,57.9,58.37,56.99,66.08,75.63,71.41,65.13,56.83,68.14
1932,56.94,53.94,55.16,64.63,75.11,71.13,64.31,52.41,66.63
1933,56.43,56.77,56.03,65.75,76.54,71.7,66.01,53.39,67.14
1934,55.62,59.49,60.34,65.62,75.75,69.78,69.25,53.59,70.5
1935,54.91,54.89,55.81,62.64,74.63,69.26,65.4,51.1,66.81
1936,55.68,55.12,57.24,64.82,75.37,69.66,66.4,51.2,68.88
1937,56.33,53.75,55.55,62.51,73.96,69.15,65.31,51.32,66.89
1938,57.26,56.31,56.78,66.18,76.33,70.81,65.58,53.74,66.48
1939,56.17,58.12,58.44,65.77,76.19,71.26,66.32,54.09,68.63
1940,53.54,55.63,58.06,62.17,72.84,68.16,66.22,51.06,68.59
1941,57.12,55.83,56.85,65.05,74.7,70.89,63.6,54.15,65.84
1942,56.21,54.51,55.82,63.42,74.31,70.08,65.52,52.61,66.95
1943,55.04,55.84,56.13,63.55,75.38,70.55,67.09,51.51,67.93
1944,56.32,54.69,55.96,64.21,74.96,69.9,64.37,53.39,65.61
1945,56.02,53.97,55.86,62.77,74.68,70.26,65.4,51.15,66.26
1946,57.77,56.21,55.94,66.17,75.65,70.97,66.3,53.98,66.71
1947,56.18,54.53,56.88,62.92,74.04,68.82,65.63,51.91,67.76
