Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1901,29.08,30.13,36.9,38.87,56.36,49.2,46.74,22.94,48.85
1902,30.35,29.14,37.24,35.07,52.89,46.41,47.78,23.98,50.44
1903,31.64,26.01,34.66,37.91,55.07,50.71,41.99,22.86,45.86
1904,25.78,28.0,36.04,35.0,55.94,46.17,48.23,16.26,49.84
1905,25.87,26.63,36.73,33.65,51.05,45.26,43.4,19.7,50.49
1906,35.34,32.25,35.89,41.65,55.58,51.02,44.2,27.24,48.49
1907,29.05,27.35,36.66,41.62,61.17,52.93,49.2,22.55,48.66
1908,32.07,33.46,37.59,40.04,56.23,49.06,46.59,27.25,49.42
1909,33.96,28.16,34.78,43.59,60.7,55.58,46.09,24.83,47.87
1910,30.55,22.48,30.89,35.71,54.25,49.03,41.77,20.88,44.0
1911,30.35,28.24,34.77,41.38,59.5,51.89,46.89,23.85,47.78
1912,29.54,25.71,36.18,34.86,53.83,47.88,44.4,18.16,50.14
1913,35.84,28.12,33.61,41.81,57.49,54.87,41.43,24.43,47.38
1914,30.9,30.58,36.57,40.17,56.81,51.17,43.76,26.28,48.62
1915,32.71,26.49,34.73,37.72,53.55,49.18,41.68,23.2,45.98
1916,32.05,24.58,33.2,40.26,58.68,52.71,46.08,22.01,47.16
1917,30.36,22.67,32.03,39.77,58.65,52.08,42.34,17.57,44.29
1918,25.5,25.05,39.24,33.58,53.53,45.82,48.05,17.25,51.79
1919,35.12,31.62,36.29,44.27,57.17,52.52,41.0,27.66,47.49
1920,27.04,27.6,35.29,36.14,56.12,48.91,45.42,17.9,50.65
1921,34.19,33.95,36.71,43.38,59.26,52.32,46.98,28.28,49.16
1922,31.67,24.77,31.61,41.39,59.2,52.34,45.26,23.32,45.81
1923,29.18,27.74,34.22,41.2,60.48,52.19,47.3,21.94,48.54
1924,33.8,31.11,37.3,41.06,56.9,52.42,44.89,26.11,50.58
1925,32.81,27.66,35.84,41.09,58.75,53.64,43.89,21.79,49.02
1926,30.81,33.49,39.07,40.05,56.89,50.59,46.12,24.74,51.18
1927,31.28,29.16,35.85,41.46,61.08,53.77,46.57,23.67,48.87
1928,33.5,27.47,35.23,40.59,56.97,52.08,45.07,23.03,49.73
1929,32.96,23.3,30.95,37.86,55.86,50.76,41.93,20.1,46.31
1930,33.78,27.81,35.56,41.7,58.18,54.4,47.34,23.4,51.82
1931,32.69,36.84,36.37,42.43,56.27,50.59,44.55,30.61,49.82
1932,38.27,29.19,33.0,48.02,63.35,59.41,42.1,29.45,44.22
1933,37.91,27.8,32.06,43.64,58.68,54.88,40.09,25.76,43.33
1934,28.89,35.67,43.62,41.99,60.07,52.04,51.22,24.27,53.02
1935,30.17,32.35,37.37,40.1,58.19,51.06,48.14,23.2,49.38
1936,26.82,20.58,33.46,32.54,52.43,44.99,45.43,15.44,49.45
1937,37.06,22.4,31.36,42.02,58.61,53.32,41.69,23.56,42.78
1938,32.57,29.46,38.1,41.12,58.28,51.93,46.92,23.44,50.0
1939,33.73,29.92,36.94,42.97,59.56,54.46,43.01,24.33,48.08
1940,29.6,30.04,39.7,35.81,52.69,47.23,47.25,25.63,51.34
1941,31.67,32.53,39.8,40.41,56.93,50.59,46.21,25.02,50.52
1942,32.09,30.95,35.11,40.22,56.01,50.54,44.53,27.35,47.33
1943,30.42,29.79,36.35,40.92,59.39,52.2,49.48,21.82,51.38
1944,32.4,33.58,36.59,42.12,57.92,52.45,43.64,29.66,47.17
1945,29.34,30.87,37.27,36.54,56.25,49.64,46.96,23.08,49.44
1946,30.83,30.92,36.48,40.27,56.75,50.08,45.44,22.74,48.39
1947,33.73,31.1,38.49,41.22,57.91,53.26,48.01,25.17,50.88
1948,29.56,29.35,37.22,38.77,55.02,49.08,44.12,22.21,49.98
1949,37.18,22.0,29.04,43.45,59.99,56.86,40.37,24.65,41.0
1950,36.13,25.4,33.35,45.05,62.73,57.16,47.55,23.84,48.57
1951,34.29,30.26,37.8,39.1,57.19,51.46,48.76,21.58,50.88
1952,35.08,26.52,33.06,43.33,61.46,54.87,44.32,24.96,45.35
1953,36.5,33.72,40.3,43.59,58.94,53.59,47.65,26.87,51.34
1954,36.38,34.72,39.21,44.85,60.06,54.27,49.32,27.9,52.03
1955,32.08,30.01,34.71,39.93,57.36,50.53,43.23,24.3,45.23
1956,31.21,26.08,34.38,39.58,57.46,50.39,47.57,22.84,48.47
1957,33.85,29.25,34.56,41.94,61.47,56.0,47.9,24.49,49.92
1958,32.22,35.07,40.53,38.48,54.06,47.67,48.52,26.23,51.46
1959,29.52,27.76,39.07,38.05,56.03,50.43,48.89,20.07,52.44
1960,34.12,29.24,35.4,39.77,55.17,51.0,42.67,27.0,47.85
1961,30.49,33.74,39.48,39.47,55.67,49.67,46.49,26.01,51.95
1962,31.24,26.53,35.3,38.3,58.31,51.43,43.97,20.63,47.16
1963,29.26,31.09,39.82,34.94,54.03,46.89,47.17,19.81,53.27
1964,30.55,31.39,36.58,37.69,52.97,47.41,43.95,26.07,49.19
1965,31.81,27.48,37.32,40.76,58.29,52.29,46.3,21.22,50.41
1966,32.64,28.19,37.24,39.78,55.08,49.26,43.23,23.7,46.63
1967,33.0,31.68,40.16,40.38,56.72,50.49,47.31,23.39,50.37
1968,30.09,29.42,38.5,38.06,54.83,49.24,43.93,24.35,49.58
1969,31.06,23.59,33.65,37.84,55.22,47.65,46.07,22.89,46.09
1970,29.13,31.1,39.65,35.87,54.06,47.82,48.66,22.4,51.85
1971,29.95,27.38,37.14,39.61,58.51,51.38,47.32,21.74,48.75
1972,33.82,26.52,35.21,42.15,60.02,54.54,47.18,21.97,47.59
