Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,79.82,81.61,75.59,86.35,90.11,88.97,86.73,79.84,85.56
1901,79.06,80.13,75.34,89.45,92.22,86.14,86.24,80.39,85.98
1902,74.88,76.41,74.42,83.72,92.49,87.46,85.78,75.43,85.27
1903,73.03,76.82,75.14,82.5,88.82,84.94,84.18,74.68,85.39
1904,76.18,77.11,76.49,82.7,89.21,85.32,83.2,75.08,85.64
1905,76.34,77.36,76.37,84.15,89.68,85.74,85.1,76.18,86.29
1906,78.2,77.08,76.91,84.48,89.2,85.53,83.07,77.32,85.55
1907,75.8,76.56,72.89,82.91,90.61,84.76,82.55,76.24,82.13
1908,78.85,76.8,75.63,84.65,89.69,85.19,83.15,77.07,85.36
1909,77.26,79.34,75.53,84.72,90.97,85.32,85.03,78.56,85.72
1910,76.79,80.58,76.46,83.7,88.98,84.14,86.65,80.35,87.08
1911,78.79,78.93,76.01,86.82,90.79,88.25,83.94,79.08,85.47
1912,75.66,76.29,73.42,82.95,88.85,85.25,82.83,75.21,83.47
1913,78.53,80.2,74.66,88.78,91.85,86.36,84.04,79.14,83.31
1914,76.88,79.91,76.33,88.37,92.45,87.89,83.25,78.15,85.03
1915,75.47,73.63,76.39,80.26,89.14,85.06,83.28,73.09,86.32
1916,77.27,78.12,73.86,85.72,89.94,84.49,84.18,78.63,84.55
1917,77.06,79.6,77.39,83.12,90.13,85.64,85.57,75.71,87.99
1918,77.18,79.98,77.45,86.8,92.32,85.76,85.26,77.88,87.52
1919,78.44,83.0,78.41,86.67,89.78,85.45,85.36,79.49,88.1
1920,76.83,78.87,76.59,83.3,88.5,84.64,83.62,77.39,85.78
1921,79.31,81.74,76.83,87.3,91.2,86.74,83.27,81.99,86.78
1922,77.14,80.76,78.8,85.65,90.42,85.09,86.59,78.58,87.09
1923,77.62,78.31,75.32,85.07,89.47,86.5,83.26,79.45,83.54
1924,76.74,77.44,77.01,83.11,92.09,86.07,86.76,75.18,87.51
1925,78.27,79.35,77.1,86.63,92.77,88.83,83.72,78.37,85.59
1926,75.95,79.81,79.04,84.52,90.26,87.17,85.55,76.3,88.57
1927,74.61,76.22,76.55,81.09,89.31,83.47,83.51,75.26,86.27
1928,76.81,76.25,75.85,82.63,89.22,85.79,84.47,75.92,86.66
1929,77.34,81.53,77.67,83.8,90.59,84.9,84.94,78.09,86.91
1930,79.25,81.69,77.23,88.17,92.55,87.61,85.06,80.86,86.81
1931,78.6,83.46,78.92,87.11,91.26,87.76,86.54,81.01,88.73
1932,78.18,80.89,75.81,86.58,91.54,88.3,84.81,80.47,86.15
1933,79.21,83.97,78.12,87.63,90.79,87.12,86.68,82.82,88.12
1934,79.1,83.2,77.95,90.51,93.19,88.02,87.35,80.51,86.53
1935,78.57,81.04,76.92,84.45,90.75,86.62,86.2,77.9,87.57
1936,78.86,86.25,78.08,91.57,93.73,88.1,87.07,81.92,87.69
1937,79.74,82.06,76.36,85.8,91.32,87.13,86.25,80.59,87.44
1938,79.37,81.4,77.58,85.51,90.64,85.98,85.58,78.92,86.22
1939,79.5,81.03,77.11,85.22,90.79,87.01,86.65,79.35,87.75
1940,77.09,82.82,79.8,85.28,88.7,85.9,87.19,77.48,89.0
1941,78.54,79.82,75.37,86.49,90.44,86.6,82.74,79.26,83.65
1942,77.68,78.27,76.49,84.43,90.01,87.05,85.96,76.73,87.1
1943,79.43,79.84,74.25,87.08,93.39,88.66,85.53,79.28,84.13
1944,80.39,77.34,74.8,87.23,91.65,87.42,85.1,78.85,83.8
1945,77.35,77.32,76.84,83.09,89.35,86.23,84.44,75.33,85.64
1946,76.64,80.12,76.37,83.74,89.23,84.64,86.51,77.44,86.59
1947,78.65,79.52,74.36,84.87,90.48,85.55,84.81,79.05,84.48
1948,78.25,79.06,74.63,85.04,90.91,86.92,85.83,78.82,84.92
1949,81.79,81.29,76.74,85.84,89.57,86.26,84.63,80.75,86.02
1950,77.45,77.01,76.26,81.53,88.16,85.15,84.72,75.93,86.6
1951,77.35,75.53,76.71,83.47,91.79,87.48,85.36,74.83,86.32
1952,80.59,80.78,75.98,88.12,93.82,89.14,86.31,78.64,85.13
1953,79.71,80.16,74.47,88.43,91.74,88.02,86.6,79.2,85.01
1954,77.29,79.91,72.7,88.06,94.72,89.12,86.12,78.07,84.68
1955,80.72,80.54,75.58,85.65,89.63,85.98,84.3,81.3,85.56
1956,76.56,80.83,75.71,84.85,91.78,87.04,86.46,77.47,85.73
1957,78.62,79.57,75.3,85.18,90.26,86.7,84.88,77.92,86.76
1958,75.83,78.14,78.92,82.31,89.91,85.94,87.08,75.96,86.44
1959,79.15,82.28,77.03,85.73,89.5,86.76,86.54,80.16,88.68
1960,77.65,80.84,78.1,83.74,90.28,85.9,87.5,77.63,89.33
1961,77.58,83.71,81.42,83.0,87.79,84.84,86.26,79.35,88.7
1962,77.08,77.71,75.21,84.52,90.88,84.89,85.69,76.73,85.95
1963,77.81,80.88,74.16,84.39,90.65,85.42,85.32,79.19,83.41
1964,77.27,79.18,73.76,85.03,90.28,85.02,85.37,78.37,84.9
1965,77.35,77.62,75.11,83.49,89.39,84.54,82.98,76.27,83.02
1966,79.73,79.86,75.65,85.35,89.41,85.79,85.78,79.11,86.63
1967,78.01,78.84,79.68,82.0,87.41,83.2,83.4,76.42,86.47
1968,77.64,77.73,75.22,84.53,89.85,86.72,83.82,76.98,85.07
1969,77.79,79.06,76.51,84.21,90.84,86.03,85.4,76.62,85.96
1970,78.5,82.58,78.86,84.01,89.69,86.23,85.71,80.04,87.2
1971,78.35,81.07,76.64,84.28,89.37,84.99,85.69,78.04,86.42
1972,75.75,78.77,77.21,82.86,89.59,84.1,85.07,76.46,87.01
1973,79.55,81.18,77.12,84.8,89.49,85.71,85.23,78.9,87.07
1974,77.48,80.85,77.68,82.96,88.56,83.69,86.25,77.79,87.27
1975,78.38,78.88,74.17,84.75,88.73,85.82,84.55,78.53,84.81
1976,77.44,80.84,72.96,83.49,88.74,84.64,85.07,81.23,83.87
1977,76.87,79.77,77.87,84.54,91.66,87.73,86.67,77.15,87.25
1978,77.81,79.12,75.56,84.43,91.17,86.51,86.81,77.35,86.28
1979,77.07,79.27,77.16,82.61,88.71,84.13,84.95,76.5,85.9
1980,78.25,80.49,73.44,87.28,93.72,88.18,87.73,78.22,84.87
1981,77.84,79.76,76.45,83.48,90.75,86.35,86.59,77.32,89.28
1982,75.83,78.29,75.47,81.99,89.36,84.51,84.44,75.93,83.98
1983,80.19,81.53,73.8,87.76,90.56,87.99,84.6,80.99,83.45
1984,78.38,81.05,75.72,85.25,89.67,85.46,83.84,79.2,85.68
1985,76.28,79.16,78.38,82.27,89.78,85.08,86.8,75.46,88.32
1986,76.23,80.43,78.34,84.74,91.17,87.89,85.1,77.01,87.37
1987,78.53,79.64,76.41,86.27,90.69,88.37,85.13,80.08,85.86
1988,80.15,85.57,78.13,88.34,90.89,87.63,86.12,83.47,87.57
1989,77.39,80.76,76.04,82.95,87.79,85.11,85.73,78.72,86.2
1990,77.87,80.41,77.12,83.34,91.2,87.01,86.07,77.6,86.51
1991,79.99,81.13,76.31,86.41,89.55,86.2,84.48,79.58,85.29
1992,75.06,75.42,78.04,80.69,87.19,83.83,83.82,73.28,85.97
1993,79.06,73.35,70.46,84.59,91.34,88.71,84.37,75.56,83.58
1994,78.82,80.35,78.96,84.08,88.65,85.61,89.23,76.53,89.24
1995,80.55,79.53,74.4,85.94,90.35,86.29,85.62,80.45,84.81
1996,77.36,80.87,78.75,83.16,88.82,85.28,87.42,77.17,89.3
1997,77.89,79.35,75.8,82.59,88.45,85.01,85.26,77.27,85.45
1998,77.79,79.02,78.32,84.05,92.82,87.85,85.93,78.18,86.06
1999,80.51,79.27,75.64,85.85,90.95,87.19,84.37,78.61,85.09
2000,75.81,81.53,78.2,83.17,91.78,85.55,88.02,76.62,87.99
2001,79.15,81.8,77.32,84.17,89.78,85.53,87.68,79.53,88.33
2002,80.06,82.08,78.41,86.46,90.04,88.49,89.56,79.78,89.07
2003,77.68,82.39,81.13,83.39,88.77,84.84,88.54,78.95,89.21
2004,76.14,76.94,78.31,81.09,87.83,84.76,85.49,74.48,87.58
2005,80.99,80.32,77.24,86.5,90.17,86.58,86.57,80.37,87.06
2006,78.59,83.86,79.59,85.12,92.22,87.15,87.31,80.44,89.4
2007,78.84,82.78,79.28,86.22,90.96,88.19,88.1,79.94,89.31
2008,78.4,79.93,77.13,84.01,90.15,87.78,86.73,78.05,88.95
2009,76.03,76.82,77.46,81.83,89.86,86.12,85.87,74.74,86.42
2010,80.21,79.26,75.17,87.08,92.68,89.57,86.8,79.18,86.76
2011,79.67,80.22,75.16,86.76,94.58,89.43,88.61,79.45,85.9
2012,80.09,84.45,77.9,88.26,91.17,86.76,89.01,81.63,88.46
2013,78.27,80.67,79.64,82.76,88.58,84.2,87.78,77.93,89.1
2014,77.79,78.07,78.41,82.78,88.88,85.24,86.15,76.68,88.12
2015,77.81,80.89,80.99,82.86,90.57,87.47,86.69,77.29,88.38
2016,80.6,81.9,78.34,85.81,91.5,88.61,88.15,79.1,89.63
2017,77.68,82.26,80.54,83.83,88.47,86.09,87.9,77.45,90.02
2018,79.61,80.52,78.9,85.35,90.72,87.01,88.97,79.24,89.8
2019,79.18,78.85,77.44,84.04,90.06,87.1,87.91,77.91,87.74
2020,80.95,82.3,77.34,85.33,90.0,86.53,90.11,80.6,89.25
2021,79.56,84.61,82.12,84.82,89.11,86.29,88.2,81.47,91.15
2022,80.26,82.67,79.99,85.52,91.71,87.05,87.59,78.87,89.56
2023,77.63,80.45,79.16,84.28,91.68,85.85,87.83,79.29,86.67
2024,80.26,81.24,80.12,85.28,91.65,87.5,89.66,78.03,91.17
