Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,52.63,57.41,57.2,62.99,74.04,68.73,64.64,53.84,64.84
1901,52.62,55.88,53.69,61.81,73.16,67.25,63.74,53.12,63.38
1902,55.68,53.36,51.81,64.8,75.57,69.93,64.11,54.74,61.31
1903,58.61,51.76,52.2,65.83,73.72,70.48,62.25,53.84,61.76
1904,53.14,52.02,53.24,61.09,74.94,68.43,65.93,48.98,63.77
1905,54.49,53.94,55.59,65.43,76.02,71.11,61.3,51.71,62.51
1906,52.02,51.35,54.21,61.54,73.1,68.84,62.18,50.39,60.87
1907,51.42,50.32,53.73,61.29,74.72,68.68,63.86,46.4,62.14
1908,54.82,53.97,53.51,65.22,77.96,72.9,64.21,52.29,64.21
1909,52.28,49.88,53.38,61.76,74.29,68.76,61.46,47.76,62.7
1910,57.63,61.71,59.72,66.56,76.64,71.89,69.08,57.99,69.39
1911,55.61,56.33,53.93,65.15,76.7,69.43,65.28,55.29,62.35
1912,53.37,49.94,52.46,61.57,73.05,69.12,60.24,51.0,59.81
1913,56.25,52.16,52.93,63.45,74.32,70.68,63.6,51.17,63.96
1914,53.2,54.21,57.33,62.89,73.51,68.8,64.9,51.98,66.26
1915,53.63,52.98,56.89,61.66,72.01,67.62,61.1,52.74,63.03
1916,51.47,53.0,53.23,62.41,75.13,70.0,65.66,49.04,65.46
1917,50.09,47.3,47.33,60.81,73.91,68.39,58.68,48.46,58.95
1918,57.45,55.05,54.56,66.62,76.4,71.27,63.56,55.5,63.56
1919,55.0,53.23,55.27,63.27,74.02,70.11,63.61,51.88,64.98
1920,53.37,48.51,51.19,61.47,73.03,67.33,60.61,50.16,62.48
1921,60.73,54.71,53.44,68.48,76.92,72.61,64.19,56.13,63.42
1922,56.48,51.82,50.44,65.18,74.88,70.29,61.62,53.88,61.5
1923,53.02,52.01,53.44,62.39,73.26,69.12,61.97,49.4,63.73
1924,50.81,49.93,56.77,59.3,71.18,66.78,61.01,48.22,65.6
1925,55.6,57.5,56.92,66.34,77.35,71.01,67.8,55.39,65.54
1926,50.39,56.89,59.77,60.42,71.84,67.92,62.86,51.03,68.13
1927,54.19,50.95,51.74,63.3,76.25,69.91,64.69,51.41,63.47
1928,52.11,55.97,56.42,62.29,73.36,67.72,64.69,51.47,66.7
1929,56.02,52.9,53.15,65.23,75.86,71.33,62.62,52.59,63.55
1930,54.69,55.05,56.37,64.93,74.48,70.12,64.18,53.43,64.04
1931,55.0,55.05,57.16,60.2,70.79,66.2,63.74,52.94,68.57
1932,52.71,52.36,53.05,62.02,73.65,68.23,63.62,49.64,64.03
1933,54.15,52.83,51.61,62.96,75.46,70.84,62.24,51.09,61.37
1934,55.67,61.37,63.14,65.03,74.81,69.08,70.83,53.79,72.75
1935,53.51,49.87,52.59,62.22,75.61,70.24,61.52,50.23,61.75
1936,56.27,55.84,56.8,65.79,76.58,71.29,67.11,51.61,67.95
1937,53.05,53.6,54.23,61.43,73.82,68.91,64.08,49.91,64.4
1938,56.36,54.19,53.92,66.56,76.9,72.31,63.74,54.39,61.86
1939,53.32,57.81,58.29,64.38,75.4,70.88,66.39,52.86,67.14
1940,50.61,53.92,58.26,60.4,73.66,67.74,66.68,48.01,67.58
1941,56.41,55.18,57.45,64.9,73.79,70.3,60.93,54.68,63.36
1942,58.07,53.64,53.63,65.7,74.82,72.08,62.85,55.3,62.15
1943,52.16,53.04,54.11,61.46,74.49,69.56,66.54,49.17,65.64
1944,54.65,51.59,54.05,62.98,74.45,70.91,61.19,50.46,62.48
1945,58.97,53.02,52.45,65.85,76.77,73.69,62.94,53.89,61.85
1946,58.1,58.27,56.21,67.05,76.4,71.83,66.63,56.93,65.38
1947,52.7,51.69,58.91,59.68,72.17,68.05,65.15,47.53,67.84
1948,55.26,53.32,50.94,64.87,76.25,71.85,63.29,53.0,60.79
1949,56.41,56.06,57.14,63.8,74.18,69.59,64.36,53.76,64.26
1950,52.16,48.12,52.08,60.74,73.57,68.54,65.48,45.96,65.47
1951,55.19,49.99,54.65,61.85,74.15,69.0,63.36,50.07,64.84
1952,53.98,53.04,54.64,62.59,74.02,69.86,61.78,52.48,62.63
1953,55.31,51.12,52.59,63.18,75.83,71.78,62.75,50.8,61.84
1954,54.7,51.66,54.92,63.66,74.39,69.71,66.23,49.7,66.26
1955,57.08,53.82,48.87,66.7,77.67,72.78,63.49,55.67,62.05
1956,51.06,52.84,55.49,63.66,75.49,69.28,66.25,49.07,64.61
1957,56.0,51.87,54.27,63.26,73.52,70.3,60.92,52.25,62.48
1958,53.9,53.71,55.78,60.89,71.71,66.48,61.77,54.66,63.0
1959,56.54,53.53,53.97,64.89,74.65,70.78,64.91,53.83,66.95
1960,53.17,52.25,53.53,58.75,71.47,66.29,65.89,49.32,65.91
1961,52.08,53.6,53.82,60.32,73.82,67.53,64.33,51.2,63.94
1962,55.61,52.9,53.11,63.59,74.41,69.17,64.37,51.83,63.44
1963,55.18,55.96,53.6,65.62,77.57,71.57,65.56,54.24,61.37
1964,56.21,52.85,51.33,65.31,75.7,70.08,61.67,53.83,61.6
1965,54.08,49.27,54.01,62.76,74.48,69.6,61.11,48.9,61.92
1966,53.14,54.96,57.08,62.37,74.02,68.01,67.04,50.57,68.34
1967,51.03,51.93,51.63,63.95,77.52,70.71,65.12,50.53,59.96
1968,56.39,54.85,55.06,63.68,73.92,70.15,62.4,55.15,64.86
1969,54.57,54.15,56.08,62.54,72.25,68.41,64.03,52.25,64.77
1970,54.24,50.12,52.44,63.5,74.45,70.03,62.07,50.49,63.28
1971,52.33,53.04,52.44,61.95,73.27,67.63,63.83,51.24,61.59
1972,52.73,54.61,55.15,63.64,75.56,68.34,68.48,50.85,67.68
1973,55.35,54.14,55.36,62.89,73.37,68.98,59.98,53.4,63.24
1974,54.37,54.03,52.48,64.96,76.96,71.7,67.25,50.57,64.49
1975,53.56,48.33,49.92,61.69,73.62,68.38,60.43,49.48,59.36
1976,56.54,55.46,53.22,65.6,74.61,72.01,63.73,54.38,64.07
1977,59.32,58.28,53.91,69.25,77.21,73.11,63.57,60.4,61.83
1978,52.78,53.0,54.11,60.64,74.22,68.18,64.71,52.18,63.51
1979,55.89,51.23,55.41,62.49,73.95,69.99,62.67,48.78,64.4
1980,55.13,56.13,54.38,61.49,72.93,68.74,61.35,54.11,62.11
1981,56.34,58.19,55.03,63.98,75.16,69.96,64.72,55.5,64.84
1982,55.11,51.44,52.65,64.08,74.82,70.27,63.2,51.56,62.25
