Year,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,61.13,54.69,54.51,68.9,77.75,74.14,66.03,56.04,66.11
1901,56.5,57.06,57.64,66.01,75.14,68.72,68.38,54.73,69.11
1902,59.7,56.33,56.86,67.09,75.91,72.37,66.5,54.65,67.51
1903,57.42,55.22,55.8,64.73,74.82,69.06,67.58,53.72,69.49
1904,55.46,60.92,60.43,66.81,77.3,70.31,67.07,55.25,69.29
1905,57.45,56.85,55.93,65.77,76.54,71.64,65.16,55.06,68.67
1906,58.31,56.31,57.19,65.79,75.31,70.81,64.44,55.44,68.27
1907,55.65,58.17,59.32,63.92,75.4,69.69,65.82,53.26,67.94
1908,60.93,57.31,57.27,68.94,76.22,70.92,65.04,58.42,67.64
1909,58.44,57.42,56.91,67.69,79.2,71.33,66.92,55.34,67.73
1910,57.05,57.68,56.64,65.51,77.68,70.78,69.1,54.1,69.57
1911,56.3,51.58,54.08,64.27,77.29,71.04,64.64,50.44,67.0
1912,59.15,54.51,53.86,67.32,76.72,72.02,63.89,56.49,66.16
1913,59.45,56.49,56.02,66.34,75.14,70.29,64.8,55.99,69.09
1914,59.35,60.19,56.71,67.12,75.56,70.06,68.15,57.86,69.83
1915,59.78,56.46,56.08,68.42,78.19,72.73,67.48,55.75,69.7
1916,58.91,54.65,55.25,67.14,76.84,71.09,64.66,53.49,65.79
1917,54.33,58.15,60.41,63.06,74.43,67.39,69.06,51.5,72.22
1918,57.54,55.88,57.84,64.31,74.47,70.25,64.85,54.41,67.74
1919,58.53,50.18,53.55,67.53,78.09,74.61,63.61,52.37,66.43
1920,59.45,56.37,53.82,66.86,75.52,71.55,64.63,57.85,65.63
1921,59.04,56.8,57.22,67.56,79.64,74.46,69.87,54.03,71.46
1922,59.58,59.36,57.85,69.14,78.11,72.48,66.92,58.14,69.29
1923,58.59,57.11,58.34,64.35,74.29,69.92,63.21,56.57,68.84
