Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1895,-999.0,46.04,40.62,43.61,51.67,59.72,60.58,49.34,41.93,52.35
1896,-999.0,46.49,41.21,44.61,53.94,62.4,62.76,51.46,42.9,53.61
1897,-999.0,46.61,41.42,44.52,53.53,61.87,62.65,50.23,42.4,52.59
1898,-999.0,47.76,41.63,44.14,53.66,60.84,62.33,49.72,43.17,52.61
1899,-999.0,46.59,40.19,43.62,53.03,60.87,62.12,50.25,42.14,52.64
1900,-999.0,47.58,44.36,45.88,54.17,61.95,62.59,51.85,44.2,53.92
1901,-999.0,46.09,43.44,44.91,52.38,61.23,60.3,51.6,43.26,53.54
1902,-999.0,46.5,41.75,44.06,52.81,61.31,61.92,51.11,43.16,52.53
1903,-999.0,46.31,41.14,43.63,52.27,59.7,61.13,49.68,41.95,52.17
1904,-999.0,43.75,41.97,45.49,51.3,61.1,60.71,51.15,40.5,53.56
1905,-999.0,45.55,41.79,44.61,52.22,60.1,61.55,50.06,42.15,52.84
1906,-999.0,46.96,42.52,45.51,53.36,60.76,62.11,50.5,43.44,53.05
1907,-999.0,44.84,41.32,44.71,52.47,62.1,62.04,51.42,41.39,52.72
1908,-999.0,47.17,43.1,44.59,54.04,62.19,62.44,50.01,44.29,52.37
1909,-999.0,46.52,41.24,43.87,53.13,61.95,62.16,50.15,42.43,52.64
1910,-999.0,46.69,43.96,45.17,52.44,61.82,61.11,52.73,43.64,54.02
1911,-999.0,47.17,41.76,43.23,54.74,63.11,63.51,50.69,43.82,51.44
1912,-999.0,45.8,40.79,43.74,51.48,59.78,61.31,48.78,41.02,51.58
1913,-999.0,48.47,42.22,43.47,54.39,61.21,62.58,49.27,43.9,52.1
1914,-999.0,45.57,43.18,45.24,53.14,61.28,61.32,51.17,43.27,53.55
1915,-999.0,47.18,41.92,45.54,52.79,60.65,61.66,49.93,42.94,53.17
1916,-999.0,46.05,39.86,42.28,52.99,61.51,62.02,50.36,41.62,51.64
1917,-999.0,44.07,40.06,44.15,50.26,59.98,60.31,49.97,39.16,52.38
1918,-999.0,46.22,42.73,45.5,53.24,61.59,62.03,50.57,43.25,53.11
1919,-999.0,47.42,41.96,43.88,54.03,61.09,62.81,49.89,43.31,52.75
1920,-999.0,46.02,42.08,44.15,52.27,60.72,60.96,49.77,42.72,52.51
1921,-999.0,48.88,44.85,44.92,56.38,63.93,64.02,52.19,46.43,54.24
1922,-999.0,47.23,42.01,43.11,54.65,62.58,63.31,50.56,44.32,52.04
1923,-999.0,46.12,42.82,44.65,53.36,61.55,62.29,49.77,43.26,52.22
1924,-999.0,45.41,40.8,44.45,51.18,60.3,60.92,49.93,40.76,53.04
1925,27.1,46.86,43.49,46.43,53.73,62.56,63.15,51.09,42.98,53.57
1926,29.84,44.72,43.6,46.71,52.23,61.22,61.66,51.34,41.7,55.16
1927,23.9,47.21,41.22,44.36,53.97,62.92,63.37,51.43,42.76,53.34
1928,26.92,46.87,43.11,45.09,52.68,61.26,61.44,50.99,43.44,53.84
1929,27.6,46.93,40.6,43.44,52.22,60.66,62.24,49.78,41.07,53.23
1930,25.34,47.88,43.36,44.04,53.91,61.55,61.9,50.14,44.42,52.84
1931,26.72,49.02,45.94,45.32,55.68,62.47,62.93,51.05,47.78,54.25
1932,23.9,48.04,42.15,43.98,54.02,61.55,63.25,49.9,43.21,52.5
1933,22.98,47.59,44.38,44.66,55.02,63.66,63.67,51.07,44.34,52.72
1934,28.38,46.31,46.49,48.64,54.28,63.3,62.16,54.07,44.57,56.33
1935,25.66,46.29,42.84,44.31,53.1,61.95,62.13,51.3,42.81,52.98
1936,26.35,46.76,42.9,45.3,53.6,61.88,62.29,51.95,42.15,54.52
1937,27.17,47.83,41.85,44.42,52.61,61.18,61.96,50.81,42.33,52.92
1938,26.82,48.17,44.52,45.84,55.29,63.28,63.04,51.39,45.19,53.19
1939,24.75,47.13,45.02,46.53,54.7,63.04,63.07,51.55,44.86,54.36
1940,29.21,45.08,43.72,47.16,51.7,60.01,60.32,52.24,42.55,55.13
1941,26.94,47.72,44.46,46.39,54.54,61.86,62.44,50.52,45.55,53.04
1942,27.19,47.58,42.83,44.73,53.31,61.08,61.92,50.68,43.8,53.0
1943,27.14,46.4,43.08,44.75,52.85,61.75,62.01,52.21,42.3,54.06
1944,27.48,47.34,42.64,44.68,53.75,61.75,62.17,49.98,44.5,51.74
1945,25.64,47.44,42.03,45.07,52.86,61.5,62.76,50.67,42.38,52.82
1946,24.47,48.18,44.11,44.95,55.02,62.97,63.16,51.65,44.71,52.86
1947,25.85,47.31,42.84,45.82,52.72,61.13,61.62,51.07,43.3,53.54
1948,23.36,47.11,42.56,43.41,53.34,61.2,62.62,50.33,43.59,51.74
1949,25.54,49.68,42.25,44.03,54.64,61.62,63.48,50.08,44.44,51.92
1950,26.08,47.13,40.45,44.28,52.14,61.31,62.13,51.96,40.66,54.34
1951,25.16,47.97,39.62,44.28,52.47,61.32,62.38,50.52,41.0,53.19
1952,25.42,48.49,43.17,44.68,54.22,61.94,62.57,50.66,44.2,52.68
1953,26.05,49.66,44.93,46.29,55.05,62.82,63.1,51.64,45.22,53.6
1954,24.55,47.83,44.44,44.84,54.82,63.64,62.72,53.12,44.38,53.98
1955,23.29,47.76,41.96,42.76,53.82,61.97,62.21,50.32,44.01,52.0
1956,21.82,46.8,43.02,44.45,53.95,62.71,62.47,51.49,43.32,53.06
1957,28.23,48.24,42.67,44.52,53.69,61.53,62.83,51.02,43.34,52.92
1958,27.01,45.87,43.61,47.5,51.27,60.11,60.41,52.08,43.09,54.93
1959,24.62,48.29,42.55,44.98,53.63,60.87,62.45,51.6,43.18,54.65
1960,26.72,47.06,42.48,44.81,51.74,60.13,60.78,51.04,42.81,54.09
1961,23.71,47.37,43.54,46.04,52.48,60.14,61.41,50.75,43.69,53.88
1962,26.84,45.97,42.98,45.0,52.47,61.61,61.48,51.51,42.69,53.47
1963,26.56,46.3,44.74,45.73,51.76,61.78,60.59,51.98,43.45,53.44
1964,23.26,47.24,42.65,43.56,53.54,61.59,61.55,49.79,44.38,52.33
1965,24.7,46.61,41.75,45.36,53.4,61.93,61.88,50.58,42.3,52.68
1966,23.76,46.99,42.22,45.95,51.89,60.35,60.54,51.19,42.45,54.04
1967,27.06,46.25,42.78,46.41,52.22,61.07,61.04,51.06,42.26,53.54
1968,25.38,46.81,42.43,45.28,52.18,59.88,60.5,50.19,43.8,53.58
1969,27.03,47.13,42.14,44.9,51.93,60.7,60.53,51.39,42.68,53.61
1970,25.24,47.04,42.2,45.06,52.93,60.77,61.64,50.74,42.92,53.55
1971,24.24,47.35,42.24,44.3,53.4,61.43,62.06,50.29,43.27,52.29
1972,23.56,46.27,41.43,44.57,52.35,61.14,61.94,51.34,41.21,53.31
1973,24.6,49.1,43.64,45.53,54.37,61.21,62.32,49.86,45.23,53.31
1974,23.67,47.35,43.74,45.6,53.24,61.45,62.51,51.11,43.3,53.88
1975,23.02,48.23,41.99,44.07,53.66,60.9,62.61,49.62,43.68,52.26
1976,25.82,46.57,44.08,44.84,51.65,60.02,60.53,50.76,42.96,53.5
1977,26.99,47.48,44.0,45.4,52.91,61.93,61.67,52.28,44.12,54.14
1978,29.08,45.93,40.94,44.94,51.28,60.19,61.13,51.35,41.93,53.49
1979,27.58,47.7,41.3,45.22,51.29,59.45,61.06,50.19,41.44,53.65
1980,26.45,46.82,44.19,45.45,52.64,61.69,61.6,51.99,43.43,54.21
1981,29.2,47.46,45.78,46.48,52.58,61.74,60.94,53.19,44.75,55.56
1982,25.29,47.07,41.34,44.0,52.82,61.17,62.45,50.45,42.44,52.23
1983,26.86,48.44,43.36,45.5,53.11,59.92,61.0,50.97,44.28,53.5
1984,25.25,48.06,43.18,43.91,53.18,61.31,62.03,50.35,44.16,53.49
1985,26.29,47.7,41.25,42.72,52.71,60.84,62.5,50.88,42.37,53.01
1986,26.92,47.73,44.6,46.5,54.37,62.64,63.35,52.43,44.45,55.16
1987,27.53,48.05,46.29,47.04,54.72,61.57,62.08,51.22,47.41,54.42
1988,27.13,47.47,45.13,46.46,52.97,61.05,61.09,51.6,44.55,54.71
1989,28.75,46.85,42.73,45.29,52.12,60.39,61.87,52.29,42.36,54.12
1990,27.29,49.99,44.83,46.04,55.2,62.75,64.42,51.82,45.53,54.0
1991,26.97,49.75,44.77,46.01,55.28,62.21,63.54,51.07,44.97,54.01
1992,25.03,46.8,44.34,47.68,53.04,61.07,61.61,51.6,43.7,55.31
1993,29.9,47.51,41.02,43.98,52.72,60.29,62.03,50.9,42.39,53.14
1994,26.19,47.68,43.93,46.69,53.35,61.77,62.56,52.8,43.8,54.39
1995,27.78,48.08,43.26,46.42,53.14,61.57,62.2,52.54,43.64,54.93
1996,25.08,47.42,41.01,45.47,52.05,61.04,61.37,52.98,41.44,55.55
1997,28.13,47.44,43.5,46.03,52.48,60.82,61.91,51.61,43.46,54.85
1998,28.43,50.75,45.52,46.91,56.28,63.84,64.38,52.0,47.84,52.95
1999,24.04,49.91,45.79,45.91,55.0,63.16,63.19,52.73,46.27,54.27
2000,28.38,47.79,44.37,45.86,53.59,62.45,62.17,53.53,44.83,55.14
2001,27.33,49.4,45.18,46.3,54.6,62.33,62.74,53.15,46.06,55.34
2002,30.08,49.61,44.01,45.87,54.71,61.81,63.24,52.62,45.38,54.82
2003,29.11,47.41,44.6,47.53,53.12,61.71,62.16,53.75,44.15,55.83
2004,29.32,48.11,44.37,47.0,54.1,62.11,62.76,52.12,44.48,54.85
2005,29.18,48.85,45.27,46.21,54.7,62.74,62.74,52.99,45.95,54.63
2006,26.4,50.47,46.12,46.55,55.09,63.45,63.35,52.89,46.95,54.72
2007,28.08,48.62,45.17,46.45,55.19,62.35,63.75,52.97,45.53,55.22
2008,25.08,48.86,42.59,45.03,52.97,61.41,62.54,51.83,42.79,54.67
2009,26.76,48.06,42.35,45.48,53.13,61.53,62.37,52.25,43.24,54.6
2010,27.42,50.34,43.77,45.84,54.05,61.97,62.06,52.26,45.89,53.89
2011,26.95,50.05,43.37,44.73,54.79,63.03,63.61,52.0,45.05,53.5
2012,26.44,51.4,47.08,46.72,56.65,64.52,64.18,54.34,48.27,55.93
2013,27.8,48.83,43.07,46.17,52.96,61.11,62.28,51.74,42.95,54.9
2014,30.33,47.68,42.94,47.7,51.81,60.58,61.78,53.39,41.55,57.24
2015,30.03,48.83,46.14,48.9,54.48,62.95,64.14,53.72,45.67,56.82
2016,31.88,50.48,46.58,47.48,56.05,64.01,64.4,53.8,47.21,56.03
2017,29.33,49.96,45.16,46.37,55.79,63.78,64.51,54.52,45.91,56.28
2018,30.42,49.49,43.17,47.01,54.54,62.42,63.84,53.84,44.1,56.07
2019,32.19,48.92,41.6,45.55,54.76,62.29,64.77,51.96,43.05,54.14
2020,27.48,50.85,45.13,47.07,55.11,62.99,64.43,54.07,45.73,56.48
2021,26.48,50.74,46.1,47.62,55.2,62.76,63.67,53.92,46.87,56.45
2022,28.63,49.92,43.66,46.31,54.03,62.61,63.54,52.89,43.86,55.83
2023,28.44,51.19,44.96,46.72,56.0,64.26,64.46,52.53,47.0,54.07
2024,28.91,51.4,46.54,47.65,56.86,64.7,64.72,54.38,48.35,56.58
