Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1895,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
1896,-999.0,25.49,20.09,30.76,33.03,42.81,44.63,32.18,18.76,38.65
1897,-999.0,24.58,18.76,29.99,32.54,43.02,45.08,32.22,17.88,37.95
1898,-999.0,26.68,19.55,28.83,33.44,43.63,46.51,29.86,17.21,35.68
1899,-999.0,23.36,12.71,26.49,27.4,36.85,43.64,28.15,11.14,37.3
1900,-999.0,26.12,18.73,30.43,30.61,41.49,44.0,33.76,16.12,39.72
1901,-999.0,22.81,19.4,30.19,30.76,42.56,43.99,33.34,16.02,38.07
1902,-999.0,23.61,18.87,30.03,27.2,39.22,41.47,33.83,15.88,38.65
1903,-999.0,24.86,14.9,27.01,30.97,40.53,45.64,29.23,15.42,34.65
1904,-999.0,18.73,16.42,29.01,26.6,41.98,41.51,32.91,8.63,37.5
1905,-999.0,18.91,15.33,29.06,25.81,36.37,40.98,31.88,11.39,39.37
1906,-999.0,27.94,21.01,28.94,33.01,41.43,45.11,31.46,19.59,37.28
1907,-999.0,21.68,16.91,29.38,34.13,47.11,47.98,37.23,15.8,39.1
1908,-999.0,25.34,22.2,30.24,32.16,43.8,43.66,33.48,19.82,38.77
1909,-999.0,27.24,17.76,27.97,35.47,45.53,49.28,33.47,18.15,38.12
1910,-999.0,24.31,12.39,23.67,28.09,39.21,43.02,28.78,13.21,33.03
1911,-999.0,23.49,17.35,27.86,33.36,46.06,46.44,34.87,16.87,37.02
1912,-999.0,23.02,15.55,29.18,27.74,38.62,43.16,30.43,11.21,37.42
1913,-999.0,29.13,16.71,25.52,33.46,41.6,48.86,28.29,16.81,34.77
1914,-999.0,24.17,19.57,29.67,32.69,43.12,45.48,31.51,18.97,38.03
1915,-999.0,26.48,16.1,27.09,30.98,40.36,44.54,29.88,16.25,35.48
1916,-999.0,25.52,14.11,25.76,32.58,43.62,46.85,33.37,15.08,36.77
1917,-999.0,23.62,11.61,24.38,30.52,43.14,46.64,29.24,9.84,32.22
1918,-999.0,17.83,13.88,32.29,24.7,38.37,41.6,33.81,9.59,39.2
1919,-999.0,28.21,21.41,28.81,35.76,42.84,46.67,28.59,22.02,35.82
